IT's	IT's	pn31|vbz	IT's	it|be	0
written	written	vvn	written	write	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Bereans	Bereans	njp2	Bereans	bereans	0
,	,	,	,	,	0
Acts	Acts	n2	Acts	act	0
17.11	17.11	crd	17.11	17.11	0
.	.	.	.	.	1
That	That	cst	That	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
more	more	av-dc	more	more	0
noble	noble	j	noble	noble	0
then	then	cs	then	than	0
those	those	d	those	those	0
in	in	p-acp	in	in	0
Thessalonica	Thessalonica	np1	Thessalonica	Thessalonica	0
.	.	.	.	.	1
What!	What!	uh	What!	what!	0
more	more	n1	more	moor	0
nobly	nobly	av-j	nobly	noble	0
descended	descended	vvn	descended	descend	0
?	?	?	?	?	0
more	more	dc	more	more	0
nobly	nobly	av-j	nobly	noble	0
educated	educated	vvn	educated	educate	0
?	?	?	?	?	0
of	of	pp-f	of	of	0
greater	greater	jc	greater	great	0
antiquity	antiquity	n1	antiquity	antiquity	0
,	,	,	,	,	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
valour	valour	n1	valour	valour	0
,	,	,	,	,	0
power	power	n1	power	power	0
,	,	,	,	,	0
renown	renown	n1	renown	renown	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
external	external	j	external	external	0
priviledge	priviledge	n1	privilege	privilege	0
,	,	,	,	,	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
rogative	rogative	n1	rogative	rogative	0
,	,	,	,	,	0
or	or	cc	or	or	0
respect	respect	n1	respect	respect	0
?	?	?	?	?	1
Not	Not	xx	Not	not	0
so	so	av	so	so	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
if	if	cs	if	if	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Bereans	Bereans	njp2	Bereans	bereans	0
,	,	,	,	,	0
we	we	pns12	we	we	0
understand	understand	vvb	understand	understand	0
the	the	dt	the	the	0
Citizens	Citizens	n2	Citizens	citizen	0
of	of	pp-f	of	of	0
Berea	Berea	np1	Berea	Berea	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
city	city	n1	city	city	0
in	in	p-acp	in	in	0
Macedonia	Macedonia	np1	Macedonia	Macedonia	0
,	,	,	,	,	0
not	not	xx	not	not	0
far	far	av-j	far	far	0
from	from	p-acp	from	from	0
Pella	Pella	np1	Pella	Pella	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
Alexander	Alexander	np1	Alexander	Alexander	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
was	was	vbds	was	be	0
born	born	vvn	born	bear	0
)	)	)	)	)	0
they	they	pns32	they	they	0
came	came	vvd	came	come	0
far	far	av-j	far	far	0
short	short	j	short	short	0
