FRIENDS	FRIENDS	ng1	FRIENDS	friend	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
heard	heard	vvn	herd	hear	0
that	that	cst	that	that	0
ye	ye	pn22	you	you	0
are	are	vbr	are	be	0
seeking	seeking	vvg	seeking	seek	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
excellency	excellency	n1	excellency	excellency	0
of	of	pp-f	of	of	0
Nature	Nature	n1	Nature	nature	0
and	and	cc	and	and	0
Learn	Learn	vvb	Learn	learn	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
discouraging	discouraging	vvg	discouraging	discourage	0
any	any	d	any	any	0
Man	Man	n1	Man	man	0
in	in	p-acp	in	in	0
endeavouring	endeavouring	vvg	endeavouring	endeavour	0
after	after	p-acp	after	after	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
good	good	j	good	good	0
,	,	,	,	,	0
useful	useful	j	useful	useful	0
and	and	cc	and	and	0
excellent	excellent	j	excellent	excellent	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
kind	kind	n1	kind	kind	0
and	and	cc	and	and	0
place	place	n1	place	place	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
advantage	advantage	n1	advantage	advantage	0
of	of	pp-f	of	of	0
everything	everything	pi	everything	everything	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
and	and	cc	and	and	0
abide	abide	vvi	abide	abide	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
place	place	n1	place	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
honour	honour	vvi	honour	honour	0
and	and	cc	and	and	0
serve	serve	vvi	serve	serve	0
him	him	pno31	him	he	0
from	from	p-acp	from	from	0
whom	whom	ro-crq	whom	who	0
all	all	d	all	all	0
good	good	j	good	good	0
Gifts	Gifts	n2	Gifts	gift	0
and	and	cc	and	and	0
Endowments	Endowments	n2	Endowments	endowment	0
come	come	vvb	come	come	0
.	.	.	.	.	1
Man	Man	n1	Man	man	0
hath	hath	vhz	hath	have	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
moment	moment	n1	moment	moment	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
