HAuing	HAuing	vhg	Having	have	0
vnderstanding	vnderstanding	n1	understanding	understanding	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
sir	sir	n1	sir	sir	0
)	)	)	)	)	0
that	that	cst	that	that	0
neither	neither	d	neither	neither	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
since	since	p-acp	since	since	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
published	published	vvd	published	publish	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
Musick	Musick	n1	Music	music	0
for	for	p-acp	for	for	0
three	three	crd	three	three	0
,	,	,	,	,	0
foure	foure	crd	foure	four	0
&	&	cc	&	and	0
fiue	fiue	crd	fiue	five	0
voices	voices	n2	voices	voice	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
now	now	av	now	now	0
almost	almost	av	almost	almost	0
twentie	twentie	crd	twentie	twenty	0
yeeres	yeeres	n2	years	year	0
past	past	j	past	past	0
,	,	,	,	,	0
ther	ther	pc-acp	there	there	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
any	any	d	any	any	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
nation	nation	n1	nation	nation	0
published	published	vvn	published	publish	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
any	any	d	any	any	0
Musick	Musick	n1	Music	music	0
for	for	p-acp	for	for	0
two	two	crd	two	two	0
voices	voices	n2	voices	voice	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
diuers	diuers	j	diverse	diverse	0
strangers	strangers	n2	strangers	stranger	0
in	in	p-acp	in	in	0
forrein	forrein	j	foreign	foreign	0
countries	countries	n2	countries	country	0
haue	haue	vhb	have	have	0
don	don	vdn	dONE	do	0
here	here	av	here	here	0
∣	∣	sy	∣	∣	0
tofore	tofore	av	tofore	tofore	0
)	)	)	)	)	0
And	And	cc	And	and	0
I	I	pns11	I	i	0
knowing	knowing	vvg	knowing	know	0
that	that	cst	that	that	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
nation	nation	n1	nation	nation	0
haue	haue	vhb	have	have	0
bene	bene	vbn	be	be	0
very	very	av	very	very	0
desirous	desirous	j	desirous	desirous	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
some	some	d	some	some	0
published	published	vvn	published	publish	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
such	such	d	such	such	0
louers	louers	n2	lovers	lover	0
of	of	pp-f	of	of	0
Musick	Musick	n1	Music	music	0
as	as	c-acp	as	as	0
doe	doe	vdb	do	do	0
dwell	dwell	vvi	dwell	dwell	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
nye	nye	av-j	nigh	nigh	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
