COnsidering	COnsidering	vvg	COnsidering	consider	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
deare	deare	j-jn	deer	dear	0
and	and	cc	and	and	0
louing	louing	j-vvg	loving	love	0
mother	mother	n1	mother	mother	0
)	)	)	)	)	0
the	the	dt	the	the	0
great	great	j	great	great	0
care	care	n1	care	care	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
committed	committed	vvn	committed	commit	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
Gouernours	Gouernours	n2	Governors	governor	0
of	of	pp-f	of	of	0
Families	Families	n2	Families	family	0
(	(	(	(	(	0
namely	namely	av	namely	namely	0
)	)	)	)	)	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
prouide	prouide	vvi	provide	provide	0
things	things	n2	things	thing	0
necessa	necessa	fw-la	necessa	necessa	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
wel-being	wel-being	n1	well-being	well-being	0
of	of	pp-f	of	of	0
the1	the1	n1	the1	the1	0
.	.	.	.	.	1
Tim.	Tim.	np1	Tim.	Tim.	0
5.8	5.8	crd	5.8	5.8	0
.	.	.	.	.	0
bo	bo	zz	bo	bo	0
∣	∣	sy	∣	∣	0
dies	dies	vvz	die	die	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Families	Families	n2	Families	family	0
,	,	,	,	,	0
both	both	d	both	both	0
chil	chil	fw-la	chil	chil	0
∣	∣	sy	∣	∣	0
dren	dren	n1	dren	dren	0
and	and	cc	and	and	0
seruants	seruants	n2	servants	servant	0
,	,	,	,	,	0
Deut.	Deut.	np1	Deut.	Deut.	1
11.19	11.19	crd	11.19	11.19	0
.	.	.	.	.	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
teach	teach	vvi	teach	teach	0
and	and	cc	and	and	0
instruct	instruct	vvi	instruct	instruct	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
his	his	po31	his	his	0
will	will	n1	will	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
com	com	vvb	come	come	0
∣	∣	sy	∣	∣	0
munication	munication	n1	munication	munication	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
parti	parti	fw-la	parti	parti	0
∣	∣	sy	∣	∣	0
cular	cular	j-jn	cular	cular	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
worship	worship	n1	worship	worship	0
and	and	cc	and	and	0
ser	ser	zz	ser	ser	0
∣	∣	sy	∣	∣	0
uice	uice	n1	vice	vice	0
:	:	:	:	:	0
the	the	dt	the	the	0
performance	performance	n1	performance	performance	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
thing	thing	n1	thing	thing	0
maketh	maketh	vvz	makes	make	0
the	the	dt	the	the	0
bee	bee	n1	bee	bee	0
bothPro	bothPro	np1	bothPro	bothPro	0
.	.	.	.	.	1
31.15.30	31.15.30	crd	31.15.30	31.15.30	0
.	.	.	.	.	0
commended	commended	vvn	commended	commend	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
approoued	approoued	j-vvn	approved	approve	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
him	him	pno31	him	he	0
∣	∣	sy	∣	∣	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
Ester	Ester	np1	Ester	Ester	0
4.16	4.16	crd	4.16	4.16	0
.	.	.	.	.	1
Gen.	Gen.	np1	Gen.	Gen.	0
18.19	18.19	crd	18.19	18.19	0
And	And	cc	And	and	0
also	also	av	also	also	0
considering	considering	vvg	considering	consider	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
imployments	imployments	n2	employments	employment	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
neces	neces	n2	nieces	niece	0
∣	∣	sy	∣	∣	0
sarily	sarily	av-j	sarily	sary	0
with-held	with-held	vvn	withheld	withhold	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
constant	constant	j	constant	constant	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
biding	biding	vvg	biding	bide	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
Family	Family	n1	Family	family	0
:	:	:	:	:	0
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
respect	respect	n1	respect	respect	0
,	,	,	,	,	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
both	both	d	both	both	0
care	care	n1	care	care	0
and	and	cc	and	and	0
paines	paines	n2	pains	pain	0
lieth	lieth	vvz	lies	lie	0
vpon	vpon	p-acp	upon	upon	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
therefore	therefore	av	therefore	therefore	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
helpe	helpe	n1	help	help	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
weightiest	weightiest	js	weightiest	weighty	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
your	your	po22	your	your	0
charges	charges	n2	charges	charge	0
)	)	)	)	)	0
here	here	av	here	here	0
sent	sent	vvd	sent	send	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
certaine	certaine	j	certain	certain	0
Questi	Questi	n1	Question	question	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
and	and	cc	and	and	0
Answers	Answers	n2	Answers	answer	0
,	,	,	,	,	0
opening	opening	vvg	opening	open	0
and	and	cc	and	and	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
plaining	plaining	j-vvg	plaining	plain	0
both	both	av-d	both	both	0
the	the	dt	the	the	0
nature	nature	n1	nature	nature	0
and	and	cc	and	and	0
also	also	av	also	also	0
the	the	dt	the	the	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
the	the	dt	the	the	0
Sacraments	Sacraments	n2	Sacraments	sacrament	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
his	his	po31	his	his	0
Institution	Institution	n1	Institution	institution	0
,	,	,	,	,	0
entreating	entreating	vvg	entreating	entreat	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
absence	absence	n1	absence	absence	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Father1	Father1	np1	Father1	Father1	0
.	.	.	.	.	1
Cor.	Cor.	np1	Cor.	Cor.	0
14.35	14.35	crd	14.35	14.35	0
.	.	.	.	.	1
(	(	(	(	(	0
for	for	c-acp	for	for	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
presence	presence	n1	presence	presence	0
you	you	pn22	you	you	0
remaine	remaine	vvb	remain	remain	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
learner	learner	n1	learner	learner	0
,	,	,	,	,	0
not	not	xx	not	not	0
an	an	dt	and	a	0
instructer	instructer	n1	instructer	instructer	0
)	)	)	)	)	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
your	your	po22	your	your	0
practise	practise	n1	practice	practice	0
to	to	p-acp	to	to	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
struct	struct	vvn	struct	strike	0
your	your	po22	your	your	0
Family	Family	n1	Family	family	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
know	know	vvi	know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
I	I	pns11	I	i	0
shal	shal	vmb	shall	shall	0
not	not	xx	not	not	0
need	need	vvi	need	need	0
to	to	pc-acp	to	to	0
alleadge	alleadge	vvi	allege	allege	0
to	to	p-acp	to	to	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
swade	swade	vvi	suade	suade	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
performance	performance	n1	performance	performance	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
duty	duty	n1	duty	duty	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
resteth	resteth	vvz	rests	rest	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
reason	reason	n1	reason	reason	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
our	our	po12	our	our	0
actions	actions	n2	actions	action	0
,	,	,	,	,	0
taketh	taketh	vvz	takes	take	0
place	place	n1	place	place	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
also	also	av	also	also	0
(	(	(	(	(	0
namely	namely	av	namely	namely	0
)	)	)	)	)	0
the	the	dt	the	the	0
will	will	n1	will	will	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
will	will	n1	will	will	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
law	law	n1	law	law	0
to	to	p-acp	to	to	0
vs	vs	pno12	us	we	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
.	.	.	.	.	1
Deut.	Deut.	np1	Deut.	Deut.	0
11.19	11.19	crd	11.19	11.19	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
if	if	cs	if	if	0
any	any	d	any	any	0
soule	soule	n1	soul	soul	0
perish	perish	vvb	perish	perish	0
for	for	p-acp	for	for	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
discharge	discharge	n1	discharge	discharge	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
duty	duty	n1	duty	duty	0
,	,	,	,	,	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
quire	quire	n1	choir	choir	0
their	their	po32	their	their	0
blood	blood	n1	blood	blood	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
.	.	.	.	.	1
Ez.	Ez.	np1	Ez.	Ez.	0
33.8	33.8	crd	33.8	33.8	0
Gal.	Gal.	np1	Gal.	Gal.	0
6.10	6.10	crd	6.10	6.10	0
.	.	.	.	.	1
Thirdly	Thirdly	ord	Thirdly	third	0
,	,	,	,	,	0
