REuerend	REuerend	n-jn	REuerend	reuerend	0
,	,	,	,	,	0
louing	louing	vvg	loving	love	0
&	&	cc	&	and	0
beloued	beloued	j-vvn	beloved	belove	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
honor	honor	n1	honour	honour	0
&	&	cc	&	and	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
it	it	pn31	it	it	0
so	so	av	so	so	0
pleasing	pleasing	vvg	pleasing	please	0
his	his	po31	his	his	0
diuine	diuine	j-jn	divine	divine	0
Maiestie	Maiestie	n1	Majesty	majesty	0
to	to	pc-acp	to	to	0
withhold	withhold	vvi	withhold	withhold	0
me	me	pno11	me	i	0
by	by	p-acp	by	by	0
much	much	d	much	much	0
weaknesse	weaknesse	n1	weakness	weakness	0
a	a	dt	a	a	0
great	great	j	great	great	0
while	while	n1	while	while	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
from	from	p-acp	from	from	0
preaching	preaching	vvg	preaching	preach	0
his	his	po31	his	his	0
holy	holy	j	holy	holy	0
word	word	n1	word	word	0
,	,	,	,	,	0
I	I	pns11	I	i	0
searched	searched	vvd	searched	search	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
do	do	vdi	do	do	0
most	most	av-ds	most	most	0
seruice	seruice	n1	service	service	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
my	my	po11	my	my	0
old	old	j	old	old	0
yeares	yeares	n2	years	year	0
and	and	cc	and	and	0
decay	decay	n1	decay	decay	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
dayes	dayes	n2	days	day	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
good	good	j	good	good	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
good	good	j	good	good	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
talent	talent	n1	talon	talon	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
bestowed	bestowed	vvn	bestowed	bestow	0
vpon	vpon	p-acp	upon	upon	0
me	me	pno11	me	i	0
.	.	.	.	.	1
Hauing	Hauing	vhg	Having	have	0
a	a	dt	a	a	0
small	small	j	small	small	0
one	one	pi	one	one	0
in	in	p-acp	in	in	0
writing	writing	n1	writing	writing	0
,	,	,	,	,	0
I	I	pns11	I	i	0
resolued	resolued	vvd	resolved	resolve	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
it	it	pn31	it	it	0
now	now	av	now	now	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
called	called	vvn	called	call	0
thereunto	thereunto	av	thereunto	thereunto	0
.	.	.	.	.	0
)	)	)	)	)	1
Our	Our	po12	Our	our	0
glorious	glorious	j	glorious	glorious	0
God	God	np1	God	God	0
saith	saith	vvz	says	say	0
by	by	p-acp	by	by	0
Solo	Solo	np1	Solo	Solo	0
∣	∣	sy	∣	∣	0
mons	mons	fw-la	mons	mons	0
pen	pen	n1	pen	pen	0
,	,	,	,	,	0
Without	Without	p-acp	Without	without	0
counsell	counsell	n1	counsel	counsel	0
,	,	,	,	,	0
Prou.	Prou.	np1	Prou.	Prou.	1
15.22	15.22	crd	15.22	15.22	0
.	.	.	.	.	0
purposes	purposes	n2	purposes	purpose	0
are	are	vbr	are	be	0
disap	disap	vvi	disap	disap	0
∣	∣	sy	∣	∣	0
pointed	pointed	vvd	pointed	point	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
multitude	multitude	n1	multitude	multitude	0
of	of	pp-f	of	of	0
counsellers	counsellers	n2	counsellers	counseller	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
