MY	MY	po11	MY	my	0
LORD	LORD	n1	LORD	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Could	Could	vmd	Could	can	0
not	not	xx	not	not	0
without	without	p-acp	without	without	0
injustice	injustice	n1	injustice	injustice	0
,	,	,	,	,	0
have	have	vhb	have	have	0
dedicated	dedicated	vvn	dedicated	dedicate	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
but	but	p-acp	but	but	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
person	person	n1	person	person	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
so	so	av	so	so	0
much	much	av-d	much	much	0
obliged	obliged	vvn	obliged	oblige	0
,	,	,	,	,	0
so	so	av	so	so	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
member	member	n1	member	member	0
of	of	pp-f	of	of	0
either	either	d	either	either	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Parliament	Parliament	n1	Parliament	parliament	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
so	so	av	so	so	0
freely	freely	av-j	freely	free	0
and	and	cc	and	and	0
generously	generously	av-j	generously	generous	0
owned	owned	vvd	owned	own	0
the	the	dt	the	the	0
Protestant	Protestant	n1	Protestant	protestant	0
interest	interest	n1	interest	interest	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
obligations	obligations	n2	obligations	obligation	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
too	too	av	too	too	0
great	great	j	great	great	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
exprest	exprest	vvn	expressed	express	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
my	my	po11	my	my	0
du	du	fw-fr	du	du	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
to	to	p-acp	to	to	0
take	take	vvi	take	take	0
all	all	d	all	all	0
occasions	occasions	n2	occasions	occasion	0
of	of	pp-f	of	of	0
expres	expres	j	express	express	0
∣	∣	sy	∣	∣	0
sing	sing	vvb	sing	sing	0
my	my	po11	my	my	0
thankfulness	thankfulness	n1	thankfulness	thankfulness	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
this	this	d	this	this	0
occasion	occasion	n1	occasion	occasion	0
to	to	pc-acp	to	to	0
proclaim	proclaim	vvi	proclaim	proclaim	0
my	my	po11	my	my	0
thankfulness	thankfulness	n1	thankfulness	thankfulness	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
World	World	n1	World	world	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Lordships	Lordships	n2	Lordship's	lordship	0
late	late	av-j	late	late	0
owning	owning	vvg	owning	own	0
the	the	dt	the	the	0
Protestant	Protestant	n1	Protestant	protestant	0
interest	interest	n1	interest	interest	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Peers	Peers	n2	Peers	peer	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
so	so	av	so	so	0
emi	emi	j	emi	emi	0
∣	∣	sy	∣	∣	0
nent	nent	n1	nent	nent	0
,	,	,	,	,	0
and	and	cc	and	and	0
accompanied	accompanied	vvn	accompanied	accompany	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
zeal	zeal	n1	zeal	zeal	0
and	and	cc	and	and	0
courage	courage	n1	courage	courage	0
,	,	,	,	,	0
that	that	cst	that	that	0
(	(	(	(	(	0
next	next	ord	next	next	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
King	King	n1	King	king	0
)	)	)	)	)	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
may	may	vmb	may	may	0
deservedly	deservedly	av-vvn	deservedly	deserve	0
be	be	vbi	be	be	0
stiled	stiled	vvd	styled	stile	0
the	the	dt	the	the	0
chief	chief	j-jn	chief	chief	0
asserter	asserter	n1	asserter	asserter	0
and	and	cc	and	and	0
promoter	promoter	n1	promoter	promoter	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
sequently	sequently	av-j	sequently	sequent	0
the	the	dt	the	the	0
asserter	asserter	n1	asserter	asserter	0
and	and	cc	and	and	0
promoter	promoter	n1	promoter	promoter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
interest	interest	n1	interest	interest	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
interest	interest	n1	interest	interest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Protestant	Protestant	n1	Protestant	protestant	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
interest	interest	n1	interest	interest	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
are	are	vbr	are	be	0
so	so	av	so	so	0
interwoven	interwoven	vvn	interwoven	interweave	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
welfare	welfare	n1	welfare	welfare	0
or	or	cc	or	or	0
ruine	ruine	n1	ruin	ruin	0
of	of	pp-f	of	of	0
either	either	d	either	either	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
welfare	welfare	n1	welfare	welfare	0
or	or	cc	or	or	0
ruine	ruine	n1	ruin	ruin	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
being	being	vbg	being	be	0
obli	obli	j	obli	obli	0
∣	∣	sy	∣	∣	0
ged	ged	vvn	ged	ge	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
both	both	d	both	both	0
as	as	c-acp	as	as	0
an	an	dt	and	a	0
English	English	jp	English	english	0
Protestant	Protestant	n1	Protestant	protestant	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
more	more	av-dc	more	more	0
particularly	particularly	av-j	particularly	particular	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
private	private	j	private	private	0
capacity	capacity	n1	capacity	capacity	0
,	,	,	,	,	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
grant	grant	vvi	grant	grant	0
that	that	cst	that	that	0
your	your	po22	your	your	0
life	life	n1	life	life	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
long	long	j	long	long	0
and	and	cc	and	and	0
prosperous	prosperous	j	prosperous	prosperous	0
,	,	,	,	,	0
your	your	po22	your	your	0
memory	memory	n1	memory	memory	0
and	and	cc	and	and	0
posterity	posterity	n1	posterity	posterity	0
honourable	honourable	j	honourable	honourable	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
and	and	cc	and	and	0
Moon	Moon	n1	Moon	moon	0
shall	shall	vmb	shall	shall	0
endure	endure	vvi	endure	endure	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
soul	soul	n1	soul	soul	0
and	and	cc	and	and	0
body	body	n1	body	body	0
eternally	eternally	av-j	eternally	eternal	0
happy	happy	j	happy	happy	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
time	time	n1	time	time	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
more	more	av-dc	more	more	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
this	this	d	this	this	0
Prayer	Prayer	n1	Prayer	prayer	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
only	only	av-j	only	only	0
add	add	vvi	add	add	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
unfeignedly	unfeignedly	av-j	unfeignedly	unfeigned	0
,	,	,	,	,	0
My	My	po11	My	my	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	1
