ALbeit	ALbeit	cs	ALbeit	albeit	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
iustly	iustly	av-j	justly	just	0
censu	censu	uh-np	censum	censum	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
gracious	gracious	j	gracious	gracious	0
Queen	Queen	n1	Queen	queen	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
committed	committed	vvn	committed	commit	0
a	a	dt	a	a	0
two	two	crd	two	two	0
folde	folde	n1	fold	fold	0
fault	fault	n1	fault	fault	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
mine	mine	po11	mine	my	0
enterprise	enterprise	n1	enterprise	enterprise	0
:	:	:	:	:	0
first	first	ord	first	first	0
in	in	p-acp	in	in	0
vndertaking	vndertaking	vvg	undertaking	undertake	0
it	it	pn31	it	it	0
,	,	,	,	,	0
being	being	vbg	being	be	0
most	most	av-ds	most	most	0
vnwor	vnwor	n1	vnwor	vnwor	0
∣	∣	sy	∣	∣	0
thie	thie	j-jn	thie	thie	0
:	:	:	:	:	0
next	next	ord	next	next	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
exhibiting	exhibiting	vvg	exhibiting	exhibit	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
High	High	j	High	high	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
,	,	,	,	,	0
beeing	beeing	vbg	being	be	0
most	most	av-ds	most	most	0
worthie	worthie	j	worthy	worthy	0
:	:	:	:	:	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
your	your	po22	your	your	0
roiall	roiall	j	royal	royal	0
patience	patience	n1	patience	patience	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
mine	mine	po11	mine	my	0
excuse	excuse	n1	excuse	excuse	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
sound	sound	vvi	found	sound	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
knowen	knowen	j-vvn	known	know	0
clemen	clemen	n2	clemen	cleman	0
∣	∣	sy	∣	∣	0
cie	cie	n1	cie	eye	0
