WHen	WHen	c-crq	WHen	when	0
wee	wee	pns12	we	we	0
see	see	vvb	see	see	0
one	one	pi	one	one	0
goe	goe	vvi	go	go	0
or	or	cc	or	or	0
doe	doe	vdb	do	do	0
amisse	amisse	av	amiss	amiss	0
,	,	,	,	,	0
though	though	cs	though	though	0
his	his	po31	his	his	0
feet	feet	n2	feet	foot	0
or	or	cc	or	or	0
hands	hands	n2	hands	hand	0
bee	bee	vbb	be	be	0
the	the	dt	the	the	0
next	next	ord	next	next	0
actors	actors	n2	actors	actor	0
and	and	cc	and	and	0
instru	instru	n2	instru	instru	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
error	error	n1	error	error	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
wee	wee	pns12	we	we	0
say	say	vvb	say	say	0
not	not	xx	not	not	0
,	,	,	,	,	0
Are	Are	vbr	Are	be	0
you	you	pn22	you	you	0
lame	lame	j	lame	lame	0
?	?	?	?	?	0
but	but	cc-acp	but	but	0
,	,	,	,	,	0
Haue	Haue	vhb	Have	have	0
you	you	pn22	you	you	0
no	no	dx	no	no	0
eyes	eyes	n2	eyes	eye	0
?	?	?	?	?	0
or	or	cc	or	or	0
,	,	,	,	,	0
Can	Can	vmb	Can	can	0
you	you	pn22	you	you	0
not	not	xx	not	not	0
see	see	vvi	see	see	0
?	?	?	?	?	1
What	What	q-crq	What	what	0
euer	euer	av	ever	ever	0
sweruings	sweruings	n2-vvg	swervings	swerving	0
or	or	cc	or	or	0
stumblings	stumblings	n2-vvg	stumblings	stumbling	0
any	any	d	any	any	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
body	body	n1	body	body	0
politique	politique	j	politic	politic	0
makes	makes	vvz	makes	make	0
,	,	,	,	,	0
the	the	dt	the	the	0
blame	blame	n1	blame	blame	0
lights	lights	vvz	lights	light	0
not	not	xx	not	not	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
Gentry	Gentry	n1	Gentry	gentry	0
or	or	cc	or	or	0
Comminalty	Comminalty	n1	Commonalty	commonalty	0
,	,	,	,	,	0
the	the	dt	the	the	0
immediate	immediate	j	immediate	immediate	0
delinquents	delinquents	n2-jn	delinquents	delinquent	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
prin	prin	n1	prin	prin	0
∣	∣	sy	∣	∣	0
cipall	cipall	j-jn	cipall	cipall	0
lights	lights	n2	lights	light	0
in	in	p-acp	in	in	0
Magistracy	Magistracy	n1	Magistracy	magistracy	0
or	or	cc	or	or	0
Ministery	Ministery	n1	Ministry	ministry	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
being	being	vbg	being	be	0
as	as	p-acp	as	as	0
Guardians	Guardians	n2	Guardians	guardian	0
