Courteous	Courteous	j	Courteous	courteous	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
THough	THough	cs	THough	though	0
this	this	d	this	this	0
be	be	vbb	be	be	0
a	a	dt	a	a	0
small	small	j	small	small	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
present	present	vvi	present	present	0
thee	thee	pno21	thee	thou	0
with	with	p-acp	with	with	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
weighty	weighty	j	weighty	weighty	0
concernment	concernment	n1	concernment	concernment	0
,	,	,	,	,	0
even	even	av	even	even	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Discourse	Discourse	n1	Discourse	discourse	0
of	of	pp-f	of	of	0
Life	Life	n1	Life	life	0
and	and	cc	and	and	0
Death	Death	n1	Death	death	0
to	to	p-acp	to	to	0
Eternity	Eternity	n1	Eternity	eternity	0
:	:	:	:	:	0
opening	opening	vvg	opening	open	0
,	,	,	,	,	0
and	and	cc	and	and	0
clearing	clearing	vvg	clearing	clear	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
time	time	n1	time	time	0
is	is	vbz	is	be	0
at	at	p-acp	at	at	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
Resurrection	Resurrection	n1	Resurrection	resurrection	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Dead	Dead	j	Dead	dead	0
,	,	,	,	,	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
just	just	j	just	just	0
and	and	cc	and	and	0
unjust	unjust	j	unjust	unjust	0
;	;	;	;	;	0
even	even	av	even	even	0
of	of	pp-f	of	of	0
the	the	pno32	thee	they	0
Bo	Bo	uh	Bo	bo	0
∣	∣	sy	∣	∣	0
dies	dies	vvz	die	die	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Graves	Graves	n2	Graves	grave	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
,	,	,	,	,	0
or	or	cc	or	or	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
approach	approach	n1	approach	approach	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
