RAchell	RAchell	n1	RAchell	rakehell	0
,	,	,	,	,	0
Gen.	Gen.	np1	Gen.	Gen.	0
30.35	30.35	crd	30.35	30.35	0
.	.	.	.	.	0
the	the	dt	the	the	0
wife	wife	n1	wife	wife	0
of	of	pp-f	of	of	0
Isra	Isra	np1	Isra	Isra	0
∣	∣	sy	∣	∣	0
ell	ell	n1	ell	ell	0
,	,	,	,	,	0
had	had	vhd	had	have	0
two	two	crd	two	two	0
sonnes	sonnes	n2	sons	son	0
,	,	,	,	,	0
Ioseph	Ioseph	np1	Ioseph	Joseph	0
,	,	,	,	,	0
and	and	cc	and	and	0
Beniamin	Beniamin	np1	Beniamin	Benjamin	0
,	,	,	,	,	0
Iohn	Iohn	np1	Iohn	John	0
.	.	.	.	.	1
19.	19.	crd	19.	19	1
Mary	Mary	np1	Mary	Mary	0
the	the	dt	the	the	0
spouse	spouse	n1	spouse	spouse	0
,	,	,	,	,	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
Israell	Israell	np1	Israell	Israel	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
one	one	pi	one	one	0
which	which	r-crq	which	which	0
see	see	n1	see	see	0
God	God	np1	God	God	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
himselfe	himselfe	px31	himself	himself	0
had	had	vhn	had	have	0
likewise	likewise	av	likewise	likewise	0
two	two	crd	two	two	0
Sons	Sons	n2	Sons	son	0
,	,	,	,	,	0
Iesus	Iesus	np1	Iesus	Jesus	0
and	and	cc	and	and	0
Iohn	Iohn	np1	Iohn	John	0
:	:	:	:	:	0
the	the	dt	the	the	0
Mother	Mother	n1	Mother	mother	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
first	first	ord	first	first	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
figure	figure	n1	figure	figure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
last	last	ord	last	last	0
Mother	Mother	n1	Mother	mother	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
Children	Children	n2	Children	child	0
not	not	xx	not	not	0
vnfitly	vnfitly	av-j	unfitly	unfit	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
compared	compared	vvn	compared	compare	0
toge	toge	n1	toga	toge	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
.	.	.	.	.	1
Rachell	Rachell	np1	Rachell	Rachel	0
signifieth	signifieth	vvz	signifies	signify	0
a	a	dt	a	a	0
sheepe	sheepe	n1	sheep	sheep	0
,	,	,	,	,	0
and	and	cc	and	and	0
Marie	Marie	vvi	marry	marry	0
Iohn	Iohn	np1	Iohn	John	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	0
broght	broght	vvn	brought	bring	0
a	a	dt	a	a	0
Lamb	Lamb	n1	Lamb	lamb	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
a	a	dt	a	a	0
Lambe	Lambe	n1	Lamb	lamb	0
which	which	r-crq	which	which	0
tooke	tooke	vvd	took	take	0
a	a	av	a	a	0
∣	∣	sy	∣	∣	0
way	way	n1	way	way	0
the	the	cs	the	than	0
sinnes	sinnes	n2	sins	sin	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
Ioseph	Ioseph	np1	Ioseph	Joseph	0
the	the	dt	the	the	0
first	first	ord	first	first	0
begotten	begotten	vvn	begotten	beget	0
of	of	pp-f	of	of	0
Ra	Ra	zz	Ra	ra	0
∣	∣	sy	∣	∣	0
chell	chell	n1	chell	chell	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
dreames	dreames	n2	dreams	dream	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
signified	signified	vvd	signified	signify	0
a	a	dt	a	a	0
superiority	superiority	n1	superiority	superiority	0
hee	hee	pns31	he	he	0
should	should	vmd	should	shall	0
haue	haue	vhi	have	have	0
ouer	ouer	p-acp	over	over	0
all	all	d	all	all	0
his	his	po31	his	his	0
brethe	brethe	n1	brethren	breath	0
∣	∣	sy	∣	∣	0
ren	ren	fw-it	ren	ren	0
,	,	,	,	,	0
grew	grew	vvd	grew	grow	0
so	so	av	so	so	0
odious	odious	j	odious	odious	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
sought	sought	vvd	sought	seek	0
opportunitie	opportunitie	n1	opportunity	opportunity	0
to	to	pc-acp	to	to	0
kill	kill	vvi	kill	kill	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
end	end	n1	end	end	0
was	was	vbds	was	be	0
sold	sold	vvn	sold	sell	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Egiptians	Egiptians	njp2	Egyptians	egyptian	0
for	for	p-acp	for	for	0
thirty	thirty	crd	thirty	thirty	0
pence	pence	n2	pence	penny	0
by	by	p-acp	by	by	0
Iudas	Iudas	np1	Iudas	Judas	0
.	.	.	.	.	1
Iesus	Iesus	np1	Iesus	Jesus	0
the	the	dt	the	the	0
first	first	ord	first	first	0
begotten	begotten	vvn	begotten	beget	0
of	of	pp-f	of	of	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
feared	feared	vvd	feared	fear	0
hee	hee	pns31	he	he	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
King	King	n1	King	king	0
ouer	ouer	p-acp	over	over	0
them	them	pno32	them	they	0
,	,	,	,	,	0
being	being	vbg	being	be	0
mightie	mightie	j	mighty	mighty	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
dreames	dreames	n2	dreams	dream	0
,	,	,	,	,	0
Luk.	Luk.	np1	Luk.	Luk.	0
24	24	crd	24	24	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
worke	worke	n1	work	work	0
and	and	cc	and	and	0
worde	worde	n1	word	word	0
,	,	,	,	,	0
became	became	vvd	became	become	0
so	so	av	so	so	0
much	much	av-d	much	much	0
hated	hated	vvn	hated	hate	0
amongst	amongst	p-acp	among	among	0
them	them	pno32	them	they	0
,	,	,	,	,	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
though	though	cs	though	though	0
he	he	pns31	he	he	0
were	were	vbdr	were	be	0
a	a	dt	a	a	0
Iew	Iew	np1	Iew	Jew	0
borne	borne	vvn	born	bear	0
,	,	,	,	,	0
&	&	cc	&	and	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
brethren	brethren	n2	brothers	brethren	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
long	long	av-j	long	long	0
vntil	vntil	c-acp	until	until	0
they	they	pns32	they	they	0
crucifi	crucifi	n2	crucifi	crucifi	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
him	him	pno31	him	he	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
