Great	Great	j	Great	great	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
THE	THE	dt	THE	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
Subject	Subject	j-jn	Subject	subject	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
suing	suing	n-vvg	suing	sue	0
Meditations	Meditations	n2	Meditations	meditation	0
,	,	,	,	,	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
crave	crave	vvb	crave	crave	0
leave	leave	n1	leave	leave	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Acceptance	Acceptance	n1	Acceptance	acceptance	0
,	,	,	,	,	0
Peru	Peru	np1	Peru	Peru	0
∣	∣	sy	∣	∣	0
sal	sal	fw-la	sal	sal	0
and	and	cc	and	and	0
Consideration	Consideration	n1	Consideration	consideration	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
containing	containing	vvg	containing	contain	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
weight	weight	n1	weight	weight	0
and	and	cc	and	and	0
worth	worth	n1	worth	worth	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Self	Self	n1	Self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Three	Three	crd	Three	three	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
;	;	;	;	;	0
my	my	po11	my	my	0
unfeigned	unfeigned	j	unfeigned	unfeigned	0
hearty	hearty	j	hearty	hearty	0
desire	desire	n1	desire	desire	0
,	,	,	,	,	0
confi	confi	n2	confi	confi	0
∣	∣	sy	∣	∣	0
dence	dence	n1	dence	dence	0
and	and	cc	and	and	0
comfort	comfort	n1	comfort	comfort	0
concerning	concerning	vvg	concerning	concern	0
You	You	pn22	You	you	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
You	You	pn22	You	you	0
will	will	vmb	will	will	0
pursue	pursue	vvi	pursue	pursue	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
utmost	utmost	j	utmost	utmost	0
Power	Power	n1	Power	power	0
,	,	,	,	,	0
this	this	d	this	this	0
great	great	j	great	great	0
Command	Command	n1	Command	command	0
,	,	,	,	,	0
Counsel	Counsel	n1	Counsel	counsel	0
and	and	cc	and	and	0
Proclamation	Proclamation	n1	Proclamation	proclamation	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Saviour	Saviour	n1	Saviour	saviour	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
seeking	seeking	vvg	seeking	seek	0
first	first	ord	first	first	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Righteousness	Righteousness	n1	Righteousness	righteousness	0
:	:	:	:	:	0
And	And	cc	And	and	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
Your	Your	po22	Your	your	0
Example	Example	n1	Example	example	0
,	,	,	,	,	0
Command	Command	n1	Command	command	0
,	,	,	,	,	0
Counsel	Counsel	n1	Counsel	counsel	0
,	,	,	,	,	0
and	and	cc	and	and	0
Pro	Pro	fw-la	Pro	pro	0
∣	∣	sy	∣	∣	0
clamation	clamation	n1	clamation	clamation	0
also	also	av	also	also	0
endeavor	endeavor	vvi	endeavour	endeavour	0
that	that	cst	that	that	0
all	all	d	all	all	0
under	under	p-acp	under	under	0
Your	Your	po22	Your	your	0
Care	Care	n1	Care	care	0
and	and	cc	and	and	0
Charge	Charge	n1	Charge	charge	0
may	may	vmb	may	may	0
do	do	vdi	do	do	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
great	great	j	great	great	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
coming	coming	n-vvg	coming	come	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
living	living	vvg	living	live	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
dying	dying	vvg	dying	die	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
next	next	ord	next	next	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Glory	Glory	n1	Glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
enjoy	enjoy	vvi	enjoy	enjoy	0
a	a	dt	a	a	0
bet	bet	n1	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
,	,	,	,	,	0
this	this	d	this	this	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
which	which	r-crq	which	which	0
end	end	n1	end	end	0
and	and	cc	and	and	0
purpose	purpose	vvb	purpose	purpose	0
our	our	po12	our	our	0
Supplications	Supplications	n2	Supplications	supplication	0
,	,	,	,	,	0
Prayers	Prayers	n2	Prayers	prayer	0
,	,	,	,	,	0
Intercessions	Intercessions	n2	Intercessions	intercession	0
,	,	,	,	,	0
and	and	cc	and	and	0
giving	giving	vvg	giving	give	0
of	of	pp-f	of	of	0
Thanks	Thanks	n2	Thanks	thank	0
are	are	vbr	are	be	0
made	made	vvn	made	make	0
to	to	p-acp	to	to	0
Almighty	Almighty	j-jn	Almighty	almighty	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
You	You	pn22	You	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
Authority	Authority	n1	Authority	authority	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
lead	lead	vvi	led	lead	0
a	a	dt	a	a	0
quiet	quiet	j-jn	quiet	quiet	0
and	and	cc	and	and	0
peaceable	peaceable	j	peaceable	peaceable	0
Life	Life	n1	Life	life	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
godliness	godliness	n1	godliness	godliness	0
and	and	cc	and	and	0
honesty	honesty	n1	honesty	honesty	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
is	is	vbz	is	be	0
good	good	j	good	good	0
and	and	cc	and	and	0
acceptable	acceptable	j	acceptable	acceptable	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
our	our	po12	our	our	0
Saviour	Saviour	n1	Saviour	saviour	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
will	will	vmb	will	will	0
have	have	vhi	have	have	0
all	all	d	all	all	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
saved	saved	vvn	saved	save	0
,	,	,	,	,	0
and	and	cc	and	and	0
come	come	vvb	come	come	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
You	You	pn22	You	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
in	in	p-acp	in	in	0
eminent	eminent	j	eminent	eminent	0
place	place	n1	place	place	0
under	under	p-acp	under	under	0
You	You	pn22	You	you	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
instrumental	instrumental	j	instrumental	instrumental	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
greatly	greatly	av-j	greatly	great	0
will	will	vmb	will	will	0
it	it	pn31	it	it	0
add	add	vvi	add	add	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Crown	Crown	n1	Crown	crown	0
and	and	cc	and	and	0
Joy	Joy	n1	Joy	joy	0
!	!	!	!	!	1
For	For	p-acp	For	for	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
Your	Your	po22	Your	your	0
Hope	Hope	n1	Hope	hope	0
or	or	cc	or	or	0
Joy	Joy	n1	Joy	joy	0
,	,	,	,	,	0
or	or	cc	or	or	0
Crown	Crown	n1	Crown	crown	0
of	of	pp-f	of	of	0
Glorying	Glorying	vvg	Glorying	glory	0
and	and	cc	and	and	0
Rejoycing	Rejoycing	vvg	Rejoicing	rejoice	0
,	,	,	,	,	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
even	even	av	even	even	0
we	we	po12	we	our	0
Your	Your	po22	Your	your	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
presence	presence	n1	presence	presence	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
coming	coming	n-vvg	coming	come	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
glorified	glorified	vvn	glorified	glorify	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
admired	admired	vvn	admired	admire	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
believe	believe	vvb	believe	believe	0
(	(	(	(	(	0
because	because	c-acp	because	because	0
that	that	d	that	that	0
Your	Your	po22	Your	your	0
Command	Command	n1	Command	command	0
,	,	,	,	,	0
Counsel	Counsel	n1	Counsel	counsel	0
,	,	,	,	,	0
Proclamation	Proclamation	n1	Proclamation	proclamation	0
,	,	,	,	,	0
Example	Example	n1	Example	example	0
and	and	cc	and	and	0
Charge	Charge	vvb	Charge	charge	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Father	Father	n1	Father	father	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Chil	Chil	pns11|vmb	Chil	I|will	0
∣	∣	sy	∣	∣	0
dren	dren	n2	dren	dren	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
walk	walk	vvi	walk	walk	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
called	called	vvn	called	call	0
us	us	pno12	us	we	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
and	and	cc	and	and	0
Glory	Glory	n1	Glory	glory	0
,	,	,	,	,	0
was	was	vbds	was	be	0
believed	believed	vvn	believed	believe	0
,	,	,	,	,	0
obeyed	obeyed	vvn	obeyed	obey	0
and	and	cc	and	and	0
followed	followed	vvd	followed	follow	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
day	day	n1	day	day	0
:	:	:	:	:	0
)	)	)	)	)	0
Wherefore	Wherefore	q-crq	Wherefore	wherefore	0
also	also	av	also	also	0
we	we	pns12	we	we	0
pray	pray	vvb	pray	pray	0
alwayes	alwayes	av	always	always	0
for	for	p-acp	for	for	0
You	You	pn22	You	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
Authority	Authority	n1	Authority	authority	0
both	both	d	both	both	0
Ecclesiastical	Ecclesiastical	j	Ecclesiastical	ecclesiastical	0
and	and	cc	and	and	0
Civil	Civil	j	Civil	civil	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
would	would	vmd	would	will	0
count	count	vvi	count	count	0
and	and	cc	and	and	0
vouchsafe	vouchsafe	vvi	vouchsafe	vouchsafe	0
both	both	d	both	both	0
You	You	pn22	You	you	0
and	and	cc	and	and	0
us	us	pns12	us	we	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thy	thy	po21	thy	thy	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Calling	Calling	vvg	Calling	call	0
,	,	,	,	,	0
and	and	cc	and	and	0
fulfill	fulfill	vvi	fulfil	fulfil	0
all	all	d	all	all	0
the	the	dt	the	the	0
good	good	j	good	good	0
pleasure	pleasure	n1	pleasure	pleasure	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Goodness	Goodness	n1	Goodness	goodness	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
