ARISTOTLE	ARISTOTLE	np1	ARISTOTLE	Aristotle	0
the	the	dt	the	the	0
famous	famous	j	famous	famous	0
Phi	Phi	np1	Phi	Phi	0
∣	∣	sy	∣	∣	0
losopher	losopher	n1	losopher	losopher	0
,	,	,	,	,	0
writing	writing	vvg	writing	write	0
a	a	dt	a	a	0
boke	boke	n1	book	book	0
to	to	p-acp	to	to	0
king	king	n1	king	king	0
Alexāder	Alexāder	np1	Alexāder	Alexander	0
,	,	,	,	,	0
the	the	dt	the	the	0
great	great	j	great	great	0
and	and	cc	and	and	0
migh	migh	av-j	migh	mighty	0
∣	∣	sy	∣	∣	0
tie	tie	zz	tie	tie	0
conquerour	conquerour	n1	conqueror	conqueror	0
,	,	,	,	,	0
began	began	vvd	began	begin	0
the	the	dt	the	the	0
Epi	Epi	fw-la	Epi	epi	0
∣	∣	sy	∣	∣	0
stle	stle	n1	stle	stle	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Booke	Booke	n1	Book	book	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
woor	woor	n1	woor	woor	0
∣	∣	sy	∣	∣	0
des	des	fw-fr	des	des	0
.	.	.	.	.	1
Twoo	Twoo	crd	Twoo	two	0
thynges	thynges	n2	things	thing	0
moued	moued	vvd	moved	move	0
me	me	pno11	me	i	0
chieflie	chieflie	av-jn	chiefly	chief	0
,	,	,	,	,	0
O	O	uh	Oh	oh	0
King	King	n1	King	king	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
betake	betake	vvi	betake	betake	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
handes	handes	n2	hands	hand	0
,	,	,	,	,	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
trauaile	trauaile	n1	travail	travail	0
and	and	cc	and	and	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
thy	thy	po21	thy	thy	0
nobilitie	nobilitie	n1	nobility	nobility	0
and	and	cc	and	and	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
thy	thy	po21	thy	thy	0
nobilitie	nobilitie	n1	nobility	nobility	0
encouraged	encouraged	vvd	encouraged	encourage	0
me	me	pno11	me	i	0
,	,	,	,	,	0
thy	thy	po21	thy	thy	0
greate	greate	j	great	great	0
and	and	cc	and	and	0
singuler	singuler	j	singular	singular	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
indued	indued	vvn	endued	endue	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
humanitie	humanitie	n1	humanity	humanity	0
,	,	,	,	,	0
forced	forced	vvn	forced	force	0
and	and	cc	and	and	0
draue	draue	vvd	drove	drive	0
me	me	pno11	me	i	0
thereto	thereto	av	thereto	thereto	0
.	.	.	.	.	1
The	The	dt	The	the	0
same	same	d	same	same	0
twoo	twoo	crd	twoo	two	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
good	good	j	good	good	0
Lordshippe	Lordshippe	n1	Lordship	lordship	0
,	,	,	,	,	0
Nobilitie	Nobilitie	n1	Nobility	nobility	0
and	and	cc	and	and	0
Vertue	Vertue	n1	Virtue	virtue	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
twoo	twoo	crd	twoo	two	0
migh	migh	av-j	migh	mighty	0
∣	∣	sy	∣	∣	0
tie	tie	zz	tie	tie	0
Pillers	Pillers	n2	Pillars	pillar	0
staied	staied	vvd	stayed	stay	0
me	me	pno11	me	i	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
bolde	bolde	j	bold	bold	0
enterprise	enterprise	n1	enterprise	enterprise	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
your	your	po22	your	your	0
good	good	j	good	good	0
Lordshippe	Lordshippe	n1	Lordship	lordship	0
,	,	,	,	,	0
beyng	beyng	vbg	being	be	0
a	a	dt	a	a	0
Pere	Pere	n1	Peer	peer	0
of	of	pp-f	of	of	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
indued	indued	vvn	endued	endue	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
nobilitie	nobilitie	n1	nobility	nobility	0
and	and	cc	and	and	0
vertue	vertue	n1	virtue	virtue	0
:	:	:	:	:	0
a	a	dt	a	a	0
patrone	patrone	n1	patron	patron	0
and	and	cc	and	and	0
possessoure	possessoure	n1	possessoure	possessoure	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
booke	booke	n1	book	book	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
although	although	cs	although	although	0
copious	copious	j	copious	copious	0
and	and	cc	and	and	0
aboundaunte	aboundaunte	j	aboundaunte	aboundaunte	0
eloquence	eloquence	n1	eloquence	eloquence	0
wanteth	wanteth	vvz	wants	want	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
adorne	adorne	vvi	adorn	adorn	0
and	and	cc	and	and	0
beau	beau	n1	beau	beau	0
∣	∣	sy	∣	∣	0
tifie	tifie	vvb	tifie	tifie	0
the	the	pno32	thee	they	0
same	same	d	same	same	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
doubte	doubte	n1	doubt	doubt	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
profite	profite	n1	profit	profit	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
my	my	po11	my	my	0
trauaile	trauaile	n1	travail	travail	0
conteined	conteined	vvn	contained	contain	0
,	,	,	,	,	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
indued	indued	vvn	endued	endue	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
singuler	singuler	j	singular	singular	0
humanitie	humanitie	n1	humanity	humanity	0
,	,	,	,	,	0
will	will	vmb	will	will	0
vouchsaufe	vouchsaufe	vvi	vouchsafe	vouchsafe	0
to	to	pc-acp	to	to	0
accepte	accepte	vvi	accept	accept	0
my	my	po11	my	my	0
willyng	willyng	j	willing	willing	0
harte	harte	n1	heart	heart	0
,	,	,	,	,	0
my	my	po11	my	my	0
profitable	profitable	j	profitable	profitable	0
purpose	purpose	n1	purpose	purpose	0
herein	herein	av	herein	herein	0
.	.	.	.	.	1
Many	Many	np1	Many	Many	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
mous	mous	n1	mous	mous	0
menne	menne	n2	men	man	0
and	and	cc	and	and	0
greate	greate	j	great	great	0
learned	learned	j	learned	learned	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Greke	Greke	jp	Greek	greek	0
tongue	tongue	n1	tongue	tongue	0
and	and	cc	and	and	0
