Iohn	Iohn	np1	Iohn	John	0
Thorius	Thorius	np1	Thorius	Thorius	0
wisheth	wisheth	vvz	wishes	wish	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Heroicall	Heroicall	j	Heroical	heroical	0
versues	versues	vvz	versues	versue	0
.	.	.	.	.	1
RIght	RIght	av-jn	RIght	right	0
Honourable	Honourable	j	Honourable	honourable	0
:	:	:	:	:	0
Plutarch	Plutarch	np1	Plutarch	Plutarch	0
hath	hath	vhz	hath	have	0
writtē	writtē	vvn	written	write	0
a	a	dt	a	a	0
tretise	tretise	n1	treatise	treatise	0
intituled	intituled	vvn	entitled	entitle	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
sheweth	sheweth	vvz	shows	show	0
how	how	c-crq	how	how	0
men	men	n2	men	man	0
may	may	vmb	may	may	0
reap	reap	vvi	reap	reap	0
profite	profite	n1	profit	profit	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
enemies	enemies	n2	enemies	enemy	0
.	.	.	.	.	1
And	And	cc	And	and	0
forasmuch	forasmuch	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
thys	thys	d	this	this	0
booke	booke	n1	book	book	0
was	was	vbds	was	be	0
written	written	vvn	written	write	0
to	to	pc-acp	to	to	0
instruct	instruct	vvi	instruct	instruct	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
professed	professed	vvn	professed	profess	0
enemyes	enemyes	n2	enemies	enemy	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
estate	estate	n1	estate	estate	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
might	might	vmd	might	may	0
reap	reap	vvi	reap	reap	0
some	some	d	some	some	0
profite	profite	n1	profit	profit	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
,	,	,	,	,	0
if	if	cs	if	if	0
this	this	d	this	this	0
theyr	theyr	po32	their	their	0
Sergeant	Sergeant	n1	Sergeant	sergeant	0
Maior	Maior	n1	Mayor	mayor	0
were	were	vbdr	were	be	0
as	as	a-acp	as	as	0
well	well	av	well	well	0
knowen	knowen	vvn	known	know	0
vnto	vnto	p-acp	unto	unto	0
our	our	po12	our	our	0
men	men	n2	men	man	0
as	as	a-acp	as	as	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
,	,	,	,	,	0
notsomuch	notsomuch	av	notsomuch	notsomuch	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
poynts	poynts	n2	points	point	0
of	of	pp-f	of	of	0
pollicy	pollicy	n1	policy	policy	0
which	which	r-crq	which	which	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
souldiers	souldiers	n2	soldiers	soldier	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
in	in	p-acp	in	in	0
ours	ours	png12	ours	we	0
,	,	,	,	,	0
or	or	cc	or	or	0
for	for	p-acp	for	for	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
more	more	dc	more	more	0
knowledge	knowledge	n1	knowledge	knowledge	0
in	in	p-acp	in	in	0
matters	matters	n2	matters	matter	0
concerninge	concerninge	vvg	concerning	concern	0
warfare	warfare	n1	warfare	warfare	0
then	then	cs	then	than	0
our	our	po12	our	our	0
English	English	jp	English	english	0
warriers	warriers	n2	warriors	warrior	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
