FInding	FInding	vvg	FInding	find	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
little	little	j	little	little	0
Treatise	Treatise	n1	Treatise	treatise	0
)	)	)	)	)	0
a	a	dt	a	a	0
great	great	j	great	great	0
treasure	treasure	n1	treasure	treasure	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
most	most	av-ds	most	most	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
it	it	pn31	it	it	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
would	would	vmd	would	will	0
best	best	js	best	best	0
esteeme	esteeme	vvi	esteem	esteem	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
If	If	cs	If	if	0
then	then	av	then	then	0
thou	thou	pns21	thou	thou	0
be	be	vbb	be	be	0
a	a	dt	a	a	0
good	good	j	good	good	0
Lapidist	Lapidist	vvd2	Lapidist	lapidist	0
,	,	,	,	,	0
and	and	cc	and	and	0
canst	canst	vm2	canst	can	0
iudge	iudge	vvi	judge	judge	0
or	or	cc	or	or	0
discerne	discerne	vvi	discern	discern	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
perfect	perfect	j	perfect	perfect	0
stone	stone	n1	stone	stone	0
;	;	;	;	;	0
heerin	heerin	av	herein	herein	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
that	that	d	that	that	0
Pearle	Pearle	n1	Pearl	pearl	0
of	of	pp-f	of	of	0
price	price	n1	price	price	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Ieweller	Ieweller	n1	Jeweller	jeweller	0
ad	ad	vvi	and	add	0
∣	∣	sy	∣	∣	0
uentureth	uentureth	vvz	uentureth	uenture	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
