YOu	YOu	pn22	YOu	you	0
haue	haue	vhb	have	have	0
read	read	vvn	read	read	0
,	,	,	,	,	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
it	it	pn31	it	it	0
,	,	,	,	,	0
right	right	j-jn	right	right	0
honorables	honorables	n2	honorables	honorable	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Polycletus	Polycletus	np1	Polycletus	Polycletus	0
rule	rule	n1	rule	rule	0
:	:	:	:	:	0
Polyclet	Polyclet	n1	Polyclet	polyclet	0
Regula	Regula	np1	Regula	Regula	0
.	.	.	.	.	1
A	A	dt	A	a	0
speeche	speeche	n1	speech	speech	0
applyed	applyed	vvd	applied	apply	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
men	men	n2	men	man	0
,	,	,	,	,	0
whose	whose	qg-crq	whose	who	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
cellencie	cellencie	n1	cellencie	cellencie	0
many	many	d	many	many	0
haue	haue	vhb	have	have	0
imitated	imitated	vvn	imitated	imitate	0
,	,	,	,	,	0
more	more	n1	more	moor	0
haue	haue	vhb	have	have	0
enuied	enuied	vvn	envied	envy	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
none	none	pi	none	none	0
haue	haue	vhb	have	have	0
attained	attained	vvn	attained	attain	0
.	.	.	.	.	1
Those	Those	d	Those	those	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
imitated	imitated	vvn	imitated	imitate	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
been	been	vbn	been	be	0
Socordes	Socordes	n2	Socordes	socorde	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
vnworthie	vnworthie	j-u	unworthy	worthy	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	n1	cause	cause	0
they	they	pns32	they	they	0
neuer	neuer	av-x	never	never	0
trauailed	trauailed	vvn	travailed	travail	0
to	to	pc-acp	to	to	0
knowe	knowe	vvi	know	know	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ters	ters	n1	ters	ters	0
of	of	pp-f	of	of	0
estate	estate	n1	estate	estate	0
.	.	.	.	.	1
Those	Those	d	Those	those	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
enuied	enuied	vvn	envied	envy	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
