IT's	IT's	pn31|vbz	IT's	it|be	0
such	such	d	such	such	0
a	a	dt	a	a	0
Title	Title	n1	Title	title	0
of	of	pp-f	of	of	0
Preheminence	Preheminence	n1	Pre-eminence	pre-eminence	0
then	then	av	then	then	0
,	,	,	,	,	0
To	To	pc-acp	To	to	0
bear	bear	vvi	bear	bear	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Shepherds	Shepherds	ng1	Shepherd's	shepherd	0
Swain	Swain	n1	Swain	swain	0
,	,	,	,	,	0
That	That	cst	That	that	0
David	David	np1	David	David	0
who	who	r-crq	who	who	0
so	so	av	so	so	0
well	well	av	well	well	0
his	his	po31	his	his	0
words	words	n2	words	word	0
did	did	vdd	did	do	0
frame	frame	vvi	frame	frame	0
,	,	,	,	,	0
Did	Did	vdd	Did	do	0
call	call	vvi	call	call	0
our	our	po12	our	our	0
great	great	j	great	great	0
Creator	Creator	n1	Creator	creator	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
name	name	n1	name	name	0
;	;	;	;	;	0
Our	Our	po12	Our	our	0
bless'd	bless'd	j-vvn	blessed	bless	0
Redeemer	Redeemer	n1	Redeemer	redeemer	0
God's	God's	npg1	God's	God	0
eternal	eternal	j	eternal	eternal	0
Son	Son	n1	Son	son	0
,	,	,	,	,	0
Whose	Whose	rg-crq	Whose	who	0
only	only	av-j	only	only	0
Merits	Merits	vvz	Merits	merit	0
our	our	po12	our	our	0
Salvations	Salvations	n2	Salvations	salvation	0
won	won	vvn	wone	win	0
,	,	,	,	,	0
He	He	pns31	He	he	0
did	did	vdd	did	do	0
the	the	dt	the	the	0
harmless	harmless	j	harmless	harmless	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Shepherd	Shepherd	n1	Shepherd	shepherd	0
take	take	vvi	take	take	0
,	,	,	,	,	0
For	For	c-acp	For	for	0
our	our	po12	our	our	0
Protection	Protection	n1	Protection	protection	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Mercies	Mercies	n2	Mercies	mercy	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
Which	Which	r-crq	Which	which	0
makes	makes	vvz	makes	make	0
thy	thy	po21	thy	thy	0
rest	rest	n1	rest	rest	0
like	like	av-j	like	like	0
those	those	d	those	those	0
that	that	cst	that	that	0
restless	restless	j	restless	restless	0
be	be	vbb	be	be	0
,	,	,	,	,	0
Like	Like	av-j	Like	like	0
one	one	pi	one	one	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
pursued	pursued	vvn	pursued	pursue	0
,	,	,	,	,	0
and	and	cc	and	and	0
cannot	cannot	vmbx	cannot	can	0
flee	flee	vvi	flee	flee	0
;	;	;	;	;	0
Or	Or	cc	Or	or	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
bussie	bussie	j	bussy	busy	0
bussing	bussing	vvg	bussing	buss	0
bumming	bumming	j-vvg	bumming	bum	0
Bee	Bee	n1	Bee	bee	0
,	,	,	,	,	0
Or	Or	cc	Or	or	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
fruitless	fruitless	j	fruitless	fruitless	0
naught	naught	pi	nought	nought	0
respected	respected	vvn	respected	respect	0
Flee	Flee	vvb	Flee	flee	0
,	,	,	,	,	0
That	That	cst	That	that	0
cuts	cuts	vvz	cuts	cut	0
the	the	dt	the	the	0
subtile	subtile	j	subtle	subtle	0
Air	Air	n1	Air	air	0
so	so	av	so	so	0
swift	swift	j	swift	swift	0
and	and	cc	and	and	0
fast	fast	av-j	fast	fast	0
,	,	,	,	,	0
Till	Till	c-acp	Till	till	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Spiders-web	Spiders-web	n1	Spiders-web	spiders-web	0
he's	he's	pns31|vbz	he's	he|be	0
fetter'd	fetter'd	j-vvn	fettered	fetter	0
fast	fast	av-j	fast	fast	0
.	.	.	.	.	1
So	So	np1	So	So	0
falling	falling	vvg	falling	fall	0
fast	fast	av-j	fast	fast	0
asleep	asleep	j	asleep	asleep	0
,	,	,	,	,	0
and	and	cc	and	and	0
sleeping	sleeping	vvg	sleeping	sleep	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Dream	Dream	n1	Dream	dream	0
,	,	,	,	,	0
Down	Down	a-acp	Down	down	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
Dale	Dale	n1	Dale	dale	0
which	which	r-crq	which	which	0
flows	flows	vvz	flows	flow	0
with	with	p-acp	with	with	0
Milk	Milk	n1	Milk	milk	0
and	and	cc	and	and	0
Cream	Cream	n1	Cream	cream	0
,	,	,	,	,	0
Thy	Thy	po21	Thy	thy	0
dearest	dearest	js-jn	dearest	dear	0
Dame	Dame	n1	Dame	dame	0
did	did	vdd	did	do	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
say	say	vvi	say	say	0
,	,	,	,	,	0
Francis	Francis	np1	Francis	Francis	0
,	,	,	,	,	0
Francis	Francis	np1	Francis	Francis	0
,	,	,	,	,	0
Come	Come	vvb	Come	come	0
away	away	av	away	away	0
,	,	,	,	,	0
I	I	pns11	I	i	0
wondred	wondred	vvd	wondered	wonder	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
heard	heard	vvd	herd	hear	0
that	that	cst	that	that	0
name	name	n1	name	name	0
begun	begun	vvn	begun	begin	0
,	,	,	,	,	0
Francis	Francis	np1	Francis	Francis	0
,	,	,	,	,	0
Francis	Francis	np1	Francis	Francis	0
,	,	,	,	,	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
Adams	Adams	npg1	Adams	Adam	0
son	son	n1	son	son	0
,	,	,	,	,	0
And	And	cc	And	and	0
Adam	Adam	np1	Adam	Adam	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
time	time	n1	time	time	0
deserv'd	deserv'd	vvd	deserved	deserve	0
no	no	dx	no	no	0
misreport	misreport	n1	misreport	misreport	0
,	,	,	,	,	0
He	He	pns31	He	he	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
son	son	n1	son	son	0
of	of	pp-f	of	of	0
Gilmanscleugh	Gilmanscleugh	np1	Gilmanscleugh	Gilmanscleugh	0
Robert	Robert	np1	Robert	Robert	0
,	,	,	,	,	0
And	And	cc	And	and	0
Robert	Robert	np1	Robert	Robert	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
pretty	pretty	j	pretty	pretty	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
,	,	,	,	,	0
The	The	dt	The	the	0
Heir	Heir	n1	Heir	heir	0
to	to	p-acp	to	to	0
Iames	Iames	np1	Iames	Iames	0
,	,	,	,	,	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
his	his	po31	his	his	0
eldest	eldest	js-jn	eldest	elder	0
son	son	n1	son	son	0
,	,	,	,	,	0
The	The	dt	The	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
Gilmanscleugh	Gilmanscleugh	np1	Gilmanscleugh	Gilmanscleugh	0
Iames	Iames	np1	Iames	Iames	0
was	was	vbds	was	be	0
then	then	av	then	then	0
,	,	,	,	,	0
Who	Who	r-crq	Who	who	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
youngest	youngest	js	youngest	young	0
son	son	n1	son	son	0
of	of	pp-f	of	of	0
Thirlston	Thirlston	np1	Thirlston	Thirlston	0
,	,	,	,	,	0
And	And	cc	And	and	0
Iohn	Iohn	np1	Iohn	John	0
of	of	pp-f	of	of	0
Thirlston	Thirlston	np1	Thirlston	Thirlston	0
I	I	pns11	I	i	0
let	let	vvb	let	let	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
,	,	,	,	,	0
