DEar	DEar	av-jn	DEar	dear	0
Country	Country	n1	Country	country	0
men	men	n2	men	man	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
my	my	po11	my	my	0
name	name	n1	name	name	0
subscribed	subscribed	vvn	subscribed	subscribe	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
Discourse	Discourse	n1	Discourse	discourse	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
wonder	wonder	vvi	wonder	wonder	0
at	at	p-acp	at	at	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
spise	spise	vvb	spise	spise	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Davids	Davids	npg1	Davids	David	0
Brethren	Brethren	n2	Brothers	brethren	0
despised	despised	vvd	despised	despise	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
told	told	vvd	told	tell	0
him	him	pno31	him	he	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
pride	pride	n1	pride	pride	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
heart	heart	n1	heart	heart	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Battell	Battell	n1	Battle	battle	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
but	but	p-acp	but	but	0
know	know	vvb	know	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
Gods	Gods	npg1	Gods	God	0
works	works	n2	works	work	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
like	like	av-j	like	like	0
mens	mens	ng2	men's	man	0
,	,	,	,	,	0
he	he	pns31	he	he	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
alwaies	alwaies	av	always	always	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
,	,	,	,	,	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
,	,	,	,	,	0
the	the	dt	the	the	0
rich	rich	j	rich	rich	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
to	to	pc-acp	to	to	0
manifest	manifest	vvi	manifest	manifest	0
himself	himself	px31	himself	himself	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
and	and	cc	and	and	0
through	through	p-acp	through	through	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
chuseth	chuseth	vvz	chooseth	choose	0
the	the	dt	the	the	0
despised	despised	j-vvn	despised	despise	0
,	,	,	,	,	0
the	the	dt	the	the	0
unlearned	unlearned	j	unlearned	unlearned	0
,	,	,	,	,	0
the	the	dt	the	the	0
poor	poor	j	poor	poor	0
,	,	,	,	,	0
the	the	av	the	then	0
nothings	nothings	pi2x	nothings	nothing	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
fills	fills	vvz	fills	fill	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
