HOnourable	HOnourable	j	HOnourable	honourable	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
I	I	pns11	I	i	0
be	be	vbi	be	be	0
silent	silent	j	silent	silent	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
causes	causes	n2	causes	cause	0
moving	moving	vvg	moving	move	0
the	the	dt	the	the	0
publication	publication	n1	publication	publication	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
less	less	dc	less	less	0
then	then	cs	then	than	0
weekly	weekly	j	weekly	weekly	0
meditations	meditations	n2	meditations	meditation	0
,	,	,	,	,	0
saving	saving	vvg	saving	save	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
self	self	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
few	few	d	few	few	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
rendred	rendred	vvn	rendered	render	0
indiscreet	indiscreet	j	indiscreet	indiscreet	0
,	,	,	,	,	0
if	if	cs	if	if	0
not	not	xx	not	not	0
presumptuous	presumptuous	j	presumptuous	presumptuous	0
,	,	,	,	,	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
.	.	.	.	.	1
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	n1	before	fore	0
hint	hint	n1	hint	hint	0
the	the	dt	the	the	0
motives	motives	n2	motives	motive	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
duly	duly	av-jn	duly	due	0
considered	considered	vvd	considered	consider	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
little	little	j	little	little	0
charity	charity	n1	charity	charity	0
,	,	,	,	,	0
will	will	vmb	will	will	0
justifie	justifie	vvi	justify	justify	0
the	the	dt	the	the	0
action	action	n1	actium	action	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
couched	couched	vvd	couched	couch	0
together	together	av	together	together	0
the	the	dt	the	the	0
ground	ground	n1	ground	ground	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
and	and	cc	and	and	0
the	the	dt	the	the	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
positi	positi	n1	positi	positi	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
,	,	,	,	,	0
desired	desired	vvd	desired	desire	0
by	by	p-acp	by	by	0
many	many	d	many	many	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
publique	publique	j	public	public	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
have	have	vhb	have	have	0
drawn	drawn	vvn	drawn	draw	0
much	much	d	much	much	0
ill	ill	j-jn	ill	ill	0
Will	Will	n1	Will	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
dissatisfaction	dissatisfaction	n1	dissatisfaction	dissatisfaction	0
towards	towards	p-acp	towards	towards	0
me	me	pno11	me	i	0
;	;	;	;	;	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
me	me	pno11	me	i	0
condemned	condemned	vvn	condemned	condemn	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
in	in	p-acp	in	in	0
private	private	j	private	private	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
publique	publique	j	public	public	0
also	also	av	also	also	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
erroneous	erroneous	j	erroneous	erroneous	0
and	and	cc	and	and	0
destructive	destructive	j	destructive	destructive	0
to	to	p-acp	to	to	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
that	that	cst	that	that	0
speaks	speaks	vvz	speaks	speak	0
.	.	.	.	.	1
O	O	sy	O	o	0
my	my	po11	my	my	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
give	give	vvi	give	give	0
them	them	pno32	them	they	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
they	they	pns32	they	they	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
say	say	vvb	say	say	0
.	.	.	.	.	1
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
tis	tis	pn31|vbz	this	it|be	0
well	well	av	well	well	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
having	having	vhg	having	have	0
delivered	delivered	vvn	delivered	deliver	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Pulpit	Pulpit	n1	Pulpit	pulpit	0
,	,	,	,	,	0
the	the	dt	the	the	0
Minister	Minister	n1	Minister	minister	0
desired	desired	vvd	desired	desire	0
the	the	dt	the	the	0
Congregation	Congregation	n1	Congregation	congregation	0
to	to	pc-acp	to	to	0
stay	stay	vvi	stay	stay	0
;	;	;	;	;	0
upon	upon	p-acp	upon	upon	0
which	which	r-crq	which	which	0
request	request	n1	request	request	0
they	they	pns32	they	they	0
did	did	vdd	did	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
Christian-like	Christian-like	j	Christianlike	christian-like	0
attention	attention	n1	attention	attention	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
:	:	:	:	:	0
He	He	pns31	He	he	0
endeavoured	endeavoured	vvd	endeavoured	endeavour	0
to	to	p-acp	to	to	0
pos	pos	n2	pos	po	0
∣	∣	sy	∣	∣	0
sess	sess	vvi	sess	sess	0
the	the	dt	the	the	0
people	people	n1	people	people	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
error	error	n1	error	error	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Sermons	Sermons	n2	Sermons	sermon	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	p-acp	before	before	0
the	the	dt	the	the	0
picture	picture	n1	picture	picture	0
,	,	,	,	,	0
or	or	cc	or	or	0
sign	sign	n1	sign	sign	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
confutation	confutation	n1	confutation	confutation	0
(	(	(	(	(	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
call	call	vvi	call	call	0
it	it	pn31	it	it	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
)	)	)	)	)	0
he	he	pns31	he	he	0
granted	granted	vvd	granted	grant	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
,	,	,	,	,	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
fully	fully	av-j	fully	full	0
affirmed	affirmed	vvd	affirmed	affirm	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
remember	remember	vvi	remember	remember	0
,	,	,	,	,	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
beginning	beginning	n1	beginning	beginning	0
,	,	,	,	,	0
he	he	pns31	he	he	0
said	said	vvd	said	say	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
given	given	vvn	given	give	0
the	the	dt	the	the	0
just	just	j	just	just	0
and	and	cc	and	and	0
true	true	j	true	true	0
sense	sense	n1	sense	sense	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
then	then	av	then	then	0
my	my	po11	my	my	0
text	text	n1	text	text	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Exposition	Exposition	n1	Exposition	exposition	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
said	said	vvd	said	say	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
opinion	opinion	n1	opinion	opinion	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
few	few	d	few	few	0
and	and	cc	and	and	0
late	late	j	late	late	0
Divines	Divines	n2-jn	Divines	divine	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Iesu	Iesu	np1	Iesu	Jesus	0
∣	∣	sy	∣	∣	0
ites	ites	n1	ites	ites	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
others	others	n2-jn	others	other	0
.	.	.	.	.	1
After	After	p-acp	After	after	0
this	this	d	this	this	0
,	,	,	,	,	0
he	he	pns31	he	he	0
said	said	vvd	said	say	0
my	my	po11	my	my	0
doctrine	doctrine	n1	doctrine	doctrine	0
ga	ga	fw-es	ga	ga	0
∣	∣	sy	∣	∣	0
thered	thered	j-jn	red	red	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
was	was	vbds	was	be	0
sound	sound	j	found	sound	0
and	and	cc	and	and	0
good	good	j	good	good	0
Divinity	Divinity	n1	Divinity	divinity	0
;	;	;	;	;	0
after	after	p-acp	after	after	0
all	all	d	all	all	0
,	,	,	,	,	0
he	he	pns31	he	he	0
denyed	denyed	vvd	denied	deny	0
faith	faith	n1	faith	faith	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
any	any	d	any	any	0
instrumental	instrumental	j	instrumental	instrumental	0
efficiency	efficiency	n1	efficiency	efficiency	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
Justification	Justification	n1	Justification	justification	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
this	this	d	this	this	0
being	being	vbg	being	be	0
done	done	vdn	done	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
quarter	quarter	n1	quarter	quarter	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
hours	hours	ng1	hours	hour	0
discourse	discourse	n1	discourse	discourse	0
:	:	:	:	:	0
he	he	pns31	he	he	0
moved	moved	vvd	moved	move	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
reply	reply	n1	reply	reply	0
.	.	.	.	.	1
The	The	dt	The	the	0
sum	sum	n1	sum	sum	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
returned	returned	vvd	returned	return	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
commendation	commendation	n1	commendation	commendation	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
zeal	zeal	n1	zeal	zeal	0
,	,	,	,	,	0
and	and	cc	and	and	0
care	care	vvb	care	care	0
to	to	pc-acp	to	to	0
keep	keep	vvi	keep	keep	0
his	his	po31	his	his	0
people	people	n1	people	people	0
from	from	p-acp	from	from	0
error	error	n1	error	error	0
;	;	;	;	;	0
promising	promising	vvg	promising	promise	0
him	him	pno31	him	he	0
a	a	dt	a	a	0
Copy	Copy	n1	Copy	copy	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Sermons	Sermons	n2	Sermons	sermon	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
better	better	jc	better	better	0
able	able	j	able	able	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
assistance	assistance	n1	assistance	assistance	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
side	side	n1	side	side	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
advantage	advantage	n1	advantage	advantage	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
confute	confute	vvi	confute	confute	0
me	me	pno11	me	i	0
,	,	,	,	,	0
if	if	cs	if	if	0
feasable	feasable	j	feasible	feasible	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
then	then	av	then	then	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
?	?	?	?	?	0
should	should	vmd	should	shall	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
,	,	,	,	,	0
how	how	q-crq	how	how	0
should	should	vmd	should	shall	0
my	my	po11	my	my	0
publick	publick	j	public	public	0
scandal	scandal	n1	scandal	scandal	0
be	be	vbi	be	be	0
removed	removed	vvn	removed	remove	0
?	?	?	?	?	0
my	my	po11	my	my	0
friends	friends	n2	friends	friend	0
satisfied	satisfied	vvn	satisfied	satisfy	0
?	?	?	?	?	0
or	or	cc	or	or	0
my	my	po11	my	my	0
promise	promise	n1	promise	promise	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Minister	Minister	n1	Minister	minister	0
with	with	p-acp	with	with	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
venience	venience	n1	venience	venience	0
