GREAT	GREAT	j	GREAT	great	0
SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
here	here	av	here	here	0
undertaken	undertaken	vvn	undertaken	undertake	0
to	to	pc-acp	to	to	0
draw	draw	vvi	draw	draw	0
the	the	dt	the	the	0
Picture	Picture	n1	Picture	picture	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Person	Person	n1	Person	person	0
that	that	cst	that	that	0
once	once	a-acp	once	once	0
was	was	vbds	was	be	0
invested	invested	vvn	invested	invest	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Stile	Stile	n1	Style	stile	0
,	,	,	,	,	0
Title	Title	n1	Title	title	0
,	,	,	,	,	0
and	and	cc	and	and	0
Dignity	Dignity	n1	Dignity	dignity	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
King	King	n1	King	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
certainly	certainly	av-j	certainly	certain	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
great	great	j	great	great	0
∣	∣	sy	∣	∣	0
est	est	zz	est	est	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
time	time	n1	time	time	0
,	,	,	,	,	0
could	could	vmd	could	can	0
he	he	pns31	he	he	0
but	but	p-acp	but	but	0
have	have	vhi	have	have	0
complied	complied	vvn	complied	comply	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
ends	ends	n2	ends	end	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
great	great	j	great	great	0
Office	Office	n1	Office	office	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
admitted	admitted	vvn	admitted	admit	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
observation	observation	n1	observation	observation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Laws	Laws	n2	Laws	law	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Realm	Realm	n1	Realm	realm	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
solemnly	solemnly	av-j	solemnly	solemn	0
Sworn	Sworn	vvn	Sworn	swear	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Customs	Customs	n2	Customs	custom	0
and	and	cc	and	and	0
Constitutions	Constitutions	n2	Constitutions	constitution	0
thereof	thereof	av	thereof	thereof	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
Coronation	Coronation	n1	Coronation	coronation	0
.	.	.	.	.	1
I	I	pns11	I	i	0
did	did	vdd	did	do	0
never	never	av-x	never	never	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
whoLe	whoLe	j-jn	whoLe	whole	0
life	life	n1	life	life	0
take	take	vvb	take	take	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Wisest	Wisest	js	Wisest	wise	0
of	of	pp-f	of	of	0
Men	Men	n2	Men	man	0
;	;	;	;	;	0
nor	nor	ccx	nor	nor	0
did	did	vdd	did	do	0
I	I	pns11	I	i	0
believe	believe	vvi	believe	believe	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
so	so	av	so	so	0
much	much	av-d	much	much	0
behind-hand	behind-hand	av	behindhand	behindhand	0
in	in	p-acp	in	in	0
Under	Under	p-acp	Under	under	0
∣	∣	sy	∣	∣	0
standing	standing	vvg	standing	stand	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
must	must	vmb	must	must	0
needs	needs	av	needs	needs	0
know	know	vvi	know	know	0
,	,	,	,	,	0
That	That	cst	That	that	0
as	as	c-acp	as	as	0
Govern	Govern	vvi	Govern	govern	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
was	was	vbds	was	be	0
Originally	Originally	av-j	Originally	original	0
instituted	instituted	vvn	instituted	institute	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
God	God	np1	God	God	0
himself	himself	px31	himself	himself	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
or	or	cc	or	or	0
that	that	d	that	that	0
Form	Form	n1	From	form	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
chosen	chosen	vvn	chosen	choose	0
and	and	cc	and	and	0
submitted	submitted	vvn	submitted	submit	0
to	to	p-acp	to	to	0
by	by	p-acp	by	by	0
Men	Men	n2	Men	man	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
Happiness	Happiness	n1	Happiness	happiness	0
and	and	cc	and	and	0
Security	Security	n1	Security	security	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
Governed	Governed	vvn	Governed	govern	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
private	private	j	private	private	0
Interest	Interest	n1	Interest	interest	0
and	and	cc	and	and	0
perso	perso	zz	perso	perso	0
∣	∣	sy	∣	∣	0
nal	nal	j	nal	nal	0
Greatness	Greatness	n1	Greatness	greatness	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
that	that	d	that	that	0
Rule	Rule	vvi	Rule	rule	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	d	that	that	0
Government	Government	n1	Government	government	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
always	always	av	always	always	0
esteemed	esteemed	vvn	esteemed	esteem	0
the	the	dt	the	the	0
best	best	js	best	best	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
Supream	Supream	j	Supreme	supreme	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
gistrates	gistrates	n2	gistrates	gistrate	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
invested	invested	vvn	invested	invest	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Power	Power	n1	Power	power	0
and	and	cc	and	and	0
Preroga	Preroga	np1	Preroga	Preroga	0
∣	∣	sy	∣	∣	0
tives	tives	n2	tives	tive	0
that	that	cst	that	that	0
might	might	vmd	might	may	0
capacitate	capacitate	vvi	capacitate	capacitate	0
them	them	pno32	them	they	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
to	to	pc-acp	to	to	0
preserve	preserve	vvi	preserve	preserve	0
the	the	dt	the	the	0
People	People	n1	People	people	0
from	from	p-acp	from	from	0
Violence	Violence	n1	Violence	violence	0
and	and	cc	and	and	0
Oppression	Oppression	n1	Oppression	oppression	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
promote	promote	vvi	promote	promote	0
their	their	po32	their	their	0
Prosperity	Prosperity	n1	Prosperity	prosperity	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
where	where	c-crq	where	where	0
nothing	nothing	pix	nothing	nothing	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
belong	belong	vvi	belong	belong	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Rules	Rules	n2	Rules	rule	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Constitution	Constitution	n1	Constitution	constitution	0
,	,	,	,	,	0
that	that	cst	that	that	0
might	might	vmd	might	may	0
enable	enable	vvi	enable	enable	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
Injure	Injure	vvi	Injure	injure	0
and	and	cc	and	and	0
Oppress	Oppress	vvi	Oppress	oppress	0
them	them	pno32	them	they	0
.	.	.	.	.	1
This	This	d	This	this	0
unhappy	unhappy	j	unhappy	unhappy	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
long	long	av-j	long	long	0
stander	stander	vvi	stander	slander	0
by	by	p-acp	by	by	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Bro	Bro	np1	Bro	Bro	0
∣	∣	sy	∣	∣	0
ther's	ther's	pc-acp|vbz	ther's	there|be	0
Reign	Reign	vvi	Reign	reign	0
;	;	;	;	;	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Year	Year	n1	Year	year	0
1660	1660	crd	1660	1660	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
1685	1685	crd	1685	1685	0
;	;	;	;	;	0
and	and	cc	and	and	0
Experience	Experience	n1	Experience	experience	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Informations	Informations	n2	Informations	information	0
of	of	pp-f	of	of	0
wise	wise	j	wise	wise	0
Men	Men	n2	Men	man	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
all	all	d	all	all	0
doubt	doubt	n1	doubt	doubt	0
,	,	,	,	,	0
taught	taught	vvd	taught	teach	0
him	him	pno31	him	he	0
,	,	,	,	,	0
That	That	cst	That	that	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
Glory	Glory	n1	Glory	glory	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
above	above	p-acp	above	above	0
other	other	j-jn	other	other	0
Nations	Nations	n2	Nations	nation	0
and	and	cc	and	and	0
Countries	Countries	n2	Countries	country	0
where	where	c-crq	where	where	0
his	his	po31	his	his	0
Brother	Brother	n1	Brother	brother	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
Travelled	Travelled	vvn	Traveled	travel	0
,	,	,	,	,	0
that	that	cst	that	that	0
its	its	po31	its	its	0
King	King	n1	King	king	0
hath	hath	vhz	hath	have	0
had	had	vhn	had	have	0
all	all	d	all	all	0
Intrusted	Intrusted	vvn	Entrusted	entrust	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
necessary	necessary	j	necessary	necessary	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
advancing	advancing	vvg	advancing	advance	0
the	the	dt	the	the	0
welfare	welfare	n1	welfare	welfare	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
People	People	n1	People	people	0
,	,	,	,	,	0
or	or	cc	or	or	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
own	own	d	own	own	0
Protection	Protection	n1	Protection	protection	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
discharge	discharge	n1	discharge	discharge	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Office	Office	n1	Office	office	0
and	and	cc	and	and	0
support	support	n1	support	support	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Dignity	Dignity	n1	Dignity	dignity	0
and	and	cc	and	and	0
Grandure	Grandure	vvi	Grandure	grandure	0
,	,	,	,	,	0
and	and	cc	and	and	0
withal	withal	av	withal	withal	0
stood	stood	vvd	stood	stand	0
so	so	av	so	so	0
limited	limited	vvn	limited	limit	0
and	and	cc	and	and	0
restrained	restrained	vvn	restrained	restrain	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Fun	Fun	n1	Fun	sun	0
∣	∣	sy	∣	∣	0
damental	damental	j	damental	damental	0
terms	terms	n2	terms	term	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Constitution	Constitution	n1	Constitution	constitution	0
,	,	,	,	,	0
that	that	cst	that	that	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
vio	vio	np1	vio	Vio	0
∣	∣	sy	∣	∣	0
lation	lation	n1	lation	lation	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
own	own	d	own	own	0
Oath	Oath	n1	Oath	oath	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Rules	Rules	n2	Rules	rule	0
and	and	cc	and	and	0
Measures	Measures	n2	Measures	measure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Government	Government	n1	Government	government	0
,	,	,	,	,	0
he	he	pns31	he	he	0
could	could	vmd	could	can	0
do	do	vdi	do	do	0
them	them	pno32	them	they	0
no	no	dx	no	no	0
hurt	hurt	n1	hurt	hurt	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
exer	exer	n1	exer	exer	0
∣	∣	sy	∣	∣	0
cise	cise	n1	cise	cise	0
any	any	d	any	any	0
act	act	n1	act	act	0
of	of	pp-f	of	of	0
Authority	Authority	n1	Authority	authority	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
Administration	Administration	n1	Administration	administration	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
hands	hands	n2	hands	hand	0
as	as	c-acp	as	as	0
stood	stood	vvd	stood	stand	0
obnoxious	obnoxious	j	obnoxious	obnoxious	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Punished	Punished	vvn	Punished	punish	0
in	in	p-acp	in	in	0
case	case	n1	case	case	0
they	they	pns32	they	they	0
Transgressed	Transgressed	vvd	Transgressed	transgress	0
:	:	:	:	:	0
So	So	av	So	so	0
that	that	cst	that	that	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
