EXCELLENT	EXCELLENT	j	EXCELLENT	excellent	0
SOVERAIGN	SOVERAIGN	n-jn	SOVERAIGN	sovereign	0
,	,	,	,	,	0
WHile	WHile	cs	WHile	while	0
your	your	po22	your	your	0
Great	Great	j	Great	great	0
Affairs	Affairs	n2	Affairs	affair	0
are	are	vbr	are	be	0
prosperou	prosperou	fw-fr	prosperou	prosperou	0
∣	∣	sy	∣	∣	0
sly	sly	j	sly	sly	0
managing	managing	n-vvg	managing	manage	0
,	,	,	,	,	0
both	both	d	both	both	0
abroad	abroad	av	abroad	abroad	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
home	home	n1-an	home	home	0
;	;	;	;	;	0
behold	behold	vvb	behold	behold	0
here	here	av	here	here	0
,	,	,	,	,	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
one	one	crd	one	one	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
kind	kind	n1	kind	kind	0
,	,	,	,	,	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
settlement	settlement	n1	settlement	settlement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Peace	Peace	n1	Peace	peace	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
.	.	.	.	.	1
The	The	dt	The	the	0
Rights	Rights	n2-jn	Rights	right	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
Ecclesiastical	Ecclesiastical	j	Ecclesiastical	ecclesiastical	0
Ʋnifor	Ʋnifor	np1	Ʋnifor	Ʋnifor	0
∣	∣	sy	∣	∣	0
mity	mity	n1	mity	mity	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
many	many	d	many	many	0
times	times	n2	times	time	0
debated	debated	vvn	debated	debate	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
World	World	n1	World	world	0
with	with	p-acp	with	with	0
Fire	Fire	n1	Fire	fire	0
and	and	cc	and	and	0
Sword	Sword	n1	Sword	sword	0
:	:	:	:	:	0
And	And	cc	And	and	0
Your	Your	po22	Your	your	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
