DEarly	DEarly	av-jn	DEarly	dear	0
beloved	beloved	vvn	beloved	belove	0
,	,	,	,	,	0
seeing	seeing	vvg	seeing	see	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
bound	bound	vvn	bound	bind	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
deare	deare	j-jn	deer	dear	0
love	love	n1	love	love	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
conceal	conceal	vvi	conceal	conceal	0
the	the	dt	the	the	0
mind	mind	n1	mind	mind	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
our	our	po12	our	our	0
own	own	d	own	own	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
every	every	d	every	every	0
one	one	crd	one	one	0
bound	bound	vvn	bound	bind	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
bond	bond	n1	bound	bond	0
of	of	pp-f	of	of	0
dear	dear	j-jn	dear	dear	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
tender	tender	vvi	tender	tender	0
the	the	dt	the	the	0
good	good	j	good	good	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
another	another	n-jn	another	another	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
in	in	p-acp	in	in	0
temporall	temporall	j	temporal	temporal	0
,	,	,	,	,	0
and	and	cc	and	and	0
common	common	j	common	common	0
affairs	affairs	n2	affairs	affair	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
spirituall	spirituall	j	spiritual	spiritual	0
and	and	cc	and	and	0
celestiall	celestiall	j	celestial	celestial	0
matters	matters	n2	matters	matter	0
;	;	;	;	;	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
retain	retain	vvi	retain	retain	0
as	as	p-acp	as	as	0
churlish	churlish	j	churlish	churlish	0
Nabal	Nabal	np1	Nabal	Nabal	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
rather	rather	av-c	rather	rather	0
dispence	dispence	vvb	dispense	dispense	0
as	as	p-acp	as	as	0
Booz	Booz	n1	Booz	booz	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
Ruth	Ruth	n1	Ruth	ruth	0
;	;	;	;	;	0
I	I	pns11	I	i	0
therefore	therefore	av	therefore	therefore	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
considera	considera	fw-la	considera	considera	0
∣	∣	sy	∣	∣	0
tions	tions	n2	tions	tion	0
am	am	vbm	am	be	0
determined	determined	vvn	determined	determine	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
strength	strength	n1	strength	strength	0
and	and	cc	and	and	0
power	power	n1	power	power	0
which	which	r-crq	which	which	0
Christ	Christ	np1	Christ	Christ	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
this	this	d	this	this	0
heavenly	heavenly	j	heavenly	heavenly	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
of	of	pp-f	of	of	0
free	free	j	free	free	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
vocation	vocation	n1	vocation	vocation	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Adoption	Adoption	n1	Adoption	adoption	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Mediation	Mediation	n1	Mediation	mediation	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
Reconciliation	Reconciliation	n1	Reconciliation	reconciliation	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
blood	blood	n1	blood	blood	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
sanctification	sanctification	n1	sanctification	sanctification	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Spi	Spi	np1	Spi	Spi	0
∣	∣	sy	∣	∣	0
rit	rit	n1	rit	rit	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
union	union	n1	union	union	0
through	through	p-acp	through	through	0
faith	faith	n1	faith	faith	0
and	and	cc	and	and	0
love	love	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
glorification	glorification	n1	glorification	glorification	0
through	through	p-acp	through	through	0
that	that	d	that	that	0
sweet	sweet	j	sweet	sweet	0
communion	communion	n1	communion	communion	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
injoy	injoy	vvi	enjoy	enjoy	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
and	and	cc	and	and	0
blessed	blessed	j-vvn	blessed	bless	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
for	for	c-acp	for	for	0
ever	ever	av	ever	ever	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
whom	whom	ro-crq	whom	who	0
shall	shall	vmb	shall	shall	0
I	I	pns11	I	i	0
present	present	vvi	present	present	0
these	these	d	these	these	0
lines	lines	n2	lines	line	0
?	?	?	?	?	0
except	except	c-acp	except	except	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
who	who	r-crq	who	who	0
know	know	vvb	know	know	0
the	the	dt	the	the	0
mysterie	mysterie	n1	mystery	mystery	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
and	and	cc	and	and	0
salvation	salvation	n1	salvation	salvation	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
heires	heires	n2	heirs	heir	0
and	and	cc	and	and	0
coheires	coheires	n2	coheirs	coheir	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
interest	interest	n1	interest	interest	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Fathers	Fathers	ng1	Father's	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christs	Christs	npg1	Christs	Christ	0
whom	whom	qo-crq	whom	who	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
sent	sent	vvn	sent	send	0
,	,	,	,	,	0
and	and	cc	and	and	0
walke	walke	vvi	walk	walk	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
light	light	n1	light	light	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Christ	Christ	np1	Christ	Christ	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
demption	demption	n1	demption	demption	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
perswaded	perswaded	vvn	persuaded	persuade	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
in	in	n1	in	inn	0
∣	∣	sy	∣	∣	0
tire	tire	n1	tire	tire	0
loves	loves	vvz	loves	love	0
and	and	cc	and	and	0
affections	affections	n2	affections	affection	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
and	and	cc	and	and	0
salvation	salvation	n1	salvation	salvation	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
nothing	nothing	pix	nothing	nothing	0
is	is	vbz	is	be	0
so	so	av	so	so	0
dear	dear	j-jn	dear	dear	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
as	as	a-acp	as	as	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
praise	praise	n1	praise	praise	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
beloved	beloved	j-vvn	beloved	belove	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
true	true	j	true	true	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
Christs	Christs	npg1	Christs	Christ	0
,	,	,	,	,	0
consists	consists	vvz	consists	consist	0
the	the	dt	the	the	0
true	true	j	true	true	0
solace	solace	n1	solace	solace	0
of	of	pp-f	of	of	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
joy	joy	vvb	joy	joy	0
in	in	p-acp	in	in	0
consci	consci	fw-la	consci	consci	0
∣	∣	sy	∣	∣	0
ence	ence	n1	ence	ence	0
,	,	,	,	,	0
and	and	cc	and	and	0
contentment	contentment	n1	contentment	contentment	0
of	of	pp-f	of	of	0
mind	mind	n1	mind	mind	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
joy	joy	n1	joy	joy	0
?	?	?	?	?	0
what	what	q-crq	what	what	0
peace	peace	n1	peace	peace	0
?	?	?	?	?	0
what	what	q-crq	what	what	0
consolation	consolation	n1	consolation	consolation	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
without	without	p-acp	without	without	0
this	this	d	this	this	0
knowledge	knowledge	n1	knowledge	knowledge	0
?	?	?	?	?	0
that	that	cst	that	that	0
God	God	np1	God	God	0
communicates	communicates	n2	communicates	communicate	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
unde	unde	fw-la	unde	unde	0
∣	∣	sy	∣	∣	0
serving	serving	vvg	serving	serve	0
:	:	:	:	:	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
called	called	vvn	called	call	0
from	from	p-acp	from	from	0
