GENTLEMEN	GENTLEMEN	np1	GENTLEMEN	Gentlemen	0
,	,	,	,	,	0
ALthough	ALthough	cs	ALthough	although	0
I	I	pns11	I	i	0
never	never	av-x	never	never	0
had	had	vhd	had	have	0
so	so	av	so	so	0
much	much	d	much	much	0
Vanity	Vanity	n1	Vanity	vanity	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
encline	encline	vvi	incline	incline	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
think	think	vvi	think	think	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
thus	thus	av	thus	thus	0
Publick	Publick	j	Public	public	0
,	,	,	,	,	0
much	much	av-d	much	much	0
less	less	av-dc	less	less	0
so	so	av	so	so	0
mean	mean	j	mean	mean	0
a	a	dt	a	a	0
Performance	Performance	n1	Performance	performance	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
having	having	vhg	having	have	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
ways	ways	n2	ways	way	0
an	an	dt	and	a	0
earnest	earnest	j	earnest	earnest	0
Zeal	Zeal	n1	Zeal	zeal	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Interest	Interest	n1	Interest	interest	0
of	of	pp-f	of	of	0
Reli	Reli	np1	Reli	Reli	0
∣	∣	sy	∣	∣	0
gion	gion	n1	gion	gion	0
in	in	p-acp	in	in	0
general	general	n1	general	general	0
,	,	,	,	,	0
and	and	cc	and	and	0
bearing	bearing	vvg	bearing	bear	0
an	an	dt	and	a	0
hearty	hearty	j	hearty	hearty	0
Affecti	Affecti	n1	Affection	affection	0
∣	∣	sy	∣	∣	0
on	on	zz	on	on	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Pious	Pious	j	Pious	pious	0
Undertaking	Undertaking	n-vvg	Undertaking	undertake	0
in	in	p-acp	in	in	0
particular	particular	j	particular	particular	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
great	great	j	great	great	0
Difficulty	Difficulty	n1	Difficulty	difficulty	0
,	,	,	,	,	0
yielded	yielded	vvn	yielded	yield	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Request	Request	n1	Request	request	0
of	of	pp-f	of	of	0
sending	sending	vvg	sending	send	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
thus	thus	av	thus	thus	0
abroad	abroad	av	abroad	abroad	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
thereby	thereby	av	thereby	thereby	0
declar'd	declar'd	vvd	declared	declare	0
your	your	po22	your	your	0
good	good	j	good	good	0
Opinion	Opinion	n1	Opinion	opinion	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
think	think	vvb	think	think	0
that	that	cst	that	that	0
