Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
YOU	YOU	pn22	YOU	you	0
have	have	vhb	have	have	0
here	here	av	here	here	0
the	the	dt	the	the	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
Pranks	Pranks	n2	Pranks	prank	0
,	,	,	,	,	0
and	and	cc	and	and	0
Death	Death	n1	Death	death	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
unparallel'd	unparallel'd	j	unparalleled	unparalleled	0
Thieves	Thieves	n2	Thieves	thief	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
our	our	po12	our	our	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
partly	partly	av	partly	partly	0
delivered	delivered	vvn	delivered	deliver	0
by	by	p-acp	by	by	0
himself	himself	px31	himself	himself	0
,	,	,	,	,	0
and	and	cc	and	and	0
partly	partly	av	partly	partly	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
conversant	conversant	j	conversant	conversant	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Life	Life	n1	Life	life	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
forborn	forborn	vvn	forborn	forbear	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
his	his	po31	his	his	0
petty	petty	j	petty	petty	0
Thieveries	Thieveries	n2	Thieveries	thievery	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
because	because	c-acp	because	because	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
one	one	pi	one	one	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
being	being	vbg	being	be	0
his	his	po31	his	his	0
first	first	ord	first	first	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
