HAving	HAving	vhg	HAving	have	0
lately	lately	av-j	lately	late	0
read	read	vvn	read	read	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
these	these	d	these	these	0
Lines	Lines	n2	Lines	line	0
:	:	:	:	:	0
A	A	dt	A	a	0
Tantivy-Preacher	Tantivy-Preacher	n1	Tantivy-Preacher	tantivy-preacher	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Tem	Tem	n1	Tem	tem	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
that	that	d	that	that	0
Text	Text	n1	Text	text	0
,	,	,	,	,	0
Give	Give	vvb	Give	give	0
to	to	p-acp	to	to	0
Caesar	Caesar	np1	Caesar	Caesar	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
Caesar's	Caesar's	npg1	Caesar's	Caesar	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
God's	God's	npg1	God's	God	0
;	;	;	;	;	0
said	said	vvd	said	say	0
,	,	,	,	,	0
What	What	q-crq	What	what	0
is	is	vbz	is	be	0
Caesars	Caesars	npg1	Caesars	Caesar	0
?	?	?	?	?	1
What	What	q-crq	What	what	0
things	things	n2	things	thing	0
?	?	?	?	?	0
—	—	—	—	—	0
I	I	pns11	I	i	0
an	an	cc	and	and	0
∣	∣	sy	∣	∣	0
swer	swer	n1	swer	swer	0
,	,	,	,	,	0
Caesar	Caesar	np1	Caesar	Caesar	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
your	your	po22	your	your	0
Goods	Goods	n2-j	Goods	good	0
,	,	,	,	,	0
your	your	po22	your	your	0
Lands	Lands	n2	Lands	land	0
,	,	,	,	,	0
your	your	po22	your	your	0
Wives	Wives	n2	Wives	wife	0
,	,	,	,	,	0
your	your	po22	your	your	0
Children	Children	n2	Children	child	0
,	,	,	,	,	0
your	your	po22	your	your	0
All	All	d	All	all	0
;	;	;	;	;	0
all	all	d	all	all	0
is	is	vbz	is	be	0
Caesar's	Caesar's	npg1	Caesar's	Caesar	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
some	some	d	some	some	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
,	,	,	,	,	0
(	(	(	(	(	0
quoth	quoth	vvd	quoth	quoth	0
Tantivy-Preacher	Tantivy-Preacher	n1	Tantivy-Preacher	tantivy-preacher	0
,	,	,	,	,	0
fitter	fitter	jc	fitter	fit	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
at	at	p-acp	at	at	0
Tyburn	Tyburn	np1	Tyburn	Tyburn	0
,	,	,	,	,	0
than	than	cs	than	than	0
the	the	dt	the	the	0
Temple	Temple	n1	Temple	temple	0
)	)	)	)	)	0
If	If	cs	If	if	0
Caesar	Caesar	np1	Caesar	Caesar	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
all	all	d	all	all	0
,	,	,	,	,	0
then	then	av	then	then	0
what	what	q-crq	what	what	0
shall	shall	vmb	shall	shall	0
God	God	np1	God	God	0
have	have	vhi	have	have	0
?	?	?	?	?	1
I	I	pns11	I	i	0
answer	answer	vvb	answer	answer	0
,	,	,	,	,	0
(	(	(	(	(	0
quoth	quoth	vvd	quoth	quoth	0
he	he	pns31	he	he	0
)	)	)	)	)	0
God	God	np1	God	God	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
your	your	po22	your	your	0
Souls	Souls	n2	Souls	soul	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Bodies	Bodies	n2	Bodies	body	0
,	,	,	,	,	0
your	your	po22	your	your	0
Lands	Lands	n2	Lands	land	0
,	,	,	,	,	0
your	your	po22	your	your	0
Goods	Goods	n2-j	Goods	good	0
,	,	,	,	,	0
your	your	po22	your	your	0
Lives	Lives	n2	Lives	life	0
,	,	,	,	,	0
your	your	po22	your	your	0
Chil	Chil	pns11|vmb	Chil	I|will	0
∣	∣	sy	∣	∣	0
dren	dren	n2	dren	dren	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Wives	Wives	n2	Wives	wife	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
Caesar's	Caesar's	npg1	Caesar's	Caesar	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
this	this	d	this	this	0
strange	strange	j	strange	strange	0
and	and	cc	and	and	0
unexpected	unexpected	j	unexpected	unexpected	0
Charge	Charge	n1	Charge	charge	0
,	,	,	,	,	0
I	I	pns11	I	i	0
return	return	vvb	return	return	0
these	these	d	these	these	0
Answers	Answers	n2	Answers	answer	0
:	:	:	:	:	0
That	That	cst	That	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
the	the	dt	the	the	0
honour	honour	n1	honour	honour	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Temple	Temple	n1	Temple	temple	0
these	these	d	these	these	0
20	20	crd	20	20	0
Years	Years	n2	Years	year	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
never	never	av-x	never	never	0
did	did	vdd	did	do	0
I	I	pns11	I	i	0
hear	hear	vvi	hear	hear	0
such	such	d	such	such	0
words	words	n2	words	word	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
spoken	spoken	vvn	spoken	speak	0
there	there	a-acp	there	there	0
.	.	.	.	.	1
Besides	Besides	p-acp	Beside	beside	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
probable	probable	j	probable	probable	0
,	,	,	,	,	0
that	that	cst	that	that	0
those	those	d	those	those	0
two	two	crd	two	two	0
honourable	honourable	j	honourable	honourable	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
Societies	Societies	n2	Societies	society	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
understand	understand	vvb	understand	understand	0
and	and	cc	and	and	0
love	love	vvi	love	love	0
their	their	po32	their	their	0
Proprieties	Proprieties	n2	Proprieties	propriety	0
so	so	av	so	so	0
well	well	av	well	well	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
tamely	tamely	av-j	tamely	tame	0
and	and	cc	and	and	0
silently	silently	av-j	silently	silent	0
pass	pass	vvi	pass	pass	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
Divinity	Divinity	n1	Divinity	divinity	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
own	own	d	own	own	0
person	person	n1	person	person	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
whom	whom	ro-crq	whom	who	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
told	told	vvn	told	tell	0
,	,	,	,	,	0
several	several	j	several	several	0
ways	ways	n2	ways	way	0
that	that	cst	that	that	0
this	this	d	this	this	0
Charge	Charge	n1	Charge	charge	0
was	was	vbds	was	be	0
intended	intended	vvn	intended	intend	0
,	,	,	,	,	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
call	call	vvi	call	call	0
to	to	p-acp	to	to	0
mind	mind	n1	mind	mind	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
once	once	a-acp	once	once	0
preach	preach	vvi	preach	preach	0
upon	upon	p-acp	upon	upon	0
that	that	d	that	that	0
Text	Text	n1	Text	text	0
,	,	,	,	,	0
Give	Give	vvb	Give	give	0
unto	unto	p-acp	unto	unto	0
Caesar	Caesar	np1	Caesar	Caesar	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
Caesar's	Caesar's	npg1	Caesar's	Caesar	0
,	,	,	,	,	0
and	and	cc	and	and	0
unto	unto	p-acp	unto	unto	0
God	God	np1	God	God	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
God's	God's	npg1	God's	God	0
;	;	;	;	;	0
and	and	cc	and	and	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
search	search	n1	search	search	0
,	,	,	,	,	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Sermon	Sermon	n1	Sermon	sermon	0
was	was	vbds	was	be	0
preached	preached	vvn	preached	preach	0
No	No	dx	No	no	0
∣	∣	sy	∣	∣	0
