YOur	YOur	po22	YOur	your	0
offence	offence	n1	offence	offence	0
and	and	cc	and	and	0
anger	anger	n1	anger	anger	0
,	,	,	,	,	0
begot	begot	vvd	begotten	beget	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
:	:	:	:	:	0
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
yours	yours	png22	yours	you	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
tended	tended	vvn	tended	tend	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
:	:	:	:	:	0
Not	Not	xx	Not	not	0
only	only	av-j	only	only	0
to	to	pc-acp	to	to	0
remove	remove	vvi	remove	remove	0
the	the	pno32	thee	they	0
of	of	pp-f	of	of	0
∣	∣	sy	∣	∣	0
fence	fence	n1	fence	fence	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
instruct	instruct	vvi	instruct	instruct	0
you	you	pn22	you	you	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
love	love	n1	love	love	0
:	:	:	:	:	0
Your	Your	po22	Your	your	0
anger	anger	n1	anger	anger	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
love	love	vvb	love	love	0
conceived	conceived	vvd	conceived	conceive	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
its	its	po31	its	its	0
Mother	Mother	n1	Mother	mother	0
:	:	:	:	:	0
It	It	pn31	It	it	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
begotten	begotten	vvn	begotten	beget	0
of	of	pp-f	of	of	0
anger	anger	n1	anger	anger	0
and	and	cc	and	and	0
love	love	n1	love	love	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
well	well	av	well	well	0
expect	expect	vvi	expect	expect	0
both	both	d	both	both	0
natures	natures	n2	nature's	nature	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
:	:	:	:	:	0
And	And	cc	And	and	0
must	must	vmb	must	must	0
receive	receive	vvi	receive	receive	0
them	them	pno32	them	they	0
both	both	d	both	both	0
together	together	av	together	together	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
separated	separated	vvn	separated	separate	0
.	.	.	.	.	1
Severity	Severity	n1	Severity	severity	0
and	and	cc	and	and	0
kindness	kindness	n1	kindness	kindness	0
,	,	,	,	,	0
are	are	vbr	are	be	0
one	one	crd	one	one	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Original	Original	j-jn	Original	original	0
and	and	cc	and	and	0
End	End	vvb	End	end	0
:	:	:	:	:	0
They	They	pns32	They	they	0
meet	meet	vvb	meet	meet	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
present	present	j	present	present	0
Providence	Providence	n1	Providence	providence	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
upon	upon	p-acp	upon	upon	0
you	you	pn22	you	you	0
:	:	:	:	:	0
They	They	pns32	They	they	0
are	are	vbr	are	be	0
bound	bound	vvn	bound	bind	0
up	up	a-acp	up	up	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
little	little	j	little	little	0
vo	vo	zz	vo	vo	0
∣	∣	sy	∣	∣	0
lume	lume	n1	lume	lume	0
:	:	:	:	:	0
If	If	cs	If	if	0
your	your	po22	your	your	0
minds	minds	n2	minds	mind	0
be	be	vbb	be	be	0
as	as	a-acp	as	as	0
large	large	j	large	large	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
measure	measure	n1	measure	measure	0
,	,	,	,	,	0
suitable	suitable	j	suitable	suitable	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
present	present	j	present	present	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
easily	easily	av-j	easily	easy	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
prehend	prehend	vvb	prehend	prehend	0
and	and	cc	and	and	0
digest	digest	vvi	digest	digest	0
both	both	d	both	both	0
