Madam	Madam	n1	Madam	madam	0
,	,	,	,	,	0
AMongst	AMongst	p-acp	among	among	0
the	the	dt	the	the	0
many	many	d	many	many	0
Spiritual	Spiritual	j	Spiritual	spiritual	0
mercies	mercies	n2	mercies	mercy	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
within	within	p-acp	within	within	0
these	these	d	these	these	0
fifty	fifty	crd	fifty	fifty	0
years	years	n2	years	year	0
last	last	ord	last	last	0
past	past	vvn	passed	pass	0
,	,	,	,	,	0
England	England	np1	England	England	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
exalted	exalted	vvn	exalted	exalt	0
to	to	p-acp	to	to	0
heaven	heaven	n1	heaven	heaven	0
(	(	(	(	(	0
as	as	p-acp	as	as	0
our	our	po12	our	our	0
Saviour	Saviour	n1	Saviour	saviour	0
said	said	vvd	said	say	0
of	of	pp-f	of	of	0
Capernaum	Capernaum	np1	Capernaum	Capernaum	0
)	)	)	)	)	0
the	the	dt	the	the	0
plenty	plenty	n1	plenty	plenty	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
Books	Books	n2	Books	book	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
least	least	ds	least	least	0
,	,	,	,	,	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
hardly	hardly	av	hardly	hardly	0
any	any	d	any	any	0
point	point	n1	point	point	0
in	in	p-acp	in	in	0
Divinity	Divinity	n1	Divinity	divinity	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
been	been	vbn	been	be	0
judiciously	judiciously	av-j	judiciously	judicious	0
handled	handled	vvn	handled	handle	0
,	,	,	,	,	0
both	both	av-d	both	both	0
dogmatically	dogmatically	av-j	dogmatically	dogmatical	0
,	,	,	,	,	0
polemically	polemically	av-j	polemically	polemical	0
,	,	,	,	,	0
and	and	cc	and	and	0
practically	practically	av-j	practically	practical	0
,	,	,	,	,	0
and	and	cc	and	and	0
discourses	discourses	n2	discourses	discourse	0
upon	upon	p-acp	upon	upon	0
it	it	pn31	it	it	0
published	published	vvn	published	publish	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
own	own	d	own	own	0
Tongue	Tongue	n1	Tongue	tongue	0
.	.	.	.	.	1
The	The	dt	The	the	0
things	things	n2	things	thing	0
hid	hid	vvn	hid	hide	0
in	in	p-acp	in	in	0
times	times	n2	times	time	0
of	of	pp-f	of	of	0
Popery	Popery	n1	Popery	popery	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
years	years	n2	years	year	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ginning	ginning	n1	ginning	ginning	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Reformation	Reformation	n1	Reformation	reformation	0
,	,	,	,	,	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
made	made	vvn	made	make	0
known	known	vvn	known	know	0
;	;	;	;	;	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
co	co	n1	counterfeit	counterfeit	0
∣	∣	sy	∣	∣	0
vered	vered	j-vvn	vered	vex	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
revealed	revealed	vvn	revealed	reveal	0
;	;	;	;	;	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
spoken	spoken	vvn	spoken	speak	0
in	in	p-acp	in	in	0
darkness	darkness	n1	darkness	darkness	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
told	told	vvn	told	tell	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
light	light	n1	light	light	0
,	,	,	,	,	0
preached	preached	vvn	preached	preach	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
house	house	n1	house	house	0
tops	tops	n2	tops	top	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
published	published	vvn	published	publish	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
those	those	d	those	those	0
who	who	r-crq	who	who	0
would	would	vmd	would	will	0
might	might	vmd	might	may	0
read	read	vvi	read	read	0
,	,	,	,	,	0
and	and	cc	and	and	0
understand	understand	vvi	understand	understand	0
.	.	.	.	.	1
Certainly	Certainly	av-j	Certainly	certain	0
no	no	dx	no	no	0
Nation	Nation	n1	Nation	nation	0
under	under	p-acp	under	under	0
Heaven	Heaven	n1	Heaven	heaven	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
any	any	d	any	any	0
record	record	n1	record	record	0
)	)	)	)	)	0
was	was	vbds	was	be	0
ever	ever	av	ever	ever	0
blessed	blessed	vvn	blessed	bless	0
with	with	p-acp	with	with	0
