May	May	vmb	May	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
.	.	.	.	.	1
Augu	Augu	np1	Augu	Augu	0
ST	ST	zz	ST	st	0
.	.	.	.	.	1
Augustin	Augustin	np1	Augustin	Augustin	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
Epistle	Epistle	n1	Epistle	epistle	0
to	to	p-acp	to	to	0
Cassulamus	Cassulamus	np1	Cassulamus	Cassulamus	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
which	which	r-crq	which	which	0
for	for	p-acp	for	for	0
fear	fear	n1	fear	fear	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
power	power	n1	power	power	0
hideth	hideth	vvz	hideth	hide	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
which	which	r-crq	which	which	0
learned	learned	vvd	learned	learn	0
,	,	,	,	,	0
Chry	Chry	np1	Chry	Chry	0
∣	∣	sy	∣	∣	0
sostom	sostom	n1	sostom	sostom	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
voketh	voketh	vvz	voketh	voke	0
the	the	dt	the	the	0
Wrath	Wrath	n1	Wrath	wrath	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
nd	nd	cc	and	and	0
Chrysostom	Chrysostom	np1	Chrysostom	Chrysostom	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
a	a	dt	a	a	0
Traytor	Traytor	n1	Traitor	traitor	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
openly	openly	av-j	openly	open	0
for	for	p-acp	for	for	0
truth	truth	n1	truth	truth	0
teacheth	teacheth	vvz	teaches	teach	0
a	a	dt	a	a	0
lye	lye	n1	lie	lie	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
also	also	av	also	also	0
which	which	r-crq	which	which	0
doth	doth	vdz	does	do	0
;	;	;	;	;	0
shew	shew	vvb	show	show	0
forth	forth	av	forth	forth	0
that	that	d	that	that	0
truth	truth	n1	truth	truth	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
knoweth	knoweth	vvz	knoweth	know	0
,	,	,	,	,	0
the	the	dt	the	the	0
considerat	considerat	j	considerate	considerate	0
these	these	d	these	these	0
sentences	sentences	n2	sentences	sentence	0
so	so	av	so	so	0
prevailed	prevailed	vvn	prevailed	prevail	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
durst	durst	vvd	durst	dare	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
such	such	d	such	such	0
a	a	dt	a	a	0
Traytor	Traytor	n1	Traitor	traitor	0
neither	neither	av-dx	neither	neither	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
nor	nor	ccx	nor	nor	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
conceal	conceal	vvi	conceal	conceal	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
learned	learned	vvn	learned	learn	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
conceive	conceive	vvb	conceive	conceive	0
may	may	vmb	may	may	0
tend	tend	vvi	tend	tend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
exalta	exalta	n1	exalta	exalta	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
honour	honour	n1	honour	honour	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Majsty	Majsty	n1	Majsty	majsty	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
