ALBEIT	ALBEIT	cs	ALBEIT	albeit	0
my	my	po11	my	my	0
mynd	mynd	n1	mind	mind	0
nor	nor	ccx	nor	nor	0
purpois	purpois	n1	purpois	purpois	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
(	(	(	(	(	0
richt	richt	vvn	riched	rich	0
Nobill	Nobill	np1	Nobill	Nobill	0
and	and	cc	and	and	0
worthie	worthie	j	worthy	worthy	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
publischit	publischit	av	publischit	publischit	0
this	this	d	this	this	0
sermō	sermō	n1	sermon	sermon	0
at	at	p-acp	at	at	0
ony	ony	av-j	only	only	0
time	time	n1	time	time	0
,	,	,	,	,	0
zit	zit	j	zit	zit	0
becaus	becaus	c-acp	because	because	0
it	it	pn31	it	it	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
fructifie	fructifie	vvi	fructify	fructify	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
supposit	supposit	j-jn	supposit	supposit	0
it	it	pn31	it	it	0
suld	suld	vmd	should	shall	0
haue	haue	vhi	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
being	being	vbg	being	be	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
sayis	sayis	vvz	says	say	0
Ezechiel	Ezechiel	np1	Ezechiel	Ezechiel	0
)	)	)	)	)	0
lyke	lyke	av-j	like	like	0
a	a	dt	a	a	0
tone	tone	n1	tone	tone	0
or	or	cc	or	or	0
plesant	plesant	j	pleasant	pleasant	0
sang	sang	vvd	sang	sing	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
heirers	heirers	n2	heirers	heirer	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
season	season	n1	season	season	0
,	,	,	,	,	0
thair	thair	po32	their	their	0
hartis	hartis	n2	hearts	heart	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
meane	meane	j	mean	mean	0
time	time	n1	time	time	0
still	still	av	still	still	0
going	going	vvg	going	go	0
efter	efter	p-acp	after	after	0
their	their	po32	their	their	0
couetousnes	couetousnes	n1	covetousness	covetousness	0
,	,	,	,	,	0
prouo	prouo	fw-la	prouo	prouo	0
∣	∣	sy	∣	∣	0
kit	kit	n1	kit	kit	0
also	also	av	also	also	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
malitious	malitious	j	malicious	malicious	0
toungis	toungis	n2	toungis	toungi	0
of	of	pp-f	of	of	0
sū	sū	n1	sum	sum	0
,	,	,	,	,	0
&	&	cc	&	and	0
eirnestly	eirnestly	av-j	eirnestly	eirnest	0
requeistit	requeistit	fw-la	requeistit	requeistit	0
be	be	vbi	be	be	0
vtheris	vtheris	n1	vtheris	vtheris	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
lenth	lenth	n1	length	length	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
compellit	compellit	vvn	compellit	compellit	0
(	(	(	(	(	0
