HOw	HOw	q-crq	HOw	how	0
low	low	j	low	low	0
Learning	Learning	n1	Learning	learning	0
ran	ran	vvd	ran	run	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Land	Land	n1	Land	land	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
mongst	mongst	p-acp	amongst	among	0
the	the	dt	the	the	0
Native	Native	j-jn	Native	native	0
Nobility	Nobility	n1	Nobility	nobility	0
some	some	d	some	some	0
two	two	crd	two	two	0
hundred	hundred	crd	hundred	hundred	0
yeares	yeares	n2	years	year	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Reign	Reign	vvi	Reign	reign	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
sixth	sixth	ord	sixth	six	0
,	,	,	,	,	0
too	too	av	too	too	0
plainly	plainly	av-j	plainly	plain	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
peareth	peareth	vvz	peareth	pear	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Motto	Motto	n1	Motto	motto	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Sword	Sword	n1	Sword	sword	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mar	Mar	vvi	Mar	mar	0
∣	∣	sy	∣	∣	0
tiall	tiall	j	tiall	tiall	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Shrewsbury	Shrewsbury	np1	Shrewsbury	Shrewsbury	0
,	,	,	,	,	0
(	(	(	(	(	0
where	where	c-crq	where	where	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
same	same	d	same	same	0
time	time	n1	time	time	0
one	one	pi	one	one	0
may	may	vmb	may	may	0
Smile	Smile	vvi	Smile	smile	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Simplicity	Simplicity	n1	Simplicity	simplicity	0
,	,	,	,	,	0
and	and	cc	and	and	0
Sigh	Sigh	vvb	Sighs	sigh	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Barbarisme	Barbarisme	n1	Barbarism	barbarism	0
thereof	thereof	av	thereof	thereof	0
;	;	;	;	;	0
)	)	)	)	)	0
SUM	SUM	n1	SUM	sum	0
TALBOTI	TALBOTI	np1	TALBOTI	TALBOTI	0
,	,	,	,	,	0
PRO	PRO	fw-la	PRO	pro	0
OC	OC	fw-la	OC	oc	0
∣	∣	sy	∣	∣	0
CIDERE	CIDERE	fw-la	CIDERE	cidere	0
INIMICOS	INIMICOS	fw-la	INIMICOS	inimicos	0
MEOS	MEOS	fw-la	MEOS	meos	0
.	.	.	.	.	1
The	The	dt	The	the	0
best	best	js	best	best	0
Latin	Latin	jp	Latin	latin	0
that	that	d	that	that	0
Lord	Lord	n1	Lord	lord	0
(	(	(	(	(	0
and	and	cc	and	and	0
perchance	perchance	av	perchance	perchance	0
his	his	po31	his	his	0
Chaplains	Chaplains	n2	Chaplains	chaplain	0
too	too	av	too	too	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
Age	Age	n1	Age	age	0
)	)	)	)	)	0
could	could	vmd	could	can	0
afford	afford	vvi	afford	afford	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
next	next	ord	next	next	0
Generation	Generation	n1	Generation	generation	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
observe	observe	vvi	observe	observe	0
the	the	dt	the	the	0
Rise	Rise	n1	Rise	rise	0
of	of	pp-f	of	of	0
Learning	Learning	n1	Learning	learning	0
in	in	p-acp	in	in	0
Noble	Noble	j	Noble	noble	0
Families	Families	n2	Families	family	0
.	.	.	.	.	1
I	I	pns11	I	i	0
behold	behold	vvb	behold	behold	0
John	John	np1	John	John	0
Tiptoft	Tiptoft	np1	Tiptoft	Tiptoft	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Worcester	Worcester	np1	Worcester	Worcester	0
(	(	(	(	(	0
bred	bred	vvn	bred	breed	0
in	in	p-acp	in	in	0
Bailioll	Bailioll	np1	Bailioll	Bailioll	0
Colledge	Colledge	n1	College	college	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
first	first	ord	first	first	0
English	English	jp	English	english	0
Person	Person	n1	Person	person	0
of	of	pp-f	of	of	0
Honour	Honour	n1	Honour	honour	0
that	that	cst	that	that	0
graced	graced	vvd	graced	grace	0
Learning	Learning	n1	Learning	learning	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Study	Study	n1	Study	study	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
fourth	fourth	ord	fourth	four	0
,	,	,	,	,	0
both	both	d	both	both	0
at	at	p-acp	at	at	0
Home	Home	n1-an	Home	home	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
For	For	p-acp	For	for	0
∣	∣	sy	∣	∣	0
reign	reign	n1	reign	reign	0
Vniversities	Vniversities	n2	Universities	university	0
.	.	.	.	.	1
He	He	pns31	He	he	0
made	made	vvd	made	make	0
so1	so1	n1	so1	so1	0
.	.	.	.	.	1
Bale	Bale	np1	Bale	Bale	0
de	de	fw-fr	de	de	0
Scrip.	Scrip.	np1	Scrip.	Scrip.	0
Angl.	Angl.	np1	Angl.	Angl.	1
Eloquent	Eloquent	j	Eloquent	eloquent	0
an	an	dt	and	a	0
Oration	Oration	n1	Oration	oration	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Vatican	Vatican	np1	Vatican	Vatican	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
presence	presence	n1	presence	presence	0
of	of	pp-f	of	of	0
Pope	Pope	n1	Pope	pope	0
Pius	Pius	np1	Pius	Pius	0
the	the	dt	the	the	0
se	se	zz	se	se	0
∣	∣	sy	∣	∣	0
cond	cond	zz	cond	cond	0
,	,	,	,	,	0
(	(	(	(	(	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
least	least	av-ds	least	least	0
Bad	Bad	j	Bad	bad	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
Learned	Learned	j	Learned	learned	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Order	Order	n1	Order	order	0
)	)	)	)	)	0
that	that	cst	that	that	0
his	his	po31	his	his	0
Holiness	Holiness	n1	Holiness	holiness	0
was	was	vbds	was	be	0
divided	divided	vvn	divided	divide	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
twixt	twixt	p-acp	betwixt	betwixt	0
Weeping	Weeping	vvg	Weeping	weep	0
and	and	cc	and	and	0
VVondering	VVondering	vvg	Wondering	wonder	0
thereat	thereat	av	thereat	thereat	0
.	.	.	.	.	1
This	This	d	This	this	0
Earle	Earle	n1	Earl	earl	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
said	said	vvn	said	say	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
left	left	vvn	left	leave	0
John	John	np1	John	John	0
Bour	Bour	uh	Bour	bour	0
∣	∣	sy	∣	∣	0
chier	chier	n1	chier	chier	0
,	,	,	,	,	0
Baron	Baron	n1	Baron	baron	0
of	of	pp-f	of	of	0
Berners	Berners	np1	Berners	Berners	0
and	and	cc	and	and	0
Governour	Governour	n1	Governor	governor	0
of	of	pp-f	of	of	0
Callis	Callis	np1	Callis	Calais	0
,	,	,	,	,	0
the	the	dt	the	the	0
Heir	Heir	n1	Heir	heir	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Learning	Learning	n1	Learning	learning	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
who	who	r-crq	who	who	0
wroteIdem	wroteIdem	j-jn	wroteIdem	wroteidem	0
&	&	cc	&	and	0
Pitz	Pitz	np1	Pitz	Pitz	0
de	de	fw-fr	de	de	0
Scrip.	Scrip.	np1	Scrip.	Scrip.	1
Anglic.	Anglic.	np1	Anglic.	Anglic.	0
many	many	d	many	many	0
Treatises	Treatises	n2	Treatises	treatise	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
Excursions	Excursions	n2	Excursions	excursion	0
into	into	p-acp	into	into	0
Variety	Variety	n1	Variety	variety	0
of	of	pp-f	of	of	0
Studies	Studies	n2	Studies	study	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
seventh	seventh	ord	seventh	seven	0
.	.	.	.	.	1
This	This	d	This	this	0
Learned	Learned	j	Learned	learned	0
Baron	Baron	n1	Baron	baron	0
had	had	vhd	had	have	0
severall	severall	j	several	several	0
Successours	Successours	n2	Successors	successor	0
under	under	p-acp	under	under	0
King	King	n1	King	king	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
eighth	eighth	ord	eighth	eight	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
same	same	d	same	same	0
time	time	n1	time	time	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Parts	Parts	n2	Parts	part	0
and	and	cc	and	and	0
Liberall	Liberall	j	Liberal	liberal	0
Studies	Studies	n2	Studies	study	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	1
Henry	Henry	np1	Henry	Henry	0
Lord	Lord	n1	Lord	lord	0
Stafford	Stafford	np1	Stafford	Stafford	0
,	,	,	,	,	0
Son	Son	n1	Son	son	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
last	last	ord	last	last	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Buckingham	Buckingham	np1	Buckingham	Buckingham	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Name	Name	n1	Name	name	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
William	William	np1	William	William	0
Lord	Lord	n1	Lord	lord	0
Montjoy	Montjoy	np1	Montjoy	Montjoy	0
,	,	,	,	,	0
a	a	dt	a	a	0
great	great	j	great	great	0
Patron	Patron	n1	Patron	patron	0
to	to	p-acp	to	to	0
Eras	Eras	np1	Eras	Eras	0
∣	∣	sy	∣	∣	0
mus	mus	n1	mus	muss	0
,	,	,	,	,	0
and	and	cc	and	and	0
well	well	av	well	well	0
skilled	skilled	vvn	skilled	skill	0
in	in	p-acp	in	in	0
Chymistry	Chymistry	n1	Chemistry	chemistry	0
and	and	cc	and	and	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
thematicks	thematicks	n1	thematics	thematics	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	1
Henry	Henry	np1	Henry	Henry	0
Howard	Howard	np1	Howard	Howard	0
,	,	,	,	,	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Surrey	Surrey	np1	Surrey	Surrey	0
,	,	,	,	,	0
(	(	(	(	(	0
though	though	c-acp	though	though	0
last	last	ord	last	last	0
in	in	p-acp	in	in	0
Time	Time	n1	Time	time	0
,	,	,	,	,	0
not	not	xx	not	not	0
least	least	ds	least	least	0
in	in	p-acp	in	in	0
Merit	Merit	n1	Merit	merit	0
)	)	)	)	)	0
the	the	dt	the	the	0
first	first	ord	first	first	0
reviver	reviver	n1	reviver	reviver	0
of	of	pp-f	of	of	0
English	English	jp	English	english	0
Poetry	Poetry	n1	Poetry	poetry	0
:	:	:	:	:	0
so	so	av	so	so	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
seem	seem	vvi	seem	seem	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
sort	sort	n1	sort	sort	0
to	to	pc-acp	to	to	0
wave	wave	vvi	wave	wave	0
his	his	po31	his	his	0
Coronet	Coronet	n1	Coronet	coronet	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
wear	wear	vvi	wear	wear	0
