THIS	THIS	d	THIS	this	0
LIFE	LIFE	n1	LIFE	life	0
OF	OF	pp-f	OF	of	0
OVRS	OVRS	png12	OURS	we	0
,	,	,	,	,	0
(	(	(	(	(	0
Right	Right	av-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
Worship	Worship	n1	Worship	worship	0
∣	∣	sy	∣	∣	0
ful	ful	av-j	full	full	0
,	,	,	,	,	0
and	and	cc	and	and	0
worthie	worthie	j	worthy	worthy	0
Catholikes	Catholikes	njp2	Catholics	catholic	0
(	(	(	(	(	0
is	is	vbz	is	be	0
à	à	fw-fr	à	à	0
Rase	Rase	vvb	Raze	raze	0
,	,	,	,	,	0
and	and	cc	and	and	0
course	course	n1	course	course	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
runne	runne	vvi	run	run	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
win	win	vvi	win	win	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
goale	goale	n1	goal	goal	0
.	.	.	.	.	1
(	(	(	(	(	0
1.	1.	crd	1.	1.	1
Cor.	Cor.	np1	Cor.	Cor.	0
9.	9.	crd	9.	9	0
)	)	)	)	)	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
Wrastling	Wrastling	j-vvg	Wrestling	wrestle	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
garland	garland	n1	garland	garland	0
of	of	pp-f	of	of	0
eternall	eternall	j	eternal	eternal	0
glorie	glorie	n1	glory	glory	0
.	.	.	.	.	1
(	(	(	(	(	0
1.	1.	crd	1.	1.	1
Cor.	Cor.	np1	Cor.	Cor.	0
9.	9.	crd	9.	9	0
)	)	)	)	)	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
Warfare	Warfare	n1	Warfare	warfare	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
fight	fight	vvi	fight	fight	0
against	against	p-acp	against	against	0
three	three	crd	three	three	0
mightie	mightie	j	mighty	mighty	0
,	,	,	,	,	0
knowne	knowne	vvn	known	know	0
,	,	,	,	,	0
and	and	cc	and	and	0
professed	professed	j-vvn	professed	profess	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
no	no	dx	no	no	0
lesse	lesse	dc	less	less	0
then	then	cs	then	than	0
a	a	dt	a	a	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
Heauen	Heauen	n1	Heaven	heaven	0
.	.	.	.	.	1
Our	Our	po12	Our	our	0
life	life	n1	life	life	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
IOB	IOB	np1	IOB	Job	0
saieth	saieth	vvz	sayeth	say	0
cap	cap	n1	cap	cap	0
.	.	.	.	.	1
7.	7.	crd	7.	7.	0
)	)	)	)	)	0
is	is	vbz	is	be	0
Militia	Militia	n1	Militia	militia	0
super	super	fw-la	super	super	0
terram	terram	fw-la	terram	terram	0
;	;	;	;	;	0
A	A	dt	A	a	0
warfare	warfare	n1	warfare	warfare	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
stand	stand	vvb	stand	stand	0
alwaies	alwaies	av	always	always	0
vpon	vpon	p-acp	upon	upon	0
our	our	po12	our	our	0
guarde	guarde	n1	guard	guard	0
,	,	,	,	,	0
alwaies	alwaies	av	always	always	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
armour	armour	n1	armour	armour	0
,	,	,	,	,	0
alwayes	alwayes	av	always	always	0
with	with	p-acp	with	with	0
weapon	weapon	n1	weapon	weapon	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
warfare	warfare	n1	warfare	warfare	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
in	in	p-acp	in	in	0
heauen	heauen	n1	heaven	heaven	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
peace	peace	n1	peace	peace	0
;	;	;	;	;	0
a	a	dt	a	a	0
labour	labour	n1	labour	labour	0
here	here	av	here	here	0
,	,	,	,	,	0
a	a	dt	a	a	0
rest	rest	n1	rest	rest	0
there	there	a-acp	there	there	0
;	;	;	;	;	0
a	a	dt	a	a	0
sowing	sowing	vvg	sowing	sow	0
in	in	p-acp	in	in	0
teares	teares	n2	tears	tear	0
here	here	av	here	here	0
,	,	,	,	,	0
a	a	dt	a	a	0
reaping	reaping	vvg	reaping	reap	0
in	in	p-acp	in	in	0
ioy	ioy	n1	joy	joy	0
there	there	a-acp	there	there	0
;	;	;	;	;	0
a	a	dt	a	a	0
storme	storme	n1	storm	storm	0
here	here	av	here	here	0
,	,	,	,	,	0
a	a	dt	a	a	0
calme	calme	j-jn	calm	calm	0
there	there	a-acp	there	there	0
;	;	;	;	;	0
a	a	dt	a	a	0
troublesome	troublesome	j	troublesome	troublesome	0
sea	sea	n1	sea	sea	0
here	here	av	here	here	0
,	,	,	,	,	0
a	a	dt	a	a	0
quiet	quiet	j-jn	quiet	quiet	0
hauen	hauen	n1	haven	haven	0
there	there	a-acp	there	there	0
;	;	;	;	;	0
a	a	dt	a	a	0
battaile	battaile	n1	battle	battle	0
here	here	av	here	here	0
,	,	,	,	,	0
a	a	dt	a	a	0
triumph	triumph	n1	triumph	triumph	0
there	there	a-acp	there	there	0
;	;	;	;	;	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
fore	fore	p-acp	before	before	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
militant	militant	j	militant	militant	0
here	here	av	here	here	0
,	,	,	,	,	0
triumphant	triumphant	j	triumphant	triumphant	0
there	there	a-acp	there	there	0
.	.	.	.	.	1
Where	Where	c-crq	Where	where	0
∣	∣	sy	∣	∣	0
fore	fore	p-acp	before	before	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
husbandman	husbandman	n1	husbandman	husbandman	0
laboureth	laboureth	vvz	laboureth	labour	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
field	field	n1	field	field	0
,	,	,	,	,	0
rest	rest	n1	rest	rest	0
∣	∣	sy	∣	∣	0
eth	eth	zz	eth	eth	0
onely	onely	av-j	only	only	0
at	at	p-acp	at	at	0
home	home	n1-an	home	home	0
:	:	:	:	:	0
The	The	dt	The	the	0
wayfaring	wayfaring	vvg	wayfaring	wayfare	0
man	man	n1	man	man	0
trauelleth	trauelleth	vvz	travelleth	travel	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
ware	ware	n1	ware	ware	0
,	,	,	,	,	0
takes	takes	vvz	takes	take	0
his	his	po31	his	his	0
ease	ease	n1	ease	ease	0
onely	onely	av-j	only	only	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Inne	Inne	n1	Inn	inn	0
:	:	:	:	:	0
The	The	dt	The	the	0
Ro	Ro	np1	Ro	Ro	0
∣	∣	sy	∣	∣	0
manes	manes	fw-la	manes	manes	0
tryumphed	tryumphed	vvd	triumphed	triumph	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
place	place	n1	place	place	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
waged	waged	vvd	waged	wage	0
warre	warre	n1	war	war	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
made	made	vvd	made	make	0
warre	warre	n1	war	war	0
in	in	p-acp	in	in	0
forraine	forraine	j	foreign	foreign	0
Countries	Countries	n2	Countries	country	0
for	for	p-acp	for	for	0
Townes	Townes	n2	Towns	town	0
,	,	,	,	,	0
Prouinces	Prouinces	n2	Provinces	province	0
,	,	,	,	,	0
and	and	cc	and	and	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
tryūphed	tryūphed	vvd	triumphed	triumph	0
onely	onely	av-j	only	only	0
in	in	p-acp	in	in	0
Rome	Rome	n1	Room	room	0
:	:	:	:	:	0
So	So	av	So	so	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
not	not	xx	not	not	0
looke	looke	vvi	look	look	0
for	for	p-acp	for	for	0
ease	ease	n1	ease	ease	0
,	,	,	,	,	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
tri	tri	fw-la	tri	tri	0
∣	∣	sy	∣	∣	0
umphes	umphes	n2	umphes	umphe	0
,	,	,	,	,	0
and	and	cc	and	and	0
garlandes	garlandes	n2	garlands	garland	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
here	here	av	here	here	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
prepare	prepare	vvi	prepare	prepare	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
to	to	p-acp	to	to	0
skirmishes	skirmishes	n2	skirmishes	skirmish	0
,	,	,	,	,	0
encounters	encounters	n2	encounters	encounter	0
,	,	,	,	,	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
bats	bats	n2	bats	bat	0
,	,	,	,	,	0
and	and	cc	and	and	0
battailes	battailes	n2	battles	battle	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
Heauen	Heauen	n1	Heaven	heaven	0
onely	onely	av-j	only	only	0
expect	expect	vvb	expect	expect	0
our	our	po12	our	our	0
Triumph	Triumph	n1	Triumph	triumph	0
.	.	.	.	.	1
The	The	dt	The	the	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
got	got	vvd	god	get	0
not	not	xx	not	not	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
promise	promise	n1	promise	promise	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
dynt	dynt	n1	dint	dint	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sword	sword	n1	sword	sword	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
many	many	d	many	many	0
encoun	encoun	n1	encoun	encoun	0
∣	∣	sy	∣	∣	0
ters	ters	n1	ters	ters	0
and	and	cc	and	and	0
bloudie	bloudie	j	bloody	bloody	0
battailes	battailes	n2	battles	battle	0
:	:	:	:	:	0
neither	neither	av-dx	neither	neither	0
shall	shall	vmb	shall	shall	0
wee	wee	pns12	we	we	0
obtaine	obtaine	vvi	obtain	obtain	0
heauen	heauen	n1	heaven	heaven	0
,	,	,	,	,	0
vnlesse	vnlesse	cs	unless	unless	0
we	we	pns12	we	we	0
fight	fight	vvb	fight	fight	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Regnum	Regnum	np1	Regnum	Regnum	0
coelo	coelo	fw-la	coelo	coelo	0
∣	∣	sy	∣	∣	0
rum	rum	uh	rum	rum	0
vim	vim	fw-la	vim	vim	0
patitur	patitur	fw-la	patitur	patitur	0
,	,	,	,	,	0
&	&	cc	&	and	0
violenti	violenti	fw-la	violenti	violenti	0
rapiunt	rapiunt	fw-la	rapiunt	rapiunt	0
illud	illud	fw-la	illud	illud	0
,	,	,	,	,	0
(	(	(	(	(	0
Mat.	Mat.	np1	Mat.	Mat	0
11.	11.	crd	11.	11.	0
)	)	)	)	)	1
The	The	dt	The	the	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
heauen	heauen	n1	heaven	heaven	0
suffereth	suffereth	vvz	suffers	suffer	0
violence	violence	n1	violence	violence	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
violent	violent	j	violent	violent	0
beare	beare	vvi	bear	bear	0
it	it	pn31	it	it	0
away	away	av	away	away	0
.	.	.	.	.	1
If	If	cs	If	if	0
we	we	pns12	we	we	0
will	will	vmb	will	will	0
winne	winne	vvi	win	win	0
this	this	d	this	this	0
Cittie	Cittie	n1	City	city	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
must	must	vmb	must	must	0
lay	lay	vvi	lay	lay	0
siege	siege	n1	siege	siege	0
vnto	vnto	p-acp	unto	unto	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
watching	watching	vvg	watching	watch	0
and	and	cc	and	and	0
praying	praying	vvg	praying	pray	0
.	.	.	.	.	1
If	If	cs	If	if	0
we	we	pns12	we	we	0
will	will	vmb	will	will	0
enter	enter	vvi	enter	enter	0
it	it	pn31	it	it	0
,	,	,	,	,	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
breach	breach	n1	breach	breach	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
batterie	batterie	n1	battery	battery	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
workes	workes	n2	works	work	0
.	.	.	.	.	1
If	If	cs	If	if	0
we	we	pns12	we	we	0
will	will	vmb	will	will	0
take	take	vvi	take	take	0
quiet	quiet	j-jn	quiet	quiet	0
possession	possession	n1	possession	possession	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
make	make	vvi	make	make	0
vvarre	vvarre	n1	war	war	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
So	So	av	So	so	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
militant	militant	j	militant	militant	0
,	,	,	,	,	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
armie	armie	n1	army	army	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
armie	armie	n1	army	army	0
alwaies	alwaies	av	always	always	0
raunged	raunged	vvn	ranged	range	0
in	in	p-acp	in	in	0
battaile	battaile	n1	battle	battle	0
array	array	n1	array	array	0
.	.	.	.	.	1
Ter	Ter	np1	Ter	Ter	0
∣	∣	sy	∣	∣	0
ribilis	ribilis	fw-la	ribilis	ribilis	0
vt	vt	fw-la	vt	ut	0
Castrorum	Castrorum	fw-la	Castrorum	castrorum	0
acies	acies	fw-la	acies	acies	0
ordinata	ordinata	fw-la	ordinata	ordinata	0
.	.	.	.	.	1
(	(	(	(	(	0
Cant.	Cant.	np1	Cant.	Cant.	0
6	6	crd	6	6	0
)	)	)	)	)	0
Terrible	Terrible	j	Terrible	terrible	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
armie	armie	n1	army	army	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
