OF	OF	pp-f	OF	of	0
all	all	d	all	all	0
people	people	n1	people	people	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
those	those	d	those	those	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
only	only	j	only	only	0
happy	happy	j	happy	happy	0
people	people	n1	people	people	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
God	God	n1	God	god	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
144.	144.	crd	144.	144.	0
15.	15.	crd	15.	15.	1
Whether	Whether	cs	Whither	whether	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
high	high	j	high	high	0
or	or	cc	or	or	0
low	low	j	low	low	0
,	,	,	,	,	0
learned	learned	j	learned	learned	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
worlds	worlds	ng1	world's	world	0
account	account	n1	account	account	0
illi	illi	fw-la	illi	illi	0
∣	∣	sy	∣	∣	0
terate	terate	j	terate	terate	0
:	:	:	:	:	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
tempted	tempted	vvn	tempted	tempt	0
or	or	cc	or	or	0
deserted	deserted	vvn	deserted	desert	0
,	,	,	,	,	0
afflicted	afflicted	j-vvn	afflicted	afflict	0
or	or	cc	or	or	0
oppressed	oppressed	vvn	oppressed	oppress	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
pretious	pretious	j	precious	precious	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
account	account	n1	account	account	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
though	though	cs	though	though	0
vile	vile	j	vile	vile	0
and	and	cc	and	and	0
contemptible	contemptible	j	contemptible	contemptible	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
my	my	po11	my	my	0
brethren	brethren	n2	brothers	brethren	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
