AMongst	AMongst	p-acp	among	among	0
those	those	d	those	those	0
many	many	d	many	many	0
duties	duties	n2	duties	duty	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
quired	quired	vvn	quired	quire	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
man	man	n1	man	man	0
any	any	d	any	any	0
way	way	n1	way	way	0
obliged	obliged	vvn	obliged	oblige	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
benefit	benefit	n1	benefit	benefit	0
receaued	receaued	vvd	received	receive	0
,	,	,	,	,	0
Seneca	Seneca	np1	Seneca	Seneca	0
setteth	setteth	vvz	sets	set	0
this	this	d	this	this	0
downe	downe	a-acp	down	down	0
for	for	p-acp	for	for	0
one	one	crd	one	one	0
,	,	,	,	,	0
Caue	Caue	n1	Cave	cave	0
ne	ne	ccx	ne	ne	0
clam	clam	n1	clam	clam	0
gratiam	gratiam	fw-la	gratiam	gratiam	0
referas	referas	n2	referas	refera	0
,	,	,	,	,	0
Take	Take	vvb	Take	take	0
heed	heed	n1	heed	heed	0
least	least	cs	lest	lest	0
thou	thou	pns21	thou	thou	0
smoother	smoother	jc	smoother	smooth	0
thy	thy	po21	thy	thy	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
a	a	dt	a	a	0
manner	manner	n1	manner	manner	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
thou	thou	pns21	thou	thou	0
were	were	vbdr	were	be	0
ashamed	ashamed	j	ashamed	ashamed	0
,	,	,	,	,	0
either	either	av-d	either	either	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
from	from	p-acp	from	from	0
whom	whom	ro-crq	whom	who	0
thou	thou	pns21	thou	thou	0
recei	recei	n1	recei	recei	0
∣	∣	sy	∣	∣	0
uest	uest	n1	vest	vest	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
selfe	selfe	n1	self	self	0
that	that	cst	that	that	0
thou	thou	pns21	thou	thou	0
shouldest	shouldest	vmd2	shouldst	shall	0
receiue	receiue	vvi	receive	receive	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
Ingratus	Ingratus	fw-la	Ingratus	ingratus	0
est	est	fw-la	est	est	0
qüi	qüi	fw-la	qüi	qüi	0
remotis	remotis	fw-la	remotis	remotis	0
arbitris	arbitris	fw-la	arbitris	arbitris	0
grati	grati	fw-la	grati	grati	0
∣	∣	sy	∣	∣	0
as	as	c-acp	as	as	0
agit	agit	fw-fr	agit	agit	0
.	.	.	.	.	1
This	This	d	This	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
reason	reason	n1	reason	reason	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
)	)	)	)	)	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
me	me	pno11	me	i	0
bold	bold	j	bold	bold	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
dedi	dedi	fw-la	dedi	dedi	0
∣	∣	sy	∣	∣	0
cate	cate	zz	cate	cate	0
these	these	d	these	these	0
my	my	po11	my	my	0
simple	simple	j	simple	simple	0
labours	labours	n2	labours	labour	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
not	not	xx	not	not	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
them	them	pno32	them	they	0
any	any	d	any	any	0
way	way	n1	way	way	0
worthy	worthy	j	worthy	worthy	0
your	your	po22	your	your	0
worthinesse	worthinesse	n1	worthiness	worthiness	0
,	,	,	,	,	0
or	or	cc	or	or	0
sufficient	sufficient	j	sufficient	sufficient	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
smallest	smallest	js	smallest	small	0
proportion	proportion	n1	proportion	proportion	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
requite	requite	vvi	requite	requite	0
those	those	d	those	those	0
infinite	infinite	j	infinite	infinite	0
bounties	bounties	n2	bounties	bounty	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
receiued	receiued	vvn	received	receive	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
knowne	knowne	vvn	known	know	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
world	world	n1	world	world	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
asha	asha	n1	asha	asha	0
∣	∣	sy	∣	∣	0
med	med	j	med	med	0
to	to	pc-acp	to	to	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
how	how	c-crq	how	how	0
much	much	av-d	much	much	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
thankfull	thankfull	j	thankful	thankful	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
little	little	av-j	little	little	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
presse	presse	n1	press	press	0
my	my	po11	my	my	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
,	,	,	,	,	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
no	no	dx	no	no	0
better	better	jc	better	better	0
meanes	meanes	n2	means	mean	0
to	to	pc-acp	to	to	0
requite	requite	vvi	requite	requite	0
,	,	,	,	,	0
then	then	av	then	then	0
by	by	p-acp	by	by	0
cra	cra	fw-la	cra	cra	0
∣	∣	sy	∣	∣	0
uing	uing	zz	uing	uing	0
more	more	n1	more	moor	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
humbly	humbly	av-j	humbly	humble	0
intreating	intreating	vvg	entreating	entreat	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
bee	bee	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
full	full	j	full	full	0
recompence	recompence	n1	recompense	recompense	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
former	former	j	former	former	0
goodnesse	goodnesse	n1	goodness	goodness	0
in	in	p-acp	in	in	0
sup	sup	vvi	sup	sup	0
∣	∣	sy	∣	∣	0
plying	plying	vvg	plying	ply	0
my	my	po11	my	my	0
wants	wants	n2	wants	want	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
little	little	j	little	little	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
protect	protect	vvi	protect	protect	0
my	my	po11	my	my	0
infirmi	infirmi	fw-fr	infirmi	infirmi	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
:	:	:	:	:	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
thereby	thereby	av	thereby	thereby	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
adde	adde	vvi	add	add	0
much	much	d	much	much	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
former	former	j	former	former	0
kindnesses	kindnesses	n2	kindnesses	kindness	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
giue	giue	vvi	give	give	0
quickning	quickning	j-vvg	quickening	quicken	0
and	and	cc	and	and	0
spirit	spirit	n1	spirit	spirit	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
future	future	j-jn	future	future	0
studies	studies	n2	studies	study	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvb	make	make	0
me	me	pno11	me	i	0
bold	bold	j	bold	bold	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
fa	fa	fw-it	fa	fa	0
∣	∣	sy	∣	∣	0
uourable	uourable	j	uourable	uourable	0
acceptance	acceptance	n1	acceptance	acceptance	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
vndertake	vndertake	vvi	undertake	undertake	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
farre	farre	av-j	far	far	0
greater	greater	jc	greater	great	0
consequence	consequence	n1	consequence	consequence	0
,	,	,	,	,	0
and	and	cc	and	and	0
better	better	av-jc	better	better	0
befitting	befitting	vvg	befitting	befit	0
your	your	po22	your	your	0
worthy	worthy	j	worthy	worthy	0
patro	patro	n1	patron	patron	0
∣	∣	sy	∣	∣	0
nage	nage	n1	nage	nage	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
wil	wil	vmb	will	will	0
∣	∣	sy	∣	∣	0
lingly	lingly	av-j	lingly	ling	0
promise	promise	n1	promise	promise	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
want	want	vvb	want	want	0
not	not	xx	not	not	0
will	will	n1	will	will	0
to	to	pc-acp	to	to	0
performe	performe	vvi	perform	perform	0
it	it	pn31	it	it	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
pity	pity	n1	pity	pity	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
but	but	p-acp	but	but	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
euer	euer	av	ever	ever	0
liue	liue	vvi	live	live	0
in	in	p-acp	in	in	0
wants	wants	n2	wants	want	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
euer	euer	av	ever	ever	0
liue	liue	vvi	live	live	0
to	to	pc-acp	to	to	0
want	want	vvi	want	want	0
will	will	n1	will	will	0
,	,	,	,	,	0
euer	euer	av	ever	ever	0
to	to	pc-acp	to	to	0
loue	loue	vvi	love	love	0
and	and	cc	and	and	0
honour	honour	vvi	honour	honour	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
euer	euer	av	ever	ever	0
sup	sup	vvi	sup	sup	0
∣	∣	sy	∣	∣	0
plied	plied	vvd	plied	ply	0
my	my	po11	my	my	0
wants	wants	n2	wants	want	0
.	.	.	.	.	1
And	And	cc	And	and	0
though	though	cs	though	though	0
this	this	d	this	this	0
be	be	vbb	be	be	0
reason	reason	n1	reason	reason	0
enough	enough	av-d	enough	enough	0
to	to	pc-acp	to	to	0
binde	binde	vvi	bind	bind	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
more	more	dc	more	more	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
either	either	d	either	either	0
doe	doe	n1	doe	doe	0
or	or	cc	or	or	0
promise	promise	n1	promise	promise	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
and	and	cc	and	and	0
Name	Name	n1	Name	name	0
,	,	,	,	,	0
and	and	cc	and	and	0
bloud	bloud	n1	blood	blood	0
,	,	,	,	,	0
and	and	cc	and	and	0
neere	neere	av-j	near	near	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
liance	liance	n1	liance	liance	0
,	,	,	,	,	0
challenge	challenge	vvb	challenge	challenge	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
dutie	dutie	n1	duty	duty	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
hands	hands	n2	hands	hand	0
:	:	:	:	:	0
and	and	cc	and	and	0
if	if	cs	if	if	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
forasmuch	forasmuch	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
any	any	d	any	any	0
vpon	vpon	p-acp	upon	upon	0
whom	whom	ro-crq	whom	who	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
God	God	np1	God	God	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
bountifull	bountifull	j	bountiful	bountiful	0
hand	hand	n1	hand	hand	0
to	to	pc-acp	to	to	0
poure	poure	vvi	pour	pour	0
down	down	a-acp	down	down	0
his	his	po31	his	his	0
earthly	earthly	j	earthly	earthly	0
blessings	blessings	n2	blessings	blessing	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
then	then	av	then	then	0
vpon	vpon	p-acp	upon	upon	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
it	it	pn31	it	it	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
be	be	vbi	be	be	0
wisdome	wisdome	n1	wisdom	wisdom	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
choise	choise	n1	choice	choice	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
blesse	blesse	vvi	bless	bless	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
so	so	av	so	so	0
bles	bles	n2	bles	ble	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
.	.	.	.	.	1
Pardon	Pardon	n1	Pardon	pardon	0
me	me	pno11	me	i	0
(	(	(	(	(	0
Good	Good	j	Good	good	0
Sir	Sir	n1	Sir	sir	0
)	)	)	)	)	0
if	if	cs	if	if	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
true	true	j	true	true	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
knowledgment	knowledgment	n1	knowledgment	knowledgment	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
goodnes	goodnes	n1	goodness	goodness	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
me	me	pno11	me	i	0
and	and	cc	and	and	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
from	from	p-acp	from	from	0
any	any	d	any	any	0
the	the	dt	the	the	0
least	least	ds	least	least	0
touch	touch	n1	touch	touch	0
of	of	pp-f	of	of	0
vaine	vaine	j	vain	vain	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
or	or	cc	or	or	0
flatterie	flatterie	n1	flattery	flattery	0
,	,	,	,	,	0
or	or	cc	or	or	0
doubt	doubt	n1	doubt	doubt	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
like	like	av-j	like	like	0
acknowledge	acknowledge	vvb	acknowledge	acknowledge	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
I	I	pns11	I	i	0
be	be	vbb	be	be	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
owne	owne	d	own	own	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
fort	fort	n1	fort	fort	0
I	I	pns11	I	i	0
speake	speake	vvb	speak	speak	0
it	it	pn31	it	it	0
)	)	)	)	)	0
