MOST	MOST	av-ds	MOST	most	0
EXCELLENT	EXCELLENT	j	EXCELLENT	excellent	0
LADIES	LADIES	n2	LADIES	lady	0
.	.	.	.	.	1
Where	Where	q-crq	Where	where	0
perfect	perfect	j	perfect	perfect	0
honour	honour	n1	honour	honour	0
is	is	vbz	is	be	0
ennobled	ennobled	vvn	ennobled	ennoble	0
with	with	p-acp	with	with	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
complisht	complisht	vvn	complisht	complisht	0
perfection	perfection	n1	perfection	perfection	0
,	,	,	,	,	0
Beauty	Beauty	n1	Beauty	beauty	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
scant	scant	j	scant	scant	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
euermore	euermore	av	evermore	evermore	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
glorious	glorious	j	glorious	glorious	0
shrine	shrine	n1	shrine	shrine	0
of	of	pp-f	of	of	0
honourable	honourable	j	honourable	honourable	0
fauour	fauour	n1	favour	favour	0
:	:	:	:	:	0
else	else	av	else	else	0
had	had	vhd	had	have	0
I	I	pns11	I	i	0
misconceited	misconceited	vvn	misconceited	misconceit	0
mine	mine	png11	mine	i	0
owne	owne	d	own	own	0
hopes	hopes	n2	hope's	hope	0
,	,	,	,	,	0
and	and	cc	and	and	0
beene	beene	vbn	been	be	0
grauelled	grauelled	vvn	graveled	gravel	0
in	in	p-acp	in	in	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
ceipts	ceipts	ng2	ceipts	ceipts	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
my	my	po11	my	my	0
strong	strong	j	strong	strong	0
confidence	confidence	n1	confidence	confidence	0
,	,	,	,	,	0
is	is	vbz	is	be	0
my	my	po11	my	my	0
confident	confident	j	confident	confident	0
war	war	n1	war	war	0
∣	∣	sy	∣	∣	0
rant	rant	vvi	rant	rant	0
:	:	:	:	:	0
neither	neither	av-dx	neither	neither	0
can	can	vmb	can	can	0
ye	ye	pn22	you	you	0
distast	distast	n1	distaste	distaste	0
that	that	cst	that	that	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
explanes	explanes	vvz	explains	explain	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
what	what	q-crq	what	what	0
is	is	vbz	is	be	0
done	done	vdn	done	do	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
what	what	q-crq	what	what	0
is	is	vbz	is	be	0
done	done	vdn	done	do	0
by	by	p-acp	by	by	0
yours	yours	png22	yours	you	0
.	.	.	.	.	1
If	If	cs	If	if	0
the	the	dt	the	the	0
pleasure	pleasure	n1	pleasure	pleasure	0
ye	ye	pn22	you	you	0
shall	shall	vmb	shall	shall	0
take	take	vvi	take	take	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Defenders	Defenders	n2	Defenders	defender	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
fence	fence	n1	fence	fence	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
be	be	vbb	be	be	0
great	great	j	great	great	0
:	:	:	:	:	0
then	then	av	then	then	0
the	the	dt	the	the	0
acceptance	acceptance	n1	acceptance	acceptance	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
lesse	lesse	av-dc	less	less	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
reading	reading	vvg	reading	read	0
the	the	dt	the	the	0
reasons	reasons	n2	reasons	reason	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
defence	defence	n1	defence	defence	0
:	:	:	:	:	0
especially	especially	av-j	especially	especial	0
being	being	vbg	being	be	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
deuoted	deuoted	j-vvn	devoted	devote	0
:	:	:	:	:	0
and	and	cc	and	and	0
onely	onely	av-j	only	only	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
de	de	vdb	de	do	0
∣	∣	sy	∣	∣	0
uoted	uoted	vvn	voted	vote	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
defects	defects	n2	defects	defect	0
and	and	cc	and	and	0
weakely	weakely	av-j	weakly	weak	0
mainteyning	mainteyning	vvg	maintaining	maintain	0
argu	argu	n1	argu	argu	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
arguments	arguments	n2	arguments	argument	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
,	,	,	,	,	0
your	your	po22	your	your	0
protection	protection	n1	protection	protection	0
shal	shal	vmb	shall	shall	0
wipe	wipe	vvi	wipe	wipe	0
off	off	a-acp	off	off	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
trueth	trueth	n1	truth	truth	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
needes	needes	vvz	needs	need	0
no	no	dx	no	no	0
lustre	lustre	n1	lustre	lustre	0
)	)	)	)	)	0
chiefly	chiefly	av-jn	chiefly	chief	0
priuiledge	priuiledge	n1	privilege	privilege	0
.	.	.	.	.	1
I	I	pns11	I	i	0
affect	affect	vvb	affect	affect	0
no	no	dx	no	no	0
singularity	singularity	n1	singularity	singularity	0
,	,	,	,	,	0
I	I	pns11	I	i	0
boast	boast	vvb	boast	boast	0
no	no	dx	no	no	0
affe	affe	n1	affe	ass	0
∣	∣	sy	∣	∣	0
ctation	ctation	n1	ctation	ctation	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
can	can	vmb	can	can	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
freeze	freeze	vvi	freeze	freeze	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
one	one	pi	one	one	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
