TO	TO	p-acp	TO	to	0
THE	THE	dt	THE	the	0
RIGHT	RIGHT	j-jn	RIGHT	right	0
WORSHIPFƲLL	WORSHIPFƲLL	n1	WORSHIPFƲLL	worshipfʋll	0
,	,	,	,	,	0
Mris.	Mris.	n1	Mris.	mrs.	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
Backus	Backus	np1	Backus	Backus	0
,	,	,	,	,	0
Wife	Wife	n1	Wife	wife	0
to	to	p-acp	to	to	0
Mr.	Mr.	n1	Mr.	mr.	0
Samuel	Samuel	np1	Samuel	Samuel	0
Backus	Backus	np1	Backus	Backus	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
and	and	cc	and	and	0
Iustice	Iustice	n1	Justice	justice	0
of	of	pp-f	of	of	0
Peace	Peace	n1	Peace	peace	0
:	:	:	:	:	0
And	And	cc	And	and	0
to	to	p-acp	to	to	0
her	her	po31	her	her	0
three	three	crd	three	three	0
vertuous	vertuous	j	virtuous	virtuous	0
and	and	cc	and	and	0
religious	religious	j	religious	religious	0
daughters	daughters	n2	daughters	daughter	0
,	,	,	,	,	0
Mris.	Mris.	n1	Mris.	mrs.	1
Mary	Mary	np1	Mary	Mary	0
Standen	Standen	np1	Standen	Standen	0
,	,	,	,	,	0
wife	wife	n1	wife	wife	0
to	to	p-acp	to	to	0
Mr.	Mr.	n1	Mr.	mr.	0
Standen	Standen	np1	Standen	Standen	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
and	and	cc	and	and	0
Iustice	Iustice	n1	Justice	justice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Peace	Peace	n1	Peace	peace	0
;	;	;	;	;	0
Mris.	Mris.	n1	Mris.	mrs.	0
Flower	Flower	n1	Flower	flower	0
Backus	Backus	np1	Backus	Backus	0
wife	wife	n1	wife	wife	0
of	of	pp-f	of	of	0
Mr.	Mr.	n1	Mr.	mr.	0
Iohn	Iohn	np1	Iohn	John	0
Backus	Backus	np1	Backus	Backus	0
Esquire	Esquire	n1	Esquire	esquire	0
and	and	cc	and	and	0
Mris.	Mris.	n1	Mris.	mrs.	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
Bellingham	Bellingham	np1	Bellingham	Bellingham	0
,	,	,	,	,	0
wife	wife	n1	wife	wife	0
to	to	p-acp	to	to	0
Mr.	Mr.	n1	Mr.	mr.	1
Richard	Richard	np1	Richard	Richard	0
Bellingham	Bellingham	np1	Bellingham	Bellingham	0
Esquire	Esquire	n1	Esquire	esquire	0
;	;	;	;	;	0
Grace	Grace	n1	Grace	grace	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Fountains	Fountains	n2	Fountains	fountain	0
.	.	.	.	.	1
