ALthough	ALthough	cs	ALthough	although	0
(	(	(	(	(	0
my	my	po11	my	my	0
Lords	Lords	n2	Lords	lord	0
and	and	cc	and	and	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
)	)	)	)	)	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
read	read	vvn	read	read	0
many	many	d	many	many	0
Men	Men	n2	Men	man	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
few	few	d	few	few	0
Books	Books	n2	Books	book	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
my	my	po11	my	my	0
Ta	Ta	uh	Ta	ta	0
∣	∣	sy	∣	∣	0
lent	lent	vvn	lent	lend	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
eloquent	eloquent	j	eloquent	eloquent	0
Rhetorical	Rhetorical	j	Rhetorical	rhetorical	0
Stile	Stile	n1	Style	stile	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
pardon	pardon	vvi	pardon	pardon	0
my	my	po11	my	my	0
blunt	blunt	j	blunt	blunt	0
and	and	cc	and	and	0
plain	plain	j	plain	plain	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
writing	writing	n1	writing	writing	0
.	.	.	.	.	1
The	The	dt	The	the	0
substantial	substantial	j	substantial	substantial	0
Matter	Matter	n1	Matter	matter	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
following	following	j-vvg	following	follow	0
Papers	Papers	n2	Papers	paper	0
I	I	pns11	I	i	0
drew	drew	vvd	drew	draw	0
presently	presently	av-j	presently	present	0
after	after	p-acp	after	after	0
my	my	po11	my	my	0
Return	Return	n1	Return	return	0
from	from	p-acp	from	from	0
Holland	Holland	n1	Holland	holland	0
in	in	p-acp	in	in	0
Ja	Ja	fw-la	Ja	ja	0
∣	∣	sy	∣	∣	0
nuary	nuary	n1	nuary	nuary	0
last	last	ord	last	last	0
was	was	vbds	was	be	0
three	three	crd	three	three	0
Years	Years	n2	Years	year	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
did	did	vdd	did	do	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Advice	Advice	n1	Advice	advice	0
of	of	pp-f	of	of	0
Friends	Friends	n2	Friends	friend	0
forbear	forbear	vvb	forbear	forbear	0
publishing	publishing	vvg	publishing	publish	0
them	them	pno32	them	they	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
time	time	n1	time	time	0
.	.	.	.	.	1
The	The	dt	The	the	0
Excuse	Excuse	n1	Excuse	excuse	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
Boldness	Boldness	n1	Boldness	boldness	0
in	in	p-acp	in	in	0
dedicating	dedicating	j-vvg	dedicating	dedicate	0
these	these	d	these	these	0
Papers	Papers	n2	Papers	paper	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
is	is	vbz	is	be	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
of	of	pp-f	of	of	0
right	right	j-jn	right	right	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
belong	belong	vvb	belong	belong	0
:	:	:	:	:	0
You	You	pn22	You	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
Heirs	Heirs	n2	Heirs	heir	0
at	at	p-acp	at	at	0
Law	Law	n1	Law	law	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
though	though	cs	though	though	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Matter	Matter	n1	Matter	matter	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
wounded	wounded	vvn	wounded	wound	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
for	for	p-acp	for	for	0
warding	warding	vvg	warding	ward	0
the	the	dt	the	the	0
Blow	Blow	n1	Blow	blow	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
you	you	pn22	you	you	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
Blow	Blow	n1	Blow	blow	0
aimed	aimed	vvd	aimed	aim	0
.	.	.	.	.	1
The	The	dt	The	the	0
Reasons	Reasons	n2	Reasons	reason	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
publishing	publishing	vvg	publishing	publish	0
them	them	pno32	them	they	0
now	now	av	now	now	0
,	,	,	,	,	0
are	are	vbr	are	be	0
,	,	,	,	,	0
First	First	ord	First	first	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
discover	discover	vvi	discover	discover	0
some	some	d	some	some	0
Particulars	Particulars	n2-j	Particulars	particular	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
un	un	fw-fr	un	un	0
∣	∣	sy	∣	∣	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
sake	sake	n1	sake	sake	0
of	of	pp-f	of	of	0
Posterity	Posterity	n1	Posterity	posterity	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
bury	bury	vvi	bury	bury	0
.	.	.	.	.	1
And	And	cc	And	and	0
secondly	secondly	ord	secondly	second	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Intentions	Intentions	n2	Intentions	intention	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
short	short	j	short	short	0
time	time	n1	time	time	0
for	for	p-acp	for	for	0
Jamaica	Jamaica	np1	Jamaica	Jamaica	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
very	very	av	very	very	0
probable	probable	j	probable	probable	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
never	never	av-x	never	never	0
return	return	vvi	return	return	0
,	,	,	,	,	0
having	having	vhg	having	have	0
here	here	av	here	here	0
no	no	dx	no	no	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
employ	employ	vvi	employ	employ	0
my	my	po11	my	my	0
self	self	n1	self	self	0
;	;	;	;	;	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
God's	God's	npg1	God's	God	0
Blessing	Blessing	n1	Blessing	blessing	0
,	,	,	,	,	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
make	make	vvi	make	make	0
some	some	d	some	some	0
Provision	Provision	n1	Provision	provision	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
poor	poor	j	poor	poor	0
Chil	Chil	pns11|vmb	Chil	I|will	0
∣	∣	sy	∣	∣	0
dren	dren	n2	dren	dren	0
How	How	c-crq	How	how	0
little	little	j	little	little	0
soever	soever	av	soever	soever	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
sakes	sakes	n2	sakes	sake	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
made	made	vvn	made	make	0
,	,	,	,	,	0
or	or	cc	or	or	0
what	what	r-crq	what	what	0
∣	∣	sy	∣	∣	0
soever	soever	av	soever	soever	0
coarse	coarse	j	coarse	coarse	0
Usage	Usage	n1	Usage	usage	0
I	I	pns11	I	i	0
