Dear	Dear	j-jn	Dear	dear	0
Soules	Soules	n2	Souls	soul	0
MY	MY	po11	MY	my	0
hearts	hearts	n2	hearts	heart	0
desire	desire	vvb	desire	desire	0
,	,	,	,	,	0
and	and	cc	and	and	0
prayer	prayer	n1	prayer	prayer	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
saved	saved	vvn	saved	save	0
,	,	,	,	,	0
you	you	pn22	you	you	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
place	place	n1	place	place	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
(	(	(	(	(	0
and	and	cc	and	and	0
few	few	d	few	few	0
villages	villages	n2	villages	village	0
can	can	vmb	can	can	0
say	say	vvi	say	say	0
the	the	dt	the	the	0
like	like	j	like	like	0
)	)	)	)	)	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
hath	hath	vhz	hath	have	0
dwelt	dwelt	vvn	dwelled	dwell	0
here	here	av	here	here	0
in	in	p-acp	in	in	0
power	power	n1	power	power	0
as	as	c-acp	as	as	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
;	;	;	;	;	0
How	How	c-crq	How	how	0
many	many	d	many	many	0
pa	pa	wd	pa	pa	0
∣	∣	sy	∣	∣	0
rishes	rishes	vvz	rishes	rish	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
have	have	vhb	have	have	0
desired	desired	vvn	desired	desire	0
to	to	pc-acp	to	to	0
hear	hear	vvi	hear	hear	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
heard	heard	vvn	herd	hear	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
heard	heard	vvn	herd	hear	0
them	them	pno32	them	they	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
enjoy	enjoy	vvi	enjoy	enjoy	0
the	the	dt	the	the	0
meanes	meanes	n2	means	mean	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
enjoyed	enjoyed	vvn	enjoyed	enjoy	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
had	had	vhn	had	have	0
them	them	pno32	them	they	0
?	?	?	?	?	1
My	My	po11	My	my	0
painfull	painfull	j	painful	painful	0
Predecessor	Predecessor	n1	Predecessor	predecessor	0
(	(	(	(	(	0
now	now	av	now	now	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
)	)	)	)	)	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
faithfull	faithfull	j	faithful	faithful	0
labourer	labourer	n1	labourer	labourer	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
vineyard	vineyard	n1	vineyard	vineyard	0
above	above	p-acp	above	above	0
forty	forty	crd	forty	forty	0
years	years	n2	years	year	0
,	,	,	,	,	0
and	and	cc	and	and	0
shall	shall	vmb	shall	shall	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
said	said	vvn	said	say	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
once	once	a-acp	once	once	0
said	said	vvn	said	say	0
of	of	pp-f	of	of	0
gainsaying	gainsaying	vvg	gainsaying	gainsay	0
and	and	cc	and	and	0
refusing	refusing	vvg	refusing	refuse	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
forty	forty	crd	forty	forty	0
years	years	n2	years	year	0
long	long	av-j	long	long	0
was	was	vbds	was	be	0
I	I	pns11	I	i	0
grieved	grieved	vvn	grieved	grieve	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
gene	gene	zz	gene	gene	0
∣	∣	sy	∣	∣	0
ration	ration	n1	ration	ration	0
?	?	?	?	?	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
here	here	av	here	here	0
a	a	dt	a	a	0
waterer	waterer	n1	waterer	waterer	0
where	where	c-crq	where	where	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
planted	planted	vvn	planted	plant	0
now	now	av	now	now	0
full	full	av-j	full	full	0
as	as	c-acp	as	as	0
many	many	d	many	many	0
yeares	yeares	n2	years	year	0
as	as	c-acp	as	as	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
Articles	Articles	n2	Articles	article	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Creed	Creed	n1	Creed	creed	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
cannot	cannot	vmbx	cannot	can	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
an	an	dt	and	a	0
ar	ar	vbr	are	be	0
∣	∣	sy	∣	∣	0
ticle	ticle	zz	ticle	ticle	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
many	many	d	many	many	0
have	have	vhb	have	have	0
received	received	vvn	received	receive	0
