WHAT	WHAT	q-crq	WHAT	what	0
care	care	vvb	care	care	0
the	the	dt	the	the	0
almightie	almightie	j-jn	almighty	almighty	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Heauen	Heauen	n1	Heaven	heaven	0
hathe	hathe	vhz	hath	have	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Princes	Princes	n2	Princes	prince	0
and	and	cc	and	and	0
States	States	n2	States	state	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earthe	earthe	n1	earth	earth	0
,	,	,	,	,	0
though	though	cs	though	though	0
sacred	sacred	j	sacred	sacred	0
Scripture	Scripture	n1	Scripture	scripture	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
teache	teache	vvi	teach	teach	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
Pro	Pro	fw-la	Pro	pro	0
∣	∣	sy	∣	∣	0
phane	phane	n1	phane	phane	0
doctrine	doctrine	n1	doctrine	doctrine	0
might	might	vmd	might	may	0
instruct	instruct	vvi	instruct	instruct	0
vs.	vs.	pno12	us	we	0
Homer	Homer	np1	Homer	Homer	0
shevveth	shevveth	vvz	showeth	show	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
thro	thro	a-acp	through	through	0
∣	∣	sy	∣	∣	0
vveth	vveth	vvz	vveth	v	0
his	his	po31	his	his	0
shielde	shielde	n1	shield	shield	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
vvarre	vvarre	n1	war	war	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
defende	defende	vvi	defend	defend	0
the	the	dt	the	the	0
Prince	Prince	n1	Prince	prince	0
from	from	p-acp	from	from	0
harme	harme	n1	harm	harm	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
appoynteth	appoynteth	vvz	appointeth	appoint	0
to	to	p-acp	to	to	0
euerye	euerye	d	every	every	0
gouernour	gouernour	n1	governor	governor	0
,	,	,	,	,	0
a	a	dt	a	a	0
peculiar	peculiar	j	peculiar	peculiar	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
protection	protection	n1	protection	protection	0
.	.	.	.	.	1
Hovv	Hovv	c-crq	How	how	0
God	God	np1	God	God	0
plagueth	plagueth	vvz	plagueth	plagu	0
