ADmired	ADmired	j-vvn	ADmired	admire	0
Ladies	Ladies	n2	Ladies	lady	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
for	for	c-acp	for	for	0
your	your	po22	your	your	0
excellent	excellent	j	excellent	excellent	0
ver	ver	p-acp	for	for	0
∣	∣	sy	∣	∣	0
tues	tues	n2	tues	tue	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
rare	rare	j	rare	rare	0
beau	beau	n1	beau	beau	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
;	;	;	;	;	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
intreate	intreate	vvb	entreat	entreat	0
your	your	po22	your	your	0
pardons	pardons	n2	pardons	pardon	0
before	before	c-acp	before	before	0
I	I	pns11	I	i	0
crave	crave	vvb	crave	crave	0
your	your	po22	your	your	0
Patronage	Patronage	n1	Patronage	patronage	0
,	,	,	,	,	0
deeme	deeme	vvb	deem	deem	0
not	not	xx	not	not	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
presumption	presumption	n1	presumption	presumption	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
(	(	(	(	(	0
namely	namely	av	namely	namely	0
)	)	)	)	)	0
the	the	dt	the	the	0
resem	resem	fw-la	resem	resem	0
∣	∣	sy	∣	∣	0
blance	blance	n1	blance	blance	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Poet	Poet	n1	Poet	poet	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
ta	ta	dt	ta	a	0
∣	∣	sy	∣	∣	0
ken	ken	n1	ken	ken	0
his	his	po31	his	his	0
originall	originall	n-jn	original	original	0
from	from	p-acp	from	from	0
any	any	d	any	any	0
defect	defect	n1	defect	defect	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Ladiships	Ladiships	n2	Ladyships	ladyship	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
genies	genies	n2	genies	geny	0
,	,	,	,	,	0
or	or	cc	or	or	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
discretion	discretion	n1	discretion	discretion	0
to	to	pc-acp	to	to	0
iudge	iudge	vvi	judge	judge	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
piping	piping	vvg	piping	pipe	0
of	of	pp-f	of	of	0
Pan	Pan	n1	Pan	pan	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
musicke	musicke	n1	music	music	0
of	of	pp-f	of	of	0
Apollo	Apollo	np1	Apollo	Apollo	0
;	;	;	;	;	0
bettweene	bettweene	vvi	bettweene	bettweene	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
rude	rude	j	rude	rude	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
exquisite	exquisite	j	exquisite	exquisite	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
defect	defect	n1	defect	defect	0
or	or	cc	or	or	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
acute	acute	j	acute	acute	0
and	and	cc	and	and	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
creete	creete	zz	creete	creete	0
iudgement	iudgement	n1	judgement	judgement	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
onely	onely	av-j	only	only	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
proceeded	proceeded	vvn	proceeded	proceed	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
aboundance	aboundance	n1	abundance	abundance	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
patiences	patiences	n2	patiences	patience	0
and	and	cc	and	and	0
curteous	curteous	j	courteous	courteous	0
promises	promises	n2	promises	promise	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
indued	indued	vvn	endued	endue	0
with	with	p-acp	with	with	0
any	any	d	any	any	0
sparke	sparke	n1	spark	spark	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
literature	literature	n1	literature	literature	0
,	,	,	,	,	0
or	or	cc	or	or	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
desire	desire	n1	desire	desire	0
to	to	pc-acp	to	to	0
attaine	attaine	vvi	attain	attain	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
my	my	po11	my	my	0
part	part	n1	part	part	0
(	(	(	(	(	0
sweete	sweete	j	sweet	sweet	0
Ladies	Ladies	n2	Ladies	lady	0
)	)	)	)	)	0
I	I	pns11	I	i	0
alwayes	alwayes	av	always	always	0
affected	affected	vvn	affected	affect	0
Schollers	Schollers	n2	Scholars	scholar	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
every	every	d	every	every	0
man	man	n1	man	man	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
learned	learned	vvn	learned	learn	0
,	,	,	,	,	0
every	every	d	every	every	0
Po	Po	np1	Po	Po	0
∣	∣	sy	∣	∣	0
et	et	fw-fr	et	et	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
Virgil	Virgil	np1	Virgil	Virgil	0
.	.	.	.	.	1
I	I	pns11	I	i	0
present	present	vvb	present	present	0
therefore	therefore	av	therefore	therefore	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
this	this	d	this	this	0
my	my	po11	my	my	0
Pamphlet	Pamphlet	n1	Pamphlet	pamphlet	0
(	(	(	(	(	0
kinde	kinde	j	kind	kind	0
favorites	favorites	n2	favorites	favorite	0
)	)	)	)	)	0
not	not	xx	not	not	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
picture	picture	n1	picture	picture	0
of	of	pp-f	of	of	0
Minerva	Minerva	np1	Minerva	Minerva	0
,	,	,	,	,	0
wrought	wrought	vvn	wrought	wrought	0
by	by	p-acp	by	by	0
Fideas	Fideas	npg1	Fideas	fideas	0
,	,	,	,	,	0
was	was	vbds	was	be	0
presented	presented	vvn	presented	present	0
;	;	;	;	;	0
that	that	d	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
respected	respected	vvn	respected	respect	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
vacancie	vacancie	n1	vacancy	vacancy	0
and	and	cc	and	and	0
fit	fit	j	fit	fit	0
oportunitie	oportunitie	n1	opportunity	opportunity	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
perused	perused	vvn	perused	peruse	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
a	a	dt	a	a	0
trifle	trifle	n1	trifle	trifle	0
therefore	therefore	av	therefore	therefore	0
to	to	pc-acp	to	to	0
spend	spend	vvi	spend	spend	0
the	the	dt	the	the	0
time	time	n1	time	time	0
withall	withall	av	withal	withal	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
entituled	entituled	vvn	entitled	entitle	0
it	it	pn31	it	it	0
(	(	(	(	(	0
My	My	po11	My	my	0
La	La	fw-fr	La	la	0
∣	∣	sy	∣	∣	0
dies	dies	vvz	die	die	0
Toy	Toy	vvb	Toy	toy	0
,	,	,	,	,	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
offensive	offensive	j	offensive	offensive	0
eyther	eyther	av-d	either	either	0
in	in	p-acp	in	in	0
Title	Title	n1	Title	title	0
or	or	cc	or	or	0
Tittle	Tittle	n1	Tittle	tittle	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
composing	composing	vvg	composing	compose	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
more	more	dc	more	more	0
aymed	aymed	vvn	aimed	aim	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
fulfilling	fulfilling	j-vvg	fulfilling	fulfil	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
pleasures	pleasures	n2	pleasures	pleasure	0
,	,	,	,	,	0
then	then	cs	then	than	0
any	any	d	any	any	0
waies	waies	n2	ways	way	0
deserved	deserved	vvd	deserved	deserve	0
popular	popular	j	popular	popular	0
applauses	applauses	n2	applauses	applause	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
wishing	wishing	vvg	wishing	wish	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Ladiships	Ladiships	n2	Ladyships	ladyship	0
,	,	,	,	,	0
