BEcause	BEcause	c-acp	BEcause	because	0
wee	wee	pns12	we	we	0
are	are	vbr	are	be	0
created	created	vvn	created	create	0
for	for	p-acp	for	for	0
Gods	Gods	npg1	Gods	God	0
glorie	glorie	n1	glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
edification	edification	n1	edification	edification	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
another	another	j-jn	another	another	0
in	in	p-acp	in	in	0
Christe	Christe	np1	Christe	Christe	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
all	all	d	all	all	0
bounde	bounde	vvn	bound	bind	0
to	to	pc-acp	to	to	0
serue	serue	vvi	serve	serve	0
therevnto	therevnto	av	thereunto	thereunto	0
by	by	p-acp	by	by	0
wealth	wealth	n1	wealth	wealth	0
or	or	cc	or	or	0
woe	woe	n1	woe	woe	0
,	,	,	,	,	0
life	life	n1	life	life	0
or	or	cc	or	or	0
death	death	n1	death	death	0
:	:	:	:	:	0
&	&	cc	&	and	0
chieflie	chieflie	av-jn	chiefly	chief	0
they	they	pns32	they	they	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
giftes	giftes	n2	gifts	gift	0
,	,	,	,	,	0
&	&	cc	&	and	0
whom	whom	r-crq	whom	who	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
called	called	vvn	called	call	0
to	to	p-acp	to	to	0
greater	greater	jc	greater	great	0
roomes	roomes	n2	rooms	room	0
,	,	,	,	,	0
are	are	vbr	are	be	0
most	most	av-ds	most	most	0
boūden	boūden	vvn	bounden	bounden	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
zealous	zealous	j	zealous	zealous	0
for	for	p-acp	for	for	0
gods	gods	ng1	gods	god	0
glorie	glorie	n1	glory	glory	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
godly	godly	j	godly	godly	0
ie	ie	zz	ie	ie	0
∣	∣	sy	∣	∣	0
lousie	lousie	j	lousy	lousy	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
the	the	dt	the	the	0
church	church	n1	church	church	0
&	&	cc	&	and	0
spouse	spouse	n1	spouse	spouse	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
vnder	vnder	p-acp	under	under	0
their	their	po32	their	their	0
charge	charge	n1	charge	charge	0
,	,	,	,	,	0
a	a	dt	a	a	0
pure	pure	j	pure	pure	0
Virgin	Virgin	n1	Virgin	virgin	0
to	to	p-acp	to	to	0
Christ	Christ	np1	Christ	Christ	0
hir	hir	png31	his	he	0
husband	husband	n1	husband	husband	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
no	no	dx	no	no	0
