YF	YF	cs	IF	if	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
wor	wor	zz	wor	wor	0
¦	¦	sy	¦	¦	0
thye	thye	po21	thy	thy	0
prayse	prayse	n1	praise	praise	0
who	who	r-crq	who	who	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
zeale	zeale	n1	zeal	zeal	0
and	and	cc	and	and	0
desyre	desyre	vvi	desire	desire	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
theyr	theyr	po32	their	their	0
neyghbours	neyghbours	n2	neighbours	neighbour	0
good	good	j	good	good	0
,	,	,	,	,	0
do	do	vdb	do	do	0
wryghte	wryghte	av	wryghte	wryghte	0
and	and	cc	and	and	0
put	put	vvn	put	put	0
in	in	p-acp	in	in	0
prynte	prynte	n1	print	print	0
suche	suche	d	such	such	0
thynges	thynges	n2	things	thing	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
experyence	experyence	n1	experience	experience	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
proued	proued	vvn	proved	prove	0
,	,	,	,	,	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
heare	heare	vvi	hear	hear	0
saye	saye	vvi	say	say	0
of	of	pp-f	of	of	0
graue	graue	n1	graven	grave	0
and	and	cc	and	and	0
trustye	trustye	j	trusty	trusty	0
men	men	n2	men	man	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
learned	learned	vvn	learned	learn	0
,	,	,	,	,	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
reading	reading	vvg	reading	read	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
and	and	cc	and	and	0
auncyent	auncyent	j	ancient	ancient	0
authores	authores	n2	authores	authore	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
vnderstan	vnderstan	fw-mi	vnderstan	vnderstan	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
salue	salue	n1	salve	salve	0
or	or	cc	or	or	0
medycyne	medycyne	n1	medicine	medicine	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
mans	mans	ng1	men	man	0
body	body	n1	body	body	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
parte	parte	n1	part	part	0
or	or	cc	or	or	0
membre	membre	n1	member	member	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
muche	muche	av-d	much	much	0
more	more	av-dc	more	more	0
deserue	deserue	vvi	deserve	deserve	0
they	they	pns32	they	they	0
thank	thank	vvb	thank	thank	0
and	and	cc	and	and	0
prayse	prayse	vvi	praise	praise	0
that	that	d	that	that	0
teache	teache	vvi	teach	teach	0
vs	vs	pno12	us	we	0
a	a	dt	a	a	0
true	true	j	true	true	0
comfort	comfort	n1	comfort	comfort	0
salue	salue	n1	salve	salve	0
&	&	cc	&	and	0
medycyne	medycyne	n1	medicine	medicine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
spyrit	spyrit	n1	spyrit	spirit	0
,	,	,	,	,	0
&	&	cc	&	and	0
mynde	mynde	n1	mind	mind	0
.	.	.	.	.	1
The	The	dt	The	the	0
whych	whych	r-crq	which	which	0
spyryte	spyryte	n1	spirit	spirit	0
and	and	cc	and	and	0
mynde	mynde	n1	mind	mind	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
precyous	precyous	j	precious	precious	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
then	then	av	then	then	0
the	the	dt	the	the	0
bodye	bodye	n1	body	body	0
,	,	,	,	,	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
daungerous	daungerous	j	dangerous	dangerous	0
be	be	vbi	be	be	0
hys	hys	po31	his	his	0
sores	sores	n2	sores	sore	0
and	and	cc	and	and	0
syknes	syknes	n1	sickness	sickness	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
thancke	thancke	n1	thank	thank	0
worth	worth	j	worth	worth	0
the	the	dt	the	the	0
cure	cure	n1	cure	cure	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
For	For	c-acp	For	for	0
a	a	dt	a	a	0
well	well	av	well	well	0
quyeted	quyeted	j-jn	quiet	quiet	0
mynde	mynde	n1	mind	mind	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
troubled	troubled	j-vvn	troubled	trouble	0
bodye	bodye	n1	body	body	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
maketh	maketh	vvz	makes	make	0
quyetnes	quyetnes	n1	quietness	quietness	0
,	,	,	,	,	0
and	and	cc	and	and	0
sycknes	sycknes	n1	sickness	sickness	0
of	of	pp-f	of	of	0
bodye	bodye	n1	body	body	0
or	or	cc	or	or	0
losse	losse	n1	loss	loss	0
of	of	pp-f	of	of	0
goodes	goodes	n2-j	goods	good	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
muche	muche	d	much	much	0
paynfull	paynfull	j	painful	painful	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
hym	hym	pno31	him	he	0
that	that	cst	that	that	0
estemeth	estemeth	vvz	esteemeth	esteem	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
,	,	,	,	,	0
or	or	cc	or	or	0
aketh	aketh	vvz	aketh	ache	0
it	it	pn31	it	it	0
pacyently	pacyently	av-j	patiently	patient	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
an	an	dt	and	a	0
vnquyet	vnquyet	j	unquiet	unquiet	0
mynde	mynde	n1	mind	mind	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
moste	moste	av-ds	most	most	0
hole	hole	j-jn	hold	whole	0
bodye	bodye	n1	body	body	0
,	,	,	,	,	0
maketh	maketh	vvz	makes	make	0
helth	helth	n1	health	health	0
vnpleasaunt	vnpleasaunt	j-u	unpleasant	pleasant	0
,	,	,	,	,	0
&	&	cc	&	and	0
death	death	n1	death	death	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
wyshed	wyshed	vvn	wished	wish	0
,	,	,	,	,	0
And	And	cc	And	and	0
an	an	dt	and	a	0
vnsacyable	vnsacyable	j	vnsacyable	unsatiable	0
mynde	mynde	n1	mind	mind	0
and	and	cc	and	and	0
sore	sore	n1	soar	sore	0
wyth	wyth	p-acp	with	with	0
desyre	desyre	n1	desire	desire	0
of	of	pp-f	of	of	0
more	more	dc	more	more	0
,	,	,	,	,	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
keth	keth	zz	keth	keth	0
ryches	ryches	n2	riches	riches	0
,	,	,	,	,	0
pouertye	pouertye	n1	poverty	poverty	0
,	,	,	,	,	0
