THough	THough	cs	THough	though	0
the	the	dt	the	the	0
Sea	Sea	n1	Sea	sea	0
doe	doe	vdb	do	do	0
not	not	xx	not	not	0
more	more	av-dc	more	more	0
ouerflow	ouerflow	vvi	overflow	overflow	0
with	with	p-acp	with	with	0
water	water	n1	water	water	0
,	,	,	,	,	0
than	than	cs	than	than	0
this	this	d	this	this	0
age	age	n1	age	age	0
doth	doth	vdz	does	do	0
with	with	p-acp	with	with	0
Bookes	Bookes	n2	Books	book	0
,	,	,	,	,	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
forth	forth	av	forth	forth	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
one	one	pi	one	one	0
would	would	vmd	would	will	0
cast	cast	vvi	cast	cast	0
water	water	n1	water	water	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
or	or	cc	or	or	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
wee	wee	pns12	we	we	0
say	say	vvb	say	say	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
light	light	vvi	light	light	0
a	a	dt	a	a	0
candle	candle	n1	candle	candle	0
at	at	p-acp	at	at	0
noone	noone	n1	noon	noon	0
day	day	n1	day	day	0
to	to	pc-acp	to	to	0
helpe	helpe	vvi	help	help	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sunne	Sunne	n1	Sun	sun	0
:	:	:	:	:	0
the	the	dt	the	the	0
light	light	n1	light	light	0
and	and	cc	and	and	0
Sun	Sun	n1	Sun	sun	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
already	already	av	already	already	0
being	being	vbg	being	be	0
so	so	av	so	so	0
bright	bright	j	bright	bright	0
and	and	cc	and	and	0
so	so	av	so	so	0
resplendent	resplendent	j	resplendent	resplendent	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
writings	writings	n2	writings	write	0
as	as	c-acp	as	as	0
be	be	vbb	be	be	0
already	already	av	already	already	0
extant	extant	j	extant	extant	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
little	little	j	little	little	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
bringing	bringing	vvg	bringing	bring	0
any	any	d	any	any	0
more	more	av-dc	more	more	0
cleer	cleer	vvi	clear	clear	0
