SHEWETH	SHEWETH	vvz	SHOWS	show	0
,	,	,	,	,	0
THat	THat	cst	THat	that	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
thankfully	thankfully	av-j	thankfully	thankful	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
the	the	dt	the	the	0
Just	Just	j	Just	just	0
and	and	cc	and	and	0
Prudent	Prudent	j	Prudent	prudent	0
Resolution	Resolution	n1	Resolution	resolution	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Honourable	Honourable	j	Honourable	honourable	0
Councel	Councel	n1	Council	council	0
,	,	,	,	,	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
pressed	pressed	vvn	pressed	press	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Declaration	Declaration	n1	Declaration	declaration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
20th	20th	ord	20th	20th	0
of	of	pp-f	of	of	0
December	December	np1	December	December	0
last	last	ord	last	last	0
past	past	vvd	passed	pass	0
;	;	;	;	;	0
And	And	cc	And	and	0
are	are	vbr	are	be	0
unshakenly	unshakenly	av-j	unshakenly	unshaken	0
Confident	Confident	j	Confident	confident	0
,	,	,	,	,	0
that	that	cst	that	that	0
that	that	d	that	that	0
God	God	np1	God	God	0
who	who	r-crq	who	who	0
put	put	vvd	put	put	0
your	your	po22	your	your	0
thoughts	thoughts	n2	thoughts	thought	0
and	and	cc	and	and	0
Councels	Councels	n2	Counsels	counsel	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Resolve	Resolve	vvb	Resolve	resolve	0
,	,	,	,	,	0
will	will	vmb	will	will	0
strengthen	strengthen	vvi	strengthen	strengthen	0
your	your	po22	your	your	0
Courage	Courage	n1	Courage	courage	0
in	in	p-acp	in	in	0
prosecuting	prosecuting	vvg	prosecuting	prosecute	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
Lawfull	Lawfull	j	Lawful	lawful	0
means	means	n2	means	mean	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
lead	lead	vvi	led	lead	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
at	at	p-acp	at	at	0
∣	∣	sy	∣	∣	0
tainment	tainment	n1	tainment	tainment	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
just	just	j	just	just	0
and	and	cc	and	and	0
necessary	necessary	j	necessary	necessary	0
end	end	n1	end	end	0
A	A	dt	A	a	0
Free	Free	j	Free	free	0
Parliament	Parliament	n1	Parliament	parliament	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
undoubted	undoubted	j	undoubted	undoubted	0
Birthright	Birthright	n1	Birthright	birthright	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Persons	Persons	n2	Persons	person	0
,	,	,	,	,	0
Estates	Estates	n2	Estates	estate	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
Liberties	Liberties	n2	Liberties	liberty	0
,	,	,	,	,	0
both	both	d	both	both	0
Religious	Religious	j	Religious	religious	0
and	and	cc	and	and	0
Civil	Civil	j	Civil	civil	0
,	,	,	,	,	0
can	can	vmb	can	can	0
never	never	av-x	never	never	0
be	be	vbi	be	be	0
preserved	preserved	vvn	preserved	preserve	0
:	:	:	:	:	0
And	And	cc	And	and	0
should	should	vmd	should	shall	0
this	this	d	this	this	0
Court	Court	n1	Court	court	0
submit	submit	vvi	submit	submit	0
themselves	themselves	px32	themselves	themselves	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
Constitution	Constitution	n1	Constitution	constitution	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
then	then	cs	then	than	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
Rightfully	Rightfully	av-j	Rightfully	rightful	0
claim	claim	vvi	claim	claim	0
the	the	dt	the	the	0
Legislative	Legislative	j	Legislative	legislative	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
acting	acting	vvg	acting	act	0
on	on	p-acp	on	on	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
Authority	Authority	n1	Authority	authority	0
in	in	p-acp	in	in	0
Assessing	Assessing	vvg	Assessing	assess	0
or	or	cc	or	or	0
Levying	Levying	vvg	Levying	levy	0
any	any	d	any	any	0
summs	summs	n2	sums	sum	0
of	of	pp-f	of	of	0
Money	Money	n1	Money	money	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
Estates	Estates	n2	Estates	estate	0
,	,	,	,	,	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
humbly	humbly	av-j	humbly	humble	0
conceive	conceive	vvi	conceive	conceive	0
that	that	cst	that	that	0
this	this	d	this	this	0
Court	Court	n1	Court	court	0
shall	shall	vmb	shall	shall	0
give	give	vvi	give	give	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Nation	Nation	n1	Nation	nation	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
very	very	av	very	very	0
sad	sad	j	sad	sad	0
Reflections	Reflections	n2	Reflections	reflection	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
defection	defection	n1	defection	defection	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
said	said	j-vvn	said	say	0
Declaration	Declaration	n1	Declaration	declaration	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
Countries	Countries	n2	Countries	country	0
and	and	cc	and	and	0
Corporations	Corporations	n2	Corporations	corporation	0
have	have	vhb	have	have	0
freely	freely	av-j	freely	free	0
concurred	concurred	vvn	concurred	concur	0
:	:	:	:	:	0
And	And	cc	And	and	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
occasion	occasion	n1	occasion	occasion	0
to	to	pc-acp	to	to	0
complain	complain	vvi	complain	complain	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
most	most	ds	most	most	0
un	un	fw-it	un	un	0
∣	∣	sy	∣	∣	0
happily	happily	av-j	happily	happy	0
been	been	vbn	been	be	0
cast	cast	vvn	cast	cast	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
world	world	n1	world	world	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Generation	Generation	n1	Generation	generation	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
at	at	p-acp	at	at	0
once	once	a-acp	once	once	0
made	made	vvd	made	make	0
a	a	dt	a	a	0
costly	costly	j	costly	costly	0
purchase	purchase	n1	purchase	purchase	0
of	of	pp-f	of	of	0
present	present	j	present	present	0
misery	misery	n1	misery	misery	0
to	to	p-acp	to	to	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
and	and	cc	and	and	0
perpetual	perpetual	j	perpetual	perpetual	0
slavery	slavery	n1	slavery	slavery	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
posterity	posterity	n1	posterity	posterity	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
humbly	humbly	av-j	humbly	humble	0
pray	pray	vvb	pray	pray	0
,	,	,	,	,	0
That	That	cst	That	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
please	please	vvi	please	please	0
this	this	d	this	this	0
Honourable	Honourable	j	Honourable	honourable	0
Court	Court	n1	Court	court	0
to	to	p-acp	to	to	0
Act	Act	n1	Act	act	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Predecessors	Predecessors	n2	Predecessors	predecessor	0
,	,	,	,	,	0
and	and	cc	and	and	0
Your	Your	po22	Your	your	0
own	own	d	own	own	0
professed	professed	j-vvn	professed	profess	0
Resolutions	Resolutions	n2	Resolutions	resolution	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Declaring	Declaring	vvg	Declaring	declare	0
to	to	p-acp	to	to	0
