AMongst	AMongst	p-acp	among	among	0
the	the	dt	the	the	0
many	many	d	many	many	0
reasons	reasons	n2	reasons	reason	0
(	(	(	(	(	0
Worshipful	Worshipful	j	Worshipful	worshipful	0
Syr	Syr	n1	Sir	sir	0
'	'	'	'	'	0
,	,	,	,	,	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
haue	haue	vhb	have	have	0
perswaded	perswaded	vvn	persuaded	persuade	0
mee	mee	pno11	me	i	0
that	that	d	that	that	0
Poperie	Poperie	n1	Popery	popery	0
cannot	cannot	vmbx	cannot	can	0
bee	bee	vbi	be	be	0
the	the	dt	the	the	0
true	true	j	true	true	0
religiō	religiō	n1	religion	religion	0
,	,	,	,	,	0
this	this	d	this	this	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
lest	lest	ds	lest	least	0
:	:	:	:	:	0
the	the	dt	the	the	0
in	in	n1	in	inn	0
∣	∣	sy	∣	∣	0
sufficiency	sufficiency	n1	sufficiency	sufficiency	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
doctrin	doctrin	n1	doctrine	doctrine	0
of	of	pp-f	of	of	0
faith	faith	n1	faith	faith	0
&	&	cc	&	and	0
repētance	repētance	n1	repentance	repentance	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
two	two	crd	two	two	0
things	things	n2	things	thing	0
though	though	c-acp	though	though	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
chiefe	chiefe	j-jn	chief	chief	0
&	&	cc	&	and	0
principal	principal	j-jn	principal	principal	0
points	points	n2	points	point	0
in	in	p-acp	in	in	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
necessarie	necessarie	j	necessary	necessary	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
,	,	,	,	,	0
both	both	d	both	both	0
knowe	knowe	vvb	know	know	0
,	,	,	,	,	0
and	and	cc	and	and	0
pra	pra	fw-it	pra	pra	0
∣	∣	sy	∣	∣	0
ctise	ctise	vvb	ctise	ctise	0
them	them	pno32	them	they	0
aright	aright	av	aright	aright	0
,	,	,	,	,	0
can	can	vmb	can	can	0
neuer	neuer	av-x	never	never	0
be	be	vbi	be	be	0
saued	saued	vvn	saved	save	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
auouch	auouch	vvi	avouch	avouch	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
and	and	cc	and	and	0
Canitius	Canitius	np1	Canitius	Canitius	0
in	in	p-acp	in	in	0
Cate	Cate	zz	Cate	cate	0
∣	∣	sy	∣	∣	0
chisme	chisme	n1	chisme	chisme	0
.	.	.	.	.	1
Costerus	Costerus	np1	Costerus	Costerus	0
in	in	p-acp	in	in	0
Enchiridio	Enchiridio	np1	Enchiridio	Enchiridio	0
.	.	.	.	.	0
repentance	repentance	n1	repentance	repentance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Romish	Romish	jp	Romish	romish	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
taught	taught	vvn	taught	teach	0
by	by	p-acp	by	by	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
best	best	js	best	best	0
approued	approued	vvn	approved	approve	0
Papists	Papists	njp2	Papists	papist	0
,	,	,	,	,	0
are	are	vbr	are	be	0
no	no	dx	no	no	0
better	better	jc	better	better	0
then	then	cs	then	than	0
such	such	d	such	such	0
a	a	dt	a	a	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
such	such	d	such	such	0
a	a	dt	a	a	0
repen	repen	vvi	repen	repen	0
∣	∣	sy	∣	∣	0
tance	tance	n1	tance	tance	0
as	as	c-acp	as	as	0
an	an	dt	and	a	0
hypocrite	hypocrite	n1	hypocrite	hypocrite	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
very	very	j	very	very	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
probate	probate	n-jn	probate	probate	0
may	may	vmb	may	may	0
attaine	attaine	vvi	attain	attain	0
vnto	vnto	p-acp	unto	unto	0
:	:	:	:	:	0
Indeed	Indeed	av	Indeed	indeed	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
insist	insist	vvi	insist	insist	0
vpon	vpon	p-acp	upon	upon	0
repentance	repentance	n1	repentance	repentance	0
onely	onely	av-j	only	only	0
(	(	(	(	(	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
many	many	d	many	many	0
faire	faire	j	fair	fair	0
florishes	florishes	n2	flourishes	flourish	0
,	,	,	,	,	0
they	they	pns32	they	they	0
call	call	vvb	call	call	0
it	it	pn31	it	it	0
penance	penance	n1	penance	penance	0
,	,	,	,	,	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
sacrament	sacrament	n1	sacrament	sacrament	0
,	,	,	,	,	0
&	&	cc	&	and	0
say	say	vvb	say	say	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
boord	boord	n1	board	board	0
that	that	cst	that	that	0
saues	saues	vvz	saves	save	0
a	a	dt	a	a	0
man	man	n1	man	man	0
after	after	p-acp	after	after	0
shipwrack	shipwrack	n1	shipwreck	shipwreck	0
,	,	,	,	,	0
and	and	cc	and	and	0
write	write	vvi	write	write	0
great	great	j	great	great	0
volumnes	volumnes	n2	volumes	volume	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
confession	confession	n1	confession	confession	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Cases	Cases	n2	Cases	case	0
of	of	pp-f	of	of	0
Corradus	Corradus	np1	Corradus	Corradus	0
.	.	.	.	.	1
Nauarrus	Nauarrus	np1	Nauarrus	Nauarrus	0
.	.	.	.	.	1
Loper	Loper	np1	Loper	Loper	0
Sai	Sai	zz	Sai	sai	0
∣	∣	sy	∣	∣	0
rus	rus	n1	rus	rus	0
.	.	.	.	.	1
Hallus	Hallus	np1	Hallus	Hallus	0
.	.	.	.	.	1
Graffius	Graffius	np1	Graffius	Graffius	0
,	,	,	,	,	0
&	&	cc	&	and	0
