SYR	SYR	n1	SYR	sir	0
,	,	,	,	,	0
Since	Since	c-acp	Since	since	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
the	the	dt	the	the	0
Ioy	Ioy	n1	Joy	joy	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
you	you	pn22	you	you	0
last	last	ord	last	last	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
looked	looked	vvn	looked	look	0
a	a	dt	a	a	0
little	little	j	little	little	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
next	next	ord	next	next	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
despay	despay	vvi	despay	despay	0
∣	∣	sy	∣	∣	0
ringthat	ringthat	av	ringthat	ringthat	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
which	which	r-crq	which	which	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
fill	fill	vvi	fill	fill	0
vp	vp	a-acp	up	up	0
that	that	d	that	that	0
place	place	n1	place	place	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
made	made	vvn	made	make	0
empty	empty	j	empty	empty	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
ABSENCE	ABSENCE	n1	ABSENCE	absence	0
.	.	.	.	.	1
And	And	cc	And	and	0
now	now	av	now	now	0
by	by	p-acp	by	by	0
chance	chance	n1	chance	chance	0
,	,	,	,	,	0
or	or	cc	or	or	0
ra	ra	zz	ra	ra	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
by	by	p-acp	by	by	0
Gods	Gods	npg1	Gods	God	0
good	good	j	good	good	0
Prouiden	Prouiden	vvi	Providen	providen	0
∣	∣	sy	∣	∣	0
ce	ce	fw-fr	ce	ce	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
met	met	vvn	met	meet	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Prospe	Prospe	n1	Prospe	prospe	0
∣	∣	sy	∣	∣	0
ctiue-Glasse	ctiue-Glasse	n1	ctiue-Glasse	ctiue-glasse	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
giues	giues	vvz	gives	give	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
Heauen	Heauen	n1	Heaven	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
Hell	Hell	n1	Hell	hell	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
very	very	j	very	very	0
expresse	expresse	j	express	express	0
&	&	cc	&	and	0
cleare	cleare	j	clear	clear	0
man	man	n1	man	man	0
∣	∣	sy	∣	∣	0
ner	ner	zz	ner	ner	0
,	,	,	,	,	0
though	though	cs	though	though	0
the	the	dt	the	the	0
Countreyes	Countreyes	n2	Countries	country	0
thēselues	thēselues	px32	themselves	themselves	0
be	be	vbi	be	be	0
far	far	av-j	far	far	0
off	off	a-acp	off	off	0
.	.	.	.	.	1
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
neuer	neuer	av-x	never	never	0
haue	haue	vhi	have	have	0
beene	beene	vbn	been	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
fit	fit	vvi	fit	fit	0
the	the	dt	the	the	0
Instrument	Instrument	n1	Instrument	instrument	0
towardes	towardes	p-acp	towards	towards	0
any	any	d	any	any	0
eye	eye	n1	eye	eye	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
finding	finding	vvg	finding	find	0
now	now	av	now	now	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
was	was	vbds	was	be	0
ready	ready	av-j	ready	ready	0
made	made	vvn	made	make	0
(	(	(	(	(	0
and	and	cc	and	and	0
that	that	cst	that	that	0
,	,	,	,	,	0
so	so	av	so	so	0
excellently	excellently	av-j	excellently	excellent	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
aduentured	aduentured	vvn	adventured	adventure	0
to	to	pc-acp	to	to	0
frame	frame	vvi	frame	frame	0
acase	acase	n1	acase	acase	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
English	English	jp	English	english	0
fashion	fashion	n1	fashion	fashion	0
.	.	.	.	.	1
The	The	dt	The	the	0
thing	thing	n1	thing	thing	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
chuse	chuse	vvi	choose	choose	0
but	but	cc-acp	but	but	0
like	like	av-j	like	like	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
excellent	excellent	j	excellent	excellent	0
;	;	;	;	;	0
