From	From	p-acp	From	from	0
our	our	po12	our	our	0
Second-Days	Second-Days	n2	Second-Days	second-day	0
Morning	Morning	n1	Morning	morning	0
Meeting	Meeting	vvg	Meeting	meet	0
in	in	p-acp	in	in	0
London	London	np1	London	London	0
,	,	,	,	,	0
the	the	dt	the	the	0
26th	26th	ord	26th	26th	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
11th	11th	ord	11th	11th	0
Month	Month	n1	Month	month	0
,	,	,	,	,	0
1690.	1690.	crd	1690.	1690.	1
DEar	DEar	av-jn	DEar	dear	0
and	and	cc	and	and	0
truly	truly	av-j	truly	true	0
beloved	beloved	j-vvn	beloved	belove	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
Brethren	Brethren	n2	Brothers	brethren	0
and	and	cc	and	and	0
Sisters	Sisters	n2	Sisters	sister	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
our	our	po12	our	our	0
Blessed	Blessed	j-vvn	Blessed	bless	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Saviour	Saviour	n1	Saviour	saviour	0
,	,	,	,	,	0
we	we	pns12	we	we	0
sincerely	sincerely	av-j	sincerely	sincere	0
and	and	cc	and	and	0
ten	ten	crd	ten	ten	0
∣	∣	sy	∣	∣	0
derly	derly	av-j	derly	der	0
salute	salute	vvb	salute	salute	0
you	you	pn22	you	you	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
free	free	j	free	free	0
and	and	cc	and	and	0
tender	tender	j	tender	tender	0
Love	Love	n1	Love	love	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
graciously	graciously	av-j	graciously	gracious	0
visited	visited	vvn	visited	visit	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
largely	largely	av-j	largely	large	0
shed	shed	vvi	shed	shed	0
it	it	pn31	it	it	0
abroad	abroad	av	abroad	abroad	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Hearts	Hearts	n2	Hearts	heart	0
and	and	cc	and	and	0
Souls	Souls	n2	Souls	soul	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
own	own	d	own	own	0
unspeakable	unspeakable	j	unspeakable	unspeakable	0
Comfort	Comfort	n1	Comfort	comfort	0
and	and	cc	and	and	0
Consolation	Consolation	n1	Consolation	consolation	0
,	,	,	,	,	0
and	and	cc	and	and	0
towards	towards	p-acp	towards	towards	0
his	his	po31	his	his	0
whole	whole	j-jn	whole	whole	0
Heritage	Heritage	n1	Heritage	heritage	0
,	,	,	,	,	0
and	and	cc	and	and	0
Royal	Royal	j	Royal	royal	0
Off-spring	Off-spring	n1	Offspring	offspring	0
;	;	;	;	;	0
blessed	blessed	vvn	blessed	bless	0
be	be	vbb	be	be	0
his	his	po31	his	his	0
pure	pure	j	pure	pure	0
and	and	cc	and	and	0
powerful	powerful	j	powerful	powerful	0
Name	Name	n1	Name	name	0
for	for	c-acp	for	for	0
Evermore	Evermore	av	Evermore	evermore	0
.	.	.	.	.	1
And	And	cc	And	and	0
our	our	po12	our	our	0
Souls	Souls	n2	Souls	soul	0
do	do	vdb	do	do	0
truly	truly	av-j	truly	true	0
and	and	cc	and	and	0
fervently	fervently	av-j	fervently	fervent	0
desire	desire	vvi	desire	desire	0
,	,	,	,	,	0
and	and	cc	and	and	0
breathe	breathe	vvi	breathe	breathe	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
our	our	po12	our	our	0
Mer	Mer	n1	Mere	mere	0
∣	∣	sy	∣	∣	0
cies	cies	n2	cies	eye	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
all	all	d	all	all	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
preserved	preserved	vvn	preserved	preserve	0
,	,	,	,	,	0
and	and	cc	and	and	0
kept	kept	vvd	kept	keep	0
truly	truly	av-j	truly	true	0
faithful	faithful	j	faithful	faithful	0
and	and	cc	and	and	0
diligent	diligent	j	diligent	diligent	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Work	Work	n1	Work	work	0
and	and	cc	and	and	0
Service	Service	n1	Service	service	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
Cal	Cal	vvb	Call	call	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
and	and	cc	and	and	0
Endowments	Endowments	n2	Endowments	endowment	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
Light	Light	n1	Light	light	0
,	,	,	,	,	0
