Worshipful	Worshipful	j	Worshipful	worshipful	0
and	and	cc	and	and	0
Right	Right	j-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
made	made	vvn	made	make	0
bold	bold	j	bold	bold	0
here	here	av	here	here	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Discourse	Discourse	n1	Discourse	discourse	0
of	of	pp-f	of	of	0
Death	Death	n1	Death	death	0
,	,	,	,	,	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Discourse	Discourse	n1	Discourse	discourse	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
self	self	n1	self	self	0
concerning	concerning	vvg	concerning	concern	0
Death	Death	n1	Death	death	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
ignorant	ignorant	j	ignorant	ignorant	0
that	that	cst	that	that	0
'tis	'tis	pn31|vbz	it's	it|be	0
an	an	dt	and	a	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
pleasing	pleasing	vvg	pleasing	please	0
Theam	Theam	n1	Theam	theme	0
to	to	pc-acp	to	to	0
declaim	declaim	vvi	declaim	declaim	0
upon	upon	p-acp	upon	upon	0
before	before	p-acp	before	before	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
ones	ones	pi2	ones	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
times	times	n2	times	time	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
fear	fear	vvb	fear	fear	0
Death	Death	n1	Death	death	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
Hell	Hell	n1	Hell	hell	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
believing	believing	vvg	believing	believe	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
Reality	Reality	n1	Reality	reality	0
;	;	;	;	;	0
when	when	c-crq	when	when	0
God	God	np1	God	God	0
and	and	cc	and	and	0
Devil	Devil	n1	Devil	devil	0
,	,	,	,	,	0
Heaven	Heaven	n1	Heaven	heaven	0
and	and	cc	and	and	0
Hell	Hell	n1	Hell	hell	0
,	,	,	,	,	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
believe	believe	vvi	believe	believe	0
are	are	vbr	are	be	0
Fictions	Fictions	n2	Fictions	fiction	0
:	:	:	:	:	0
The	The	dt	The	the	0
apprehension	apprehension	n1	apprehension	apprehension	0
of	of	pp-f	of	of	0
Death	Death	n1	Death	death	0
puts	puts	vvz	puts	put	0
them	them	pno32	them	they	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
cold	cold	j-jn	cold	cold	0
sweat	sweat	n1	sweat	sweat	0
;	;	;	;	;	0
it	it	pn31	it	it	0
makes	makes	vvz	makes	make	0
them	them	pno32	them	they	0
tremble	tremble	vvi	tremble	tremble	0
,	,	,	,	,	0
not	not	xx	not	not	0
much	much	d	much	much	0
unlike	unlike	j	unlike	unlike	0
to	to	p-acp	to	to	0
Belshazzars	Belshazzars	n2	Belshazzars	belshazzar	0
hand-writing	hand-writing	n1	handwriting	hand-writing	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
wall	wall	n1	wall	wall	0
;	;	;	;	;	0
Dan.	Dan.	np1	Dan.	Dan.	1
5.5	5.5	crd	5.5	5.5	0
,	,	,	,	,	0
6.	6.	crd	6.	6.	1
Mat.	Mat.	np1	Mat.	Mat	0
8.29	8.29	crd	8.29	8.29	0
.	.	.	.	.	0
and	and	cc	and	and	0
whosoever	whosoever	r-crq	whosoever	whosoever	0
minds	minds	vvz	minds	mind	0
them	them	pno32	them	they	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
but	but	p-acp	but	but	0
torment	torment	vvi	torment	torment	0
them	them	pno32	them	they	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
time	time	n1	time	time	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
wink	wink	vvi	wink	wink	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
conceit	conceit	n1	conceit	conceit	0
Death	Death	n1	Death	death	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
see	see	vvi	see	see	0
them	them	pno32	them	they	0
,	,	,	,	,	0
will	will	vmb	will	will	0
ere	ere	p-acp	ere	ere	0
long	long	av-j	long	long	0
find	find	vvi	find	find	0
their	their	po32	their	their	0
mistake	mistake	n1	mistake	mistake	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
had	had	vhd	had	have	0
I	I	pns11	I	i	0
imagined	imagined	vvn	imagined	imagine	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Gang	Gang	n1	Gang	gang	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
have	have	vhi	have	have	0
prefixt	prefixt	vvn	prefixed	prefix	0
