RIghte	RIghte	av-jn	Right	right	0
honorable	honorable	j	honourable	honourable	0
and	and	cc	and	and	0
my	my	po11	my	my	0
singular	singular	j	singular	singular	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
vvhen	vvhen	c-crq	when	when	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
often	often	av	often	often	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
peated	peated	vvn	peated	peat	0
and	and	cc	and	and	0
called	called	vvn	called	call	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
remembraunce	remembraunce	n1	remembrance	remembrance	0
the	the	dt	the	the	0
opinion	opinion	n1	opinion	opinion	0
and	and	cc	and	and	0
sayings	sayings	n2-vvg	sayings	say	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sage	sage	j-jn	sage	sage	0
and	and	cc	and	and	0
auncient	auncient	j-jn	ancient	ancient	0
VVriters	VVriters	n2	VVriters	writer	0
,	,	,	,	,	0
that	that	cst	that	that	0
one	one	pi	one	one	0
man	man	n1	man	man	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
an	an	dt	and	a	0
instructer	instructer	n1	instructer	instructer	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
seeking	seeking	vvg	seeking	seek	0
and	and	cc	and	and	0
paynes	paynes	n2	pains	pain	0
ta	ta	dt	ta	a	0
∣	∣	sy	∣	∣	0
king	king	n1	king	king	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
them	them	pno32	them	they	0
good	good	j	good	good	0
:	:	:	:	:	0
so	so	av	so	so	0
at	at	p-acp	at	at	0
sundry	sundry	j	sundry	sundry	0
times	times	n2	times	time	0
haue	haue	vhb	have	have	0
I	I	pns11	I	i	0
stu	stu	fw-ge	stu	stu	0
∣	∣	sy	∣	∣	0
died	died	vvd	died	die	0
and	and	cc	and	and	0
deuised	deuised	vvn	devised	devise	0
vvith	vvith	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
vvhat	vvhat	r-crq	what	what	0
thing	thing	n1	thing	thing	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
in	in	p-acp	in	in	0
nde	nde	n1	nde	nde	0
that	that	cst	that	that	0
might	might	vmd	might	may	0
most	most	av-ds	most	most	0
profite	profite	vvi	profit	profit	0
my	my	po11	my	my	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
countrey	countrey	n1	country	country	0
:	:	:	:	:	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
length	length	n1	length	length	0
it	it	pn31	it	it	0
came	came	vvd	came	come	0
vnto	vnto	p-acp	unto	unto	0
my	my	po11	my	my	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
membrance	membrance	n1	membrance	membrance	0
hovv	hovv	c-crq	how	how	0
necessarie	necessarie	j	necessary	necessary	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
it	it	pn31	it	it	0
vvas	vvas	vbds	was	be	0
for	for	p-acp	for	for	0
Seafa	Seafa	np1	Seafa	Seafa	0
∣	∣	sy	∣	∣	0
ring	ring	n1	ring	ring	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
some	some	d	some	some	0
good	good	j	good	good	0
instructions	instructions	n2	instructions	instruction	0
,	,	,	,	,	0
vvhervpon	vvhervpon	c-crq	whereupon	whereupon	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
vvritten	vvritten	vvn	written	write	0
this	this	d	this	this	0
base	base	j	base	base	0
and	and	cc	and	and	0
simple	simple	j	simple	simple	0
Regiment	Regiment	n1	Regiment	regiment	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
and	and	cc	and	and	0
Rules	Rules	n2	Rules	rule	0
of	of	pp-f	of	of	0
Nauigation	Nauigation	n1	Navigation	navigation	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
knovve	knovve	vvb	know	know	0
