May	May	vmb	May	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
IF	IF	cs	IF	if	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
present	present	j	present	present	0
Service	Service	n1	Service	service	0
was	was	vbds	was	be	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
Favour	Favour	n1	Favour	favour	0
laid	laid	vvn	laid	lay	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
most	most	av-ds	most	most	0
Reve	Reve	np1	Reve	Reve	0
∣	∣	sy	∣	∣	0
rend	rend	vvb	rend	rend	0
Person	Person	n1	Person	person	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
ow	ow	vvi	owe	owe	0
Canonical	Canonical	j	Canonical	canonical	0
Obedience	Obedience	n1	Obedience	obedience	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
a	a	dt	a	a	0
free	free	j	free	free	0
disposal	disposal	n1	disposal	disposal	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Con	Con	np1	Con	Con	0
∣	∣	sy	∣	∣	0
cernments	cernments	n2	cernments	cernment	0
,	,	,	,	,	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
without	without	p-acp	without	without	0
fear	fear	n1	fear	fear	0
address	address	vvi	address	address	0
my	my	po11	my	my	0
self	self	n1	self	self	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Undertaking	Undertaking	n-vvg	Undertaking	undertake	0
;	;	;	;	;	0
and	and	cc	and	and	0
if	if	cs	if	if	0
now	now	av	now	now	0
I	I	pns11	I	i	0
make	make	vvb	make	make	0
my	my	po11	my	my	0
humble	humble	j	humble	humble	0
approach	approach	n1	approach	approach	0
into	into	p-acp	into	into	0
Your	Your	po22	Your	your	0
Presence	Presence	n1	Presence	presence	0
with	with	p-acp	with	with	0
Diffidence	Diffidence	n1	Diffidence	diffidence	0
,	,	,	,	,	0
and	and	cc	and	and	0
Trembling	Trembling	vvg	Trembling	tremble	0
,	,	,	,	,	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
those	those	d	those	those	0
Tokens	Tokens	n2	Tokens	token	0
of	of	pp-f	of	of	0
Ioy	Ioy	n1	Joy	joy	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
agreeable	agreeable	j	agreeable	agreeable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Honour	Honour	n1	Honour	honour	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
received	received	vvn	received	receive	0
in	in	p-acp	in	in	0
being	being	vbg	being	be	0
by	by	p-acp	by	by	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
encou	encou	fw-fr	encou	encou	0
∣	∣	sy	∣	∣	0
raged	raged	vvd	raged	rage	0
to	to	p-acp	to	to	0
make	make	vvi	make	make	0
this	this	d	this	this	0
Offering	Offering	vvg	Offering	offer	0
:	:	:	:	:	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
(	(	(	(	(	0
being	being	vbg	being	be	0
as	as	p-acp	as	as	0
an	an	dt	and	a	0
Angel	Angel	n1	Angel	angel	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
)	)	)	)	)	0
will	will	vmb	will	will	0
graciously	graciously	av-j	graciously	gracious	0
be	be	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
discern	discern	vvi	discern	discern	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
Aversness	Aversness	n1	Averseness	averseness	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
service	service	n1	service	service	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
Nor	Nor	ccx	Nor	nor	0
apprehension	apprehension	n1	apprehension	apprehension	0
of	of	pp-f	of	of	0
Dif	Dif	np1	Dif	Dif	0
∣	∣	sy	∣	∣	0
ficulty	ficulty	n1	ficulty	ficulty	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
