AMong	AMong	p-acp	AMong	among	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
holy	holy	j	holy	holy	0
and	and	cc	and	and	0
wise	wise	j	wise	wise	0
Prouerbes	Prouerbes	n2	Proverbs	proverb	0
of	of	pp-f	of	of	0
king	king	n1	king	king	0
Salomon	Salomon	np1	Salomon	Salomon	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
both	both	av-d	both	both	0
for	for	p-acp	for	for	0
godly	godly	j	godly	godly	0
policie	policie	n1	policy	policy	0
,	,	,	,	,	0
and	and	cc	and	and	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
so	so	av	so	so	0
for	for	p-acp	for	for	0
purity	purity	n1	purity	purity	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
may	may	vmb	may	may	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thily	thily	av-j-u	thily	thily	0
be	be	vbi	be	be	0
esteemed	esteemed	vvn	esteemed	esteem	0
the	the	dt	the	the	0
wisest	wisest	js	wisest	wise	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
kings	kings	n2	kings	king	0
,	,	,	,	,	0
all	all	d	all	all	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
vpright	vpright	av-j	upright	upright	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
and	and	cc	and	and	0
sinceritie	sinceritie	n1	sincerity	sincerity	0
:	:	:	:	:	0
these	these	d	these	these	0
senten	senten	j	senten	senten	0
∣	∣	sy	∣	∣	0
ces	ces	fw-fr	ces	ces	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Honorable	Honorable	j	Honourable	honourable	0
)	)	)	)	)	0
are	are	vbr	are	be	0
expresly	expresly	av-j	expressly	express	0
commēded	commēded	vvn	commended	commend	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
holy	holy	j	holy	holy	0
Spi	Spi	np1	Spi	Spi	0
∣	∣	sy	∣	∣	0
rit	rit	n1	rit	rit	0
of	of	pp-f	of	of	0
wisedome	wisedome	n1	wisdom	wisdom	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
belong	belong	vvi	belong	belong	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
;	;	;	;	;	0
yea	yea	uh	yea	yea	0
euen	euen	av	even	even	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
who	who	r-crq	who	who	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
most	most	av-ds	most	most	0
wise	wise	j	wise	wise	0
aboue	aboue	p-acp	above	above	0
all	all	d	all	all	0
other	other	n-jn	other	other	0
;	;	;	;	;	0
to	to	p-acp	to	to	0
wit	wit	n1	wit	wit	0
,	,	,	,	,	0
the	the	dt	the	the	0
Princes	Princes	n2	Princes	prince	0
,	,	,	,	,	0
Iudges	Iudges	n2	Judges	judge	0
and	and	cc	and	and	0
Rulers	Rulers	n2	Rulers	ruler	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
good	good	j	good	good	0
(	(	(	(	(	0
saith	saith	vvz	says	say	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
king	king	n1	king	king	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
regard	regard	vvi	regard	regard	0
the	the	dt	the	the	0
face	face	n1	face	face	0
(	(	(	(	(	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
person	person	n1	person	person	0
of	of	pp-f	of	of	0
