AS	AS	p-acp	AS	as	0
in	in	p-acp	in	in	0
obedience	obedience	n1	obedience	obedience	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
fa	fa	fw-it	fa	fa	0
∣	∣	sy	∣	∣	0
vourable	vourable	j	vourable	vourable	0
invitation	invitation	n1	invitation	invitation	0
,	,	,	,	,	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
preached	preached	vvn	preached	preach	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
author	author	n1	author	author	0
conscious	conscious	j	conscious	conscious	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
great	great	j	great	great	0
unworthiness	unworthiness	n1	unworthiness	unworthiness	0
,	,	,	,	,	0
employed	employed	vvn	employed	employ	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
honourable	honourable	j	honourable	honourable	0
a	a	dt	a	a	0
work	work	n1	work	work	0
;	;	;	;	;	0
so	so	av	so	so	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
your	your	po22	your	your	0
pleasure	pleasure	n1	pleasure	pleasure	0
(	(	(	(	(	0
against	against	p-acp	against	against	0
which	which	r-crq	which	which	0
my	my	po11	my	my	0
judgement	judgement	n1	judgement	judgement	0
must	must	vmb	must	must	0
not	not	xx	not	not	0
here	here	av	here	here	0
contest	contest	vvi	contest	contest	0
)	)	)	)	)	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
thus	thus	av	thus	thus	0
exposed	exposed	vvn	exposed	expose	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
publick	publick	j	public	public	0
view	view	n1	view	view	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
confess	confess	vvb	confess	confess	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
engage	engage	vvi	engage	engage	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
patro	patro	n1	patron	patron	0
∣	∣	sy	∣	∣	0
nage	nage	n1	nage	nage	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
crudities	crudities	n2	crudities	crudity	0
and	and	cc	and	and	0
imperfe	imperfe	n1	imperfe	imperfe	0
∣	∣	sy	∣	∣	0
ctions	ctions	n2	ctions	ction	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
hasty	hasty	j	hasty	hasty	0
work	work	n1	work	work	0
;	;	;	;	;	0
It	It	pn31	It	it	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
)	)	)	)	)	0
that	that	cst	that	that	0
so	so	av	so	so	0
far	far	av-j	far	far	0
prevailed	prevailed	vvn	prevailed	prevail	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
acceptance	acceptance	n1	acceptance	acceptance	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
cure	cure	n1	cure	cure	0
your	your	po22	your	your	0
pardon	pardon	n1	pardon	pardon	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
too	too	av	too	too	0
much	much	av-d	much	much	0
my	my	po11	my	my	0
own	own	d	own	own	0
.	.	.	.	.	1
Rejoycing	Rejoycing	vvg	Rejoicing	rejoice	0
is	is	vbz	is	be	0
so	so	av	so	so	0
highly	highly	av-j	highly	high	0
valued	valued	vvn	valued	value	0
even	even	av	even	even	0
by	by	p-acp	by	by	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
necessity	necessity	n1	necessity	necessity	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
help	help	vvi	help	help	0
to	to	pc-acp	to	to	0
rectifie	rectifie	vvi	rectify	rectify	0
and	and	cc	and	and	0
