CVstome	CVstome	n1	CVstome	cvstome	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
with	with	p-acp	with	with	0
vs	vs	pno12	us	we	0
is	is	vbz	is	be	0
another	another	j-jn	another	another	0
na	na	fw-la	na	na	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
euermore	euermore	av	evermore	evermore	0
claymed	claymed	vvd	claimed	claim	0
by	by	p-acp	by	by	0
Pre	Pre	np1	Pre	Pre	0
∣	∣	sy	∣	∣	0
scription	scription	n1	scription	scription	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
)	)	)	)	)	0
that	that	cst	that	that	0
such	such	d	such	such	0
Bookes	Bookes	n2	Books	book	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
publikely	publikely	av-j	publicly	public	0
committed	committed	vvn	committed	commit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Presse	Presse	vvb	Press	press	0
,	,	,	,	,	0
whither	whither	c-crq	whither	whither	0
they	they	pns32	they	they	0
bee	bee	vbb	be	be	0
small	small	j	small	small	0
or	or	cc	or	or	0
great	great	j	great	great	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
sent	sent	vvn	sent	send	0
abroad	abroad	av	abroad	abroad	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
open	open	j	open	open	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
Epistle	Epistle	n1	Epistle	epistle	0
Dedicatorie	Dedicatorie	j	Dedicatory	dedicatory	0
going	going	vvg	going	go	0
before	before	p-acp	before	before	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
then	then	av	then	then	0
bee	bee	vbi	be	be	0
questioned	questioned	vvn	questioned	question	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Readers	Readers	n2	Readers	reader	0
,	,	,	,	,	0
whither	whither	c-crq	whither	whither	0
that	that	d	that	that	0
the	the	dt	the	the	0
Authors	Authors	n2	Authors	author	0
and	and	cc	and	and	0
Writers	Writers	n2	Writers	writer	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
Works	Works	vvz	Works	work	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
any	any	d	any	any	0
worthy	worthy	j	worthy	worthy	0
good	good	j	good	good	0
Friends	Friends	n2	Friends	friend	0
abroad	abroad	av	abroad	abroad	0
:	:	:	:	:	0
or	or	cc	or	or	0
else	else	av	else	else	0
,	,	,	,	,	0
whither	whither	c-crq	whither	whither	0
that	that	d	that	that	0
the	the	dt	the	the	0
Workes	Workes	vvz	Works	work	0
themselues	themselues	px32	themselves	themselves	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
thought	thought	vvn	thought	think	0
well	well	av	well	well	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
tronage	tronage	n1	tronage	tronage	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
due	due	j-jn	due	due	0
regard	regard	n1	regard	regard	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
here	here	av	here	here	0
in	in	p-acp	in	in	0
bent	bent	n1	bent	bent	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
to	to	pc-acp	to	to	0
tread	tread	vvi	tread	tread	0
the	the	dt	the	the	0
common	common	j	common	common	0
path	path	n1	path	path	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
present	present	n1	present	present	0
to	to	pc-acp	to	to	0
vsher	vsher	vvi	usher	usher	0
forth	forth	av	forth	forth	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Vineyard	Vineyard	n1	Vineyard	vineyard	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
these	these	d	these	these	0
first	first	ord	first	first	0
Fruits	Fruits	n2	Fruits	fruit	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
imprinted	imprinted	vvd	imprinted	imprint	0
labours	labours	n2	labours	labour	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
publike	publike	j	public	public	0
Ministerie	Ministerie	n1	Ministry	ministry	0
,	,	,	,	,	0
vnder	vnder	p-acp	under	under	0
both	both	d	both	both	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
most	most	av-ds	most	most	0
worthy	worthy	j	worthy	worthy	0
Patronage	Patronage	n1	Patronage	patronage	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
now	now	av	now	now	0
but	but	cc-acp	but	but	0
one	one	crd	one	one	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
.	.	.	.	.	0
)	)	)	)	)	1
Most	Most	av-ds	Most	most	0
humbly	humbly	av-j	humbly	humble	0
crauing	crauing	vvg	craving	crave	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
uourable	uourable	j	uourable	uourable	0
acceptance	acceptance	n1	acceptance	acceptance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fame	fame	n1	fame	fame	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
our	our	po12	our	our	0
Sauiour	Sauiour	n1	Saviour	saviour	0
once	once	a-acp	once	once	0
did	did	vdd	did	do	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
poore	poore	j	poor	poor	0
Widdowes	Widdowes	ng1	Widow's	widow	0
Farthing	Farthing	n1	Farthing	farthing	0
.	.	.	.	.	1
And	And	cc	And	and	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
most	most	av-ds	most	most	0
truly	truly	av-j	truly	true	0
confesse	confesse	vvi	confess	confess	0
and	and	cc	and	and	0
say	say	vvi	say	say	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
words	words	n2	words	word	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selues	selues	n2	selves	self	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Centurion	Centurion	n1	Centurion	centurion	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
Mat.	Mat.	np1	Mat.	Mat	1
8.8	8.8	crd	8.8	8.8	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
graced	graced	vvn	graced	grace	0
here	here	av	here	here	0
in	in	p-acp	in	in	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
greatnesse	greatnesse	n1	greatness	greatness	0
(	(	(	(	(	0
knowing	knowing	vvg	knowing	know	0
right	right	av-jn	right	right	0
well	well	av	well	well	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
vnworthi	vnworthi	j	unworthy	unworthy	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
very	very	j	very	very	0
little	little	j	little	little	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
and	and	cc	and	and	0
argument	argument	n1	argument	argument	0
it	it	pn31	it	it	0
