NAoman	NAoman	n1	NAoman	naoman	0
,	,	,	,	,	0
Captaine	Captaine	n1	Captain	captain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
hoast	hoast	n1	host	host	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Syria	Syria	np1	Syria	Syria	0
,	,	,	,	,	0
(	(	(	(	(	0
Right	Right	av-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
)	)	)	)	)	0
a	a	dt	a	a	0
great	great	j	great	great	0
man	man	n1	man	man	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
and	and	cc	and	and	0
Hono	Hono	fw-la	Hono	hono	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
,	,	,	,	,	0
hearkening	hearkening	vvg	harkening	harken	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
little	little	j	little	little	0
captiue	captiue	j-jn	captive	captive	0
maid	maid	n1	maid	maid	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Is	Is	vbz	Is	be	0
∣	∣	sy	∣	∣	0
rael	rael	uh-av	rael	rael	0
,	,	,	,	,	0
obtained	obtained	vvd	obtained	obtain	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
cure	cure	n1	cure	cure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
leprosie	leprosie	n1	leprosy	leprosy	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
bodie	bodie	n1	body	body	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
soule	soule	n1	soul	soul	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
confesse	confesse	vvi	confess	confess	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
onelie	onelie	j	only	only	0
true	true	j	true	true	0
God	God	np1	God	God	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
required	required	vvd	required	require	0
two	two	crd	two	two	0
mules	mules	n2	mules	mule	0
burthē	burthē	n1	burden	burden	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
