SIRS	SIRS	np1	SIRS	Sirs	0
,	,	,	,	,	0
YOu	YOu	pn22	YOu	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
men	men	n2	men	man	0
that	that	cst	that	that	0
stand	stand	vvb	stand	stand	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
assuming	assuming	vvg	assuming	assume	0
the	the	dt	the	the	0
power	power	n1	power	power	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
to	to	pc-acp	to	to	0
teach	teach	vvi	teach	teach	0
the	the	dt	the	the	0
People	People	n1	People	people	0
the	the	dt	the	the	0
mystery	mystery	n1	mystery	mystery	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
men	men	n2	men	man	0
sent	sent	vvn	sent	send	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
office	office	n1	office	office	0
:	:	:	:	:	0
therefore	therefore	av	therefore	therefore	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
called	called	vvn	called	call	0
spiritu	spiritu	fw-la	spiritu	spiritu	0
∣	∣	sy	∣	∣	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
or	or	cc	or	or	0
men	men	n2	men	man	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
all	all	d	all	all	0
spirit	spirit	n1	spirit	spirit	0
.	.	.	.	.	1
Many	Many	av-d	Many	many	0
differences	differences	n2	differences	difference	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
about	about	a-acp	about	about	0
spi	spi	vvb	spi	spi	0
∣	∣	sy	∣	∣	0
rituall	rituall	j	ritual	ritual	0
things	things	n2	things	thing	0
,	,	,	,	,	0
arises	arises	vvz	arises	arise	0
up	up	a-acp	up	up	0
daily	daily	av-j	daily	daily	0
