LOud	LOud	j	LOud	loud	0
and	and	cc	and	and	0
piercing	piercing	vvg	piercing	pierce	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
cryes	cryes	n2	cries	cry	0
and	and	cc	and	and	0
groanes	groanes	vvz	groans	groan	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
burden	burden	n1	burden	burden	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
pressures	pressures	n2	pressures	pressure	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
brought	brought	vvn	brought	bring	0
upon	upon	p-acp	upon	upon	0
his	his	po31	his	his	0
people	people	n1	people	people	0
:	:	:	:	:	0
The	The	dt	The	the	0
yoke	yoke	n1	yoke	yoke	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
transgression	transgression	n1	transgression	transgression	0
is	is	vbz	is	be	0
bound	bound	vvn	bound	bind	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
wrea	wrea	fw-la	wrea	wrea	0
∣	∣	sy	∣	∣	0
thed	thed	zz	thed	thed	0
,	,	,	,	,	0
and	and	cc	and	and	0
come	come	vvb	come	come	0
upon	upon	p-acp	upon	upon	0
their	their	po32	their	their	0
neck	neck	n1	neck	neck	0
:	:	:	:	:	0
These	These	d	These	these	0
need	need	vvb	need	need	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
presented	presented	vvn	presented	present	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
eyes	eyes	n2	eyes	eye	0
or	or	cc	or	or	0
eares	eares	n2	ears	ear	0
.	.	.	.	.	1
The	The	dt	The	the	0
frequent	frequent	j	frequent	frequent	0
changes	changes	n2	changes	change	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
seen	seen	vvn	seen	see	0
,	,	,	,	,	0
and	and	cc	and	and	0
visits	visits	n2	visits	visit	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
skilfull	skilfull	j	skilful	skilful	0
to	to	pc-acp	to	to	0
destroy	destroy	vvi	destroy	destroy	0
,	,	,	,	,	0
have	have	vhb	have	have	0
given	given	vvn	given	give	0
you	you	pn22	you	you	0
abundant	abundant	j	abundant	abundant	0
and	and	cc	and	and	0
wofull	wofull	j	woeful	woeful	0
experience	experience	n1	experience	experience	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
account	account	vvb	account	account	0
it	it	pn31	it	it	0
among	among	p-acp	among	among	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
mighty	mighty	j	mighty	mighty	0
works	works	n2	works	work	0
that	that	cst	that	that	0
your	your	po22	your	your	0
sorrowes	sorrowes	n2	sorrows	sorrow	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
over-ruling	over-ruling	j	overruling	over-ruling	0
provi	provi	fw-la	provi	provi	0
∣	∣	sy	∣	∣	0
dence	dence	n1	dence	dence	0
,	,	,	,	,	0
are	are	vbr	are	be	0
so	so	av	so	so	0
stinted	stinted	vvd	stinted	stint	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
rage	rage	n1	rage	rage	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
brought	brought	vvn	brought	bring	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
height	height	n1	height	height	0
:	:	:	:	:	0
While	While	cs	While	while	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
tasted	tasted	vvn	tasted	taste	0
of	of	pp-f	of	of	0
Justice	Justice	n1	Justice	justice	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
shut	shut	vvn	shut	shut	0
out	out	av	out	out	0
from	from	p-acp	from	from	0
mercy	mercy	n1	mercy	mercy	0
and	and	cc	and	and	0
compassion	compassion	n1	compassion	compassion	0
:	:	:	:	:	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
speake	speake	vvi	speak	speak	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
held	held	vvn	held	hold	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
dutie	dutie	n1	duty	duty	0
to	to	pc-acp	to	to	0
speake	speake	vvi	speak	speak	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
:	:	:	:	:	0
In	In	p-acp	In	in	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
Ier.	Ier.	np1	Ier.	Ier.	1
18.20	18.20	crd	18.20	18.20	0
.	.	.	.	.	0
this	this	d	this	this	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
our	our	po12	our	our	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
That	That	cst	That	that	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
hosts	hosts	n2	hosts	host	0
is	is	vbz	is	be	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
46.11	46.11	crd	46.11	46.11	0
.	.	.	.	.	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Jacob	Jacob	np1	Jacob	Jacob	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
refuge	refuge	n1	refuge	refuge	0
.	.	.	.	.	1
Having	Having	np1	Having	Having	0
a	a	dt	a	a	0
Covenant	Covenant	n1	Covenant	covenant	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
to	to	pc-acp	to	to	0
plead	plead	vvi	plead	plead	0
,	,	,	,	,	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
as	as	p-acp	as	as	0
Israel	Israel	np1	Israel	Israel	0
of	of	pp-f	of	of	0
old	old	j	old	old	0
,	,	,	,	,	0
See	See	vvb	See	see	0
we	we	pns12	we	we	0
beseech	beseech	vvb	beseech	beseech	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
all	all	d	all	all	0
thy	thy	po21	thy	thy	0
people	people	n1	people	people	0
.	.	.	.	.	1
Isai.	Isai.	np1	Isai.	Isai.	0
64.9	64.9	crd	64.9	64.9	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
posteritie	posteritie	n1	posterity	posterity	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
least	least	ds	least	least	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
care	care	n1	care	care	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
seek	seek	vvi	seek	seek	0
a	a	dt	a	a	0
right	right	j-jn	right	right	0
way	way	n1	way	way	0
,	,	,	,	,	0
Ezra	Ezra	np1	Ezra	Ezra	0
8.21	8.21	crd	8.21	8.21	0
.	.	.	.	.	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
so	so	av	so	so	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
little	little	j	little	little	0
ones	ones	pi2	ones	one	0
,	,	,	,	,	0
that	that	d	that	that	0
a	a	dt	a	a	0
generation	generation	n1	generation	generation	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
102.18	102.18	crd	102.18	102.18	0
.	.	.	.	.	1
a	a	dt	a	a	0
people	people	n1	people	people	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
created	created	vvn	created	create	0
may	may	vmb	may	may	0
praise	praise	vvi	praise	praise	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
:	:	:	:	:	0
So	So	av	So	so	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
comforts	comforts	n2	comforts	comfort	0
,	,	,	,	,	0
that	that	cst	that	that	0
posteritie	posteritie	n1	posterity	posterity	0
,	,	,	,	,	0
our	our	po12	our	our	0
little	little	j	little	little	0
ones	ones	pi2	ones	one	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
born	born	vvn	born	bear	0
,	,	,	,	,	0
are	are	vbr	are	be	0
bound	bound	vvn	bound	bind	0
up	up	a-acp	up	up	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
promise	promise	n1	promise	promise	0
,	,	,	,	,	0
And	And	cc	And	and	0
that	that	cst	that	that	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
plea	plea	n1	plea	plea	0
,	,	,	,	,	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
seek	seek	vvi	seek	seek	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Throne	Throne	n1	Throne	throne	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
more	more	dc	more	more	0
then	then	cs	then	than	0
one	one	crd	one	one	0
age	age	n1	age	age	0
at	at	p-acp	at	at	0
once	once	a-acp	once	once	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
God	God	np1	God	God	0
had	had	vhd	had	have	0
spoke	spoke	vvn	spoke	speak	0
to	to	p-acp	to	to	0
David	David	np1	David	David	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
house	house	n1	house	house	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
great	great	j	great	great	0
while	while	n1	while	while	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
revealing	revealing	vvg	revealing	reveal	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
build	build	vvi	built	build	0
him	him	pno31	him	he	0
an	an	dt	and	a	0
house	house	n1	house	house	0
;	;	;	;	;	0
2	2	crd	2	2	0
Sam.	Sam.	np1	Sam.	Sam	1
7.19	7.19	crd	7.19	7.19	0
,	,	,	,	,	0
27.	27.	crd	27.	27.	1
Therefore	Therefore	av	Therefore	therefore	0
hath	hath	vhz	hath	have	0
thy	thy	po21	thy	thy	0
servant	servant	n1	servant	servant	0
(	(	(	(	(	0
saith	saith	vvz	says	say	0
he	he	pns31	he	he	0
)	)	)	)	)	0
found	found	vvd	found	find	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
