REuerend	REuerend	n-jn	REuerend	reuerend	0
Fathers	Fathers	n2	Father's	father	0
,	,	,	,	,	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
seeme	seeme	vvi	seem	seem	0
perhaps	perhaps	av	perhaps	perhaps	0
some	some	d	some	some	0
presumptiō	presumptiō	n1	presumption	presumption	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
thus	thus	av	thus	thus	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
your	your	po22	your	your	0
LL.	LL.	np1	LL.	Ll.	0
names	names	n2	names	name	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
counte	counte	vvb	count	count	0
∣	∣	sy	∣	∣	0
nancing	nancing	vvg	nancing	nance	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Pamphlet	Pamphlet	n1	Pamphlet	pamphlet	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
neither	neither	av-dx	neither	neither	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
occasion	occasion	n1	occasion	occasion	0
,	,	,	,	,	0
may	may	vmb	may	may	0
seeme	seeme	vvi	seem	seem	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
notice	notice	n1	notice	notice	0
or	or	cc	or	or	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
graue	graue	j	graven	grave	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
Fathers	Fathers	n2	Father's	father	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
∣	∣	sy	∣	∣	0
withstanding	withstanding	vvg	withstanding	withstand	0
being	being	vbg	being	be	0
drawne	drawne	vvn	drawn	draw	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lication	lication	n1	lication	lication	0
hereof	hereof	av	hereof	hereof	0
,	,	,	,	,	0
partly	partly	av	partly	partly	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
importunity	importunity	n1	importunity	importunity	0
of	of	pp-f	of	of	0
