Noble	Noble	j	Noble	noble	0
SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
SƲpposing	SƲpposing	vvg	SƲpposing	sʋppose	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
Book	Book	n1	Book	book	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Vindication	Vindication	n1	Vindication	vindication	0
by	by	p-acp	by	by	0
Master	Master	n1	Master	master	0
Prynne	Prynne	np1	Prynne	Prynne	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
that	that	cst	that	that	0
this	this	d	this	this	0
Dis	Dis	vdd	Dis	do	0
∣	∣	sy	∣	∣	0
course	course	n1	course	course	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
other	other	j-jn	other	other	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
occasion	occasion	n1	occasion	occasion	0
serves	serves	vvz	serves	serve	0
.	.	.	.	.	1
If	If	cs	If	if	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
revealed	revealed	vvn	revealed	reveal	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Dis	Dis	zf	Dis	this	0
∣	∣	sy	∣	∣	0
course	course	n1	course	course	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
enlighten	enlighten	vvi	enlighten	enlighten	0
the	the	dt	the	the	0
darknesse	darknesse	n1	darkness	darkness	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sent	sent	n1	sent	scent	0
Controversie	Controversie	n1	Controversy	controversy	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
onely	onely	av-j	only	only	0
from	from	p-acp	from	from	0
him	him	pno31	him	he	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
Lights	Lights	n2	Lights	light	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
carries	carries	vvz	carries	carry	0
on	on	p-acp	on	on	0
his	his	png31	his	he	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
excellent	excellent	j	excellent	excellent	0
way	way	n1	way	way	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
with	with	p-acp	with	with	0
open	open	j	open	open	0
face	face	n1	face	face	0
,	,	,	,	,	0
behold	behold	vvb	behold	behold	0
the	the	dt	the	the	0
Glory	Glory	n1	Glory	glory	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
changed	changed	vvn	changed	change	0
from	from	p-acp	from	from	0
glory	glory	n1	glory	glory	0
to	to	p-acp	to	to	0
glory	glory	n1	glory	glory	0
.	.	.	.	.	1
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
The	The	dt	The	the	0
thing	thing	n1	thing	thing	0
I	I	pns11	I	i	0
onely	onely	av-j	only	only	0
contend	contend	vvb	contend	contend	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
and	and	cc	and	and	0
Spirit	Spirit	n1	Spirit	spirit	0
calls	calls	vvz	calls	call	0
for	for	p-acp	for	for	0
;	;	;	;	;	0
Whatsoever	Whatsoever	r-crq	Whatsoever	whatsoever	0
things	things	n2	things	thing	0
are	are	vbr	are	be	0
pure	pure	j	pure	pure	0
,	,	,	,	,	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
things	things	n2	things	thing	0
are	are	vbr	are	be	0
honest	honest	j	honest	honest	0
,	,	,	,	,	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
things	things	n2	things	thing	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
report	report	n1	report	report	0
.	.	.	.	.	1
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
The	The	dt	The	the	0
ingagement	ingagement	n1	engagement	engagement	0
of	of	pp-f	of	of	0
private	private	j	private	private	0
respects	respects	n2	respects	respect	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
likewise	likewise	av	likewise	likewise	0
a	a	dt	a	a	0
partaker	partaker	n1	partaker	partaker	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
labours	labours	n2	labours	labour	0
of	of	pp-f	of	of	0
yours	yours	png22	yours	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
abroad	abroad	av	abroad	abroad	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
Pro	Pro	np1	Pro	Pro	0
∣	∣	sy	∣	∣	0
mises	mises	vvz	mises	mise	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
The	The	dt	The	the	0
best	best	js	best	best	0
treasure	treasure	n1	treasure	treasure	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
drawn	drawn	vvn	drawn	draw	0
this	this	d	this	this	0
from	from	p-acp	from	from	0
me	me	pno11	me	i	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
wounded	wounded	vvn	wounded	wound	0
you	you	pn22	you	you	0
,	,	,	,	,	0
binde	binde	vvb	bind	bind	0
you	you	pn22	you	you	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
and	and	cc	and	and	0
lead	lead	vvb	led	lead	0
you	you	pn22	you	you	0
on	on	a-acp	on	on	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glorious	glorious	j	glorious	glorious	0
Truths	Truths	n2	Truths	truth	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
mistake	mistake	vvb	mistake	mistake	0
not	not	xx	not	not	0
,	,	,	,	,	0
our	our	po12	our	our	0
Controversie	Controversie	n1	Controversy	controversy	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
this	this	d	this	this	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
times	times	n2	times	time	0
;	;	;	;	;	0
some	some	d	some	some	0
would	would	vmd	would	will	0
walk	walk	vvi	walk	walk	0
more	more	av-dc	more	more	0
close	close	av-j	close	close	0
with	with	p-acp	with	with	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
some	some	d	some	some	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
content	content	j	content	content	0
like	like	av-j	like	like	0
Peter	Peter	np1	Peter	Peter	0
to	to	pc-acp	to	to	0
walk	walk	vvi	walk	walk	0
at	at	p-acp	at	at	0
more	more	dc	more	more	0
distance	distance	n1	distance	distance	0
,	,	,	,	,	0
and	and	cc	and	and	0
follow	follow	vvi	follow	follow	0
him	him	pno31	him	he	0
afar	afar	av	afar	afar	0
off	off	a-acp	off	off	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
warming	warming	vvg	warming	warm	0
themselves	themselves	px32	themselves	themselves	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
multitude	multitude	n1	multitude	multitude	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Common-Hall	Common-Hall	n1	Common-Hall	common-hall	0
:	:	:	:	:	0
And	And	cc	And	and	0
let	let	vvb	let	let	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
judge	judge	vvb	judge	judge	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
us	us	pno12	us	we	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
best	best	js	best	best	0
report	report	n1	report	report	0
.	.	.	.	.	1
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
Yours	Yours	png22	Yours	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	1
