Serene	Serene	np1	Serene	Serena	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
COncerning	COncerning	vvg	COncerning	concern	0
the	the	dt	the	the	0
Choyce	Choyce	n1	Choice	choice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Subject	Subject	j-jn	Subject	subject	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
present	present	j	present	present	0
Pains	Pains	n2	Pains	pain	0
,	,	,	,	,	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
race	race	n1	raze	race	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
was	was	vbds	was	be	0
dedicated	dedicated	vvn	dedicated	dedicate	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
person	person	n1	person	person	0
,	,	,	,	,	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
thought	thought	vvn	thought	think	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
best	best	js	best	best	0
,	,	,	,	,	0
It	It	pn31	It	it	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
taught	taught	vvn	taught	teach	0
a	a	dt	a	a	0
less	less	av-dc	less	less	0
ambition	ambition	n1	ambition	ambition	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
chuse	chuse	vvi	choose	choose	0
such	such	d	such	such	0
a	a	dt	a	a	0
Princely	Princely	j	Princely	princely	0
Patron	Patron	n1	Patron	patron	0
:	:	:	:	:	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
say	say	vvi	say	say	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
then	then	cs	then	than	0
that	that	cst	that	that	0
the	the	dt	the	the	0
sole	sole	j	sole	sole	0
inducement	inducement	n1	inducement	inducement	0
thereto	thereto	av	thereto	thereto	0
,	,	,	,	,	0
was	was	vbds	was	be	0
his	his	po31	his	his	0
singular	singular	j	singular	singular	0
learning	learning	n1	learning	learning	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
and	and	cc	and	and	0
Gospel	Gospel	n1	Gospel	gospel	0
;	;	;	;	;	0
the	the	dt	the	the	0
former	former	j	former	former	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
so	so	av	so	so	0
conspicuous	conspicuous	j	conspicuous	conspicuous	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
universally	universally	av-j	universally	universal	0
acknowledged	acknowledged	vvn	acknowledged	acknowledge	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
latter	latter	d	latter	latter	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
none	none	pix	none	none	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
ignorant	ignorant	j	ignorant	ignorant	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
ever	ever	av	ever	ever	0
had	had	vhn	had	have	0
the	the	dt	the	the	0
happiness	happiness	n1	happiness	happiness	0
,	,	,	,	,	0
though	though	cs	though	though	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
small	small	j	small	small	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
own	own	d	own	own	0
free	free	j	free	free	0
and	and	cc	and	and	0
in	in	zz	in	in	0
∣	∣	sy	∣	∣	0
timate	timate	j	timate	timate	0
Converse	Converse	n1	Converse	converse	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
own	own	d	own	own	0
part	part	n1	part	part	0
,	,	,	,	,	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
publickly	publickly	av-j	publicly	public	0
profess	profess	vvi	profess	profess	0
,	,	,	,	,	0
I	I	pns11	I	i	0
never	never	av-x	never	never	0
read	read	vvd	read	read	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
more	more	dc	more	more	0
wise	wise	j	wise	wise	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
truly	truly	av-j	truly	true	0
and	and	cc	and	and	0
becomingly	becomingly	av-vvg	becomingly	become	0
Religious	Religious	j	Religious	religious	0
,	,	,	,	,	0
and	and	cc	and	and	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
Knowledg	Knowledg	n1	Knowledge	knowledge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Laws	Laws	n2	Laws	law	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
man	man	n1	man	man	0
,	,	,	,	,	0
bears	bears	vvz	bears	bear	0
the	the	dt	the	the	0
enlightned	enlightned	vvn	enlightened	enlighten	0
mind	mind	n1	mind	mind	0
so	so	av	so	so	0
even	even	av	even	even	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
as	as	p-acp	as	as	0
far	far	av-j	far	far	0
from	from	p-acp	from	from	0
doing	doing	vdg	doing	do	0
any	any	d	any	any	0
wrong	wrong	j-jn	wrong	wrong	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Ju	Ju	np1	Ju	Ju	0
∣	∣	sy	∣	∣	0
stice	stice	n1	stice	stice	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
:	:	:	:	:	0
And	And	cc	And	and	0
my	my	po11	my	my	0
present	present	j	present	present	0
labours	labours	n2	labours	labour	0
can	can	vmb	can	can	0
∣	∣	sy	∣	∣	0
not	not	xx	not	not	0
find	find	vvi	find	find	0
better	better	av-jc	better	better	0
welcome	welcome	j-jn	welcome	welcome	0
,	,	,	,	,	0
or	or	cc	or	or	0
more	more	av-dc	more	more	0
