IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
old	old	j	old	old	0
Observation	Observation	n1	Observation	observation	0
that	that	cst	that	that	0
one	one	pi	one	one	0
Misfortune	Misfortune	n1	Misfortune	misfortune	0
always	always	av	always	always	0
at	at	p-acp	at	at	0
∣	∣	sy	∣	∣	0
tends	tends	vvz	tends	tend	0
another	another	j-jn	another	another	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
experimented	experimented	vvd	experimented	experiment	0
it	it	pn31	it	it	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
as	as	c-acp	as	as	0
justly	justly	av-j	justly	just	0
say	say	vvi	say	say	0
the	the	dt	the	the	0
same	same	d	same	same	0
thing	thing	n1	thing	thing	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
folly	folly	n1	folly	folly	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Conduct	Conduct	vvb	Conduct	conduct	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
relates	relates	vvz	relates	relate	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Play	Play	n1	Play	play	0
.	.	.	.	.	1
It	It	pn31	It	it	0
was	was	vbds	was	be	0
folly	folly	n1	folly	folly	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
Write	Write	vvi	Write	write	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
,	,	,	,	,	0
greater	greater	jc	greater	great	0
to	to	pc-acp	to	to	0
Write	Write	vvi	Write	write	0
no	no	av-dx	no	no	0
better	better	av-jc	better	better	0
,	,	,	,	,	0
and	and	cc	and	and	0
chiefly	chiefly	av-jn	chiefly	chief	0
to	to	pc-acp	to	to	0
Print	Print	vvi	Print	print	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
Writ	Writ	vvn	Writ	write	0
.	.	.	.	.	1
If	If	cs	If	if	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
