With	With	p-acp	With	with	0
Submission	Submission	n1	Submission	submission	0
,	,	,	,	,	0
IN	IN	p-acp	IN	in	0
humble	humble	j	humble	humble	0
Respect	Respect	n1	Respect	respect	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
gracious	gracious	j	gracious	gracious	0
Speech	Speech	n1	Speech	speech	0
,	,	,	,	,	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
most	most	av-ds	most	most	0
humbly	humbly	av-j	humbly	humble	0
offer	offer	vvi	offer	offer	0
these	these	d	these	these	0
following	following	j-vvg	following	follow	0
Proposals	Proposals	n2	Proposals	proposal	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
encouraging	encouraging	n-vvg	encouraging	encourage	0
of	of	pp-f	of	of	0
Seamen	Seamen	n2	Seamen	seaman	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
order	order	n1	order	order	0
to	to	p-acp	to	to	0
fur	fur	n1	fur	fur	0
∣	∣	sy	∣	∣	0
nish	nish	vvi	nish	nish	0
their	their	po32	their	their	0
Majesties	Majesties	n2	Majesties	majesty	0
Royal	Royal	j	Royal	royal	0
Navy	Navy	n1	Navy	navy	0
on	on	p-acp	on	on	0
all	all	d	all	all	0
Occasions	Occasions	n2	Occasions	occasion	0
:	:	:	:	:	0
Wherein	Wherein	c-crq	Wherein	wherein	0
is	is	vbz	is	be	0
briefly	briefly	av-j	briefly	brief	0
set	set	vvn	set	set	0
forth	forth	av	forth	forth	0
the	the	dt	the	the	0
great	great	j	great	great	0
Hardships	Hardships	n2	Hardships	hardship	0
and	and	cc	and	and	0
Sufferings	Sufferings	n2	Sufferings	suffering	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
imployed	imployed	vvn	employed	employ	0
in	in	p-acp	in	in	0
Sea-Service	Sea-Service	n1	Sea-Service	sea-service	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
proper	proper	j	proper	proper	0
Remedies	Remedies	n2	Remedies	remedy	0
to	to	pc-acp	to	to	0
prevent	prevent	vvi	prevent	prevent	0
the	the	dt	the	the	0
same	same	d	same	same	0
;	;	;	;	;	0
whereby	whereby	c-crq	whereby	whereby	0
their	their	po32	their	their	0
