May	May	vmb	May	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
Your	Your	po22	Your	your	0
Excellencies	Excellencies	n2	Excellencies	excellency	0
,	,	,	,	,	0
THis	THis	d	THis	this	0
mine	mine	po11	mine	my	0
humble	humble	j	humble	humble	0
Appeal	Appeal	n1	Appeal	appeal	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
and	and	cc	and	and	0
the	the	dt	the	the	0
King	King	n1	King	king	0
,	,	,	,	,	0
being	being	vbg	being	be	0
designed	designed	vvn	designed	design	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
presented	presented	vvn	presented	present	0
to	to	p-acp	to	to	0
His	His	po31	His	his	0
MAJESTY	MAJESTY	n1	MAJESTY	majesty	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Rising	Rising	n-vvg	Rising	rise	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Parliament	Parliament	n1	Parliament	parliament	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Printer	Printer	np1	Printer	Printer	0
not	not	xx	not	not	0
being	being	vbg	being	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
it	it	pn31	it	it	0
ready	ready	j	ready	ready	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
His	His	po31	His	his	0
MAJESTY	MAJESTY	n1	MAJESTY	majesty	0
being	being	vbg	being	be	0
gone	gone	vvn	gone	go	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Land	Land	n1	Land	land	0
,	,	,	,	,	0
I	I	pns11	I	i	0
therefore	therefore	av	therefore	therefore	0
thought	thought	vvd	thought	think	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
had	had	vhb	had	have	0
stayed	stayed	vvd	stayed	stay	0
for	for	p-acp	for	for	0
His	His	po31	His	his	0
Return	Return	n1	Return	return	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Out	Out	av	Out	out	0
∣	∣	sy	∣	∣	0
ragiousness	ragiousness	n1	ragiousness	ragiousness	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
Sir	Sir	n1	Sir	sir	0
Richard	Richard	np1	Richard	Richard	0
Blackam	Blackam	np1	Blackam	Blackam	0
admits	admits	vvz	admits	admit	0
no	no	dx	no	no	0
delay	delay	n1	delay	delay	0
,	,	,	,	,	0
being	being	vbg	being	be	0
such	such	d	such	such	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
force	force	n1	force	force	0
to	to	pc-acp	to	to	0
seize	seize	vvi	seize	seize	0
and	and	cc	and	and	0
take	take	vvi	take	take	0
away	away	av	away	away	0
my	my	po11	my	my	0
Goods	Goods	n2-j	Goods	good	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
stead	stead	n1	stead	stead	0
of	of	pp-f	of	of	0
paying	paying	vvg	paying	pay	0
me	me	pno11	me	i	0
Money	Money	n1	Money	money	0
,	,	,	,	,	0
and	and	cc	and	and	0
restoring	restoring	vvg	restoring	restore	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
sundry	sundry	j	sundry	sundry	0
Notes	Notes	n2	Notes	note	0
for	for	p-acp	for	for	0
sundry	sundry	j	sundry	sundry	0
Thousand	Thousand	crd	Thousand	thousand	0
Pounds	Pounds	n2	Pounds	pound	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
Kindness	Kindness	n1	Kindness	kindness	0
only	only	av-j	only	only	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
accommodated	accommodated	vvn	accommodated	accommodate	0
him	him	pno31	him	he	0
with	with	p-acp	with	with	0
∣	∣	sy	∣	∣	0
all	all	d	all	all	0
:	:	:	:	:	0
For	For	p-acp	For	for	0
Sir	Sir	n1	Sir	sir	0
Richard	Richard	np1	Richard	Richard	0
having	having	vhg	having	have	0
,	,	,	,	,	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Agreement	Agreement	n1	Agreement	agreement	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
sundry	sundry	j	sundry	sundry	0
Arrests	Arrests	n2	Arrests	arrest	0
forc'd	forc'd	vvd	forced	force	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Refferrence	Refferrence	n1	Refferrence	refferrence	0
