NO	NO	dx	NO	no	0
time	time	n1	time	time	0
can	can	vmb	can	can	0
wear	wear	vvi	wear	wear	0
out	out	av	out	out	0
the	the	dt	the	the	0
memory	memory	n1	memory	memory	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
favours	favours	n2	favours	favour	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
recei	recei	fw-mi	recei	recei	0
∣	∣	sy	∣	∣	0
ved	ved	vvn	ved	ve	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
;	;	;	;	;	0
You	You	pn22	You	you	0
were	were	vbdr	were	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
first	first	ord	first	first	0
that	that	cst	that	that	0
gave	gave	vvd	gave	give	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
visit	visit	n1	visit	visit	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
few	few	d	few	few	0
durst	durst	vvd	durst	dare	0
adventure	adventure	vvi	adventure	adventure	0
themselves	themselves	px32	themselves	themselves	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
the	the	dt	the	the	0
same	same	d	same	same	0
roof	roof	n1	roof	roof	0
,	,	,	,	,	0
being	being	vbg	being	be	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
good	good	j	good	good	0
providence	providence	n1	providence	providence	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
necessitated	necessitated	vvn	necessitated	necessitate	0
to	to	pc-acp	to	to	0
leave	leave	vvi	leave	leave	0
a	a	dt	a	a	0
place	place	n1	place	place	0
sorely	sorely	av-j	sorely	sore	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
flicted	flicted	vvn	flicted	flict	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Pestilence	Pestilence	n1	Pestilence	pestilence	0
;	;	;	;	;	0
and	and	cc	and	and	0
labouring	labouring	vvg	labouring	labour	0
under	under	p-acp	under	under	0
a	a	dt	a	a	0
Feaver	Feaver	n1	Fever	fever	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
presently	presently	av-j	presently	present	0
on	on	p-acp	on	on	0
my	my	po11	my	my	0
departure	departure	n1	departure	departure	0
God	God	np1	God	God	0
pleased	pleased	vvd	pleased	please	0
to	to	pc-acp	to	to	0
afflict	afflict	vvi	afflict	afflict	0
me	me	pno11	me	i	0
:	:	:	:	:	0
and	and	cc	and	and	0
were	were	vbdr	were	be	0
eye-witnes	eye-witnes	n1	eyewitness	eye-witness	0
∣	∣	sy	∣	∣	0
ses	ses	fw-fr	ses	ses	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mean	mean	j	mean	mean	0
accommodations	accommodations	n2	accommodations	accommodation	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
straits	straits	n2	straits	strait	0
could	could	vmd	could	can	0
be	be	vbi	be	be	0
provided	provided	vvn	provided	provide	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
and	and	cc	and	and	0
my	my	po11	my	my	0
reve	reve	n1	reve	reve	0
∣	∣	sy	∣	∣	0
rend	rend	vvb	rend	rend	0
brother	brother	n1	brother	brother	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
both	both	d	both	both	0
our	our	po12	our	our	0
wives	wives	n2	wives	wife	0
and	and	cc	and	and	0
families	families	n2	families	family	0
,	,	,	,	,	0
all	all	d	all	all	0
cast	cast	vvn	cast	cast	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
same	same	d	same	same	0
condition	condition	n1	condition	condition	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
time	time	n1	time	time	0
;	;	;	;	;	0
&	&	cc	&	and	0
you	you	pn22	you	you	0
made	made	vvd	made	make	0
it	it	pn31	it	it	0
appear	appear	vvi	appear	appear	0
that	that	cst	that	that	0
your	your	po22	your	your	0
eyes	eyes	n2	eyes	eye	0
affected	affected	vvn	affected	affect	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
giving	giving	vvg	giving	give	0
a	a	dt	a	a	0
free	free	j	free	free	0
invitation	invitation	n1	invitation	invitation	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
dependance	dependance	n1	dependence	dependence	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
house	house	n1	house	house	0
,	,	,	,	,	0
assoon	assoon	av	assoon	assoon	0
as	as	c-acp	as	as	0
with	with	p-acp	with	with	0
security	security	n1	security	security	0
we	we	pns12	we	we	0
durst	durst	vvd	durst	dare	0
adven	adven	av	advent	advent	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
over	over	p-acp	over	over	0
any	any	d	any	any	0
mans	mans	ng1	men	man	0
threshold	threshold	n1	threshold	threshold	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
