BY	BY	p-acp	BY	by	0
how	how	c-crq	how	how	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
my	my	po11	my	my	0
self	self	n1	self	self	0
obliged	obliged	vvn	obliged	oblige	0
in	in	p-acp	in	in	0
gene	gene	zz	gene	gene	0
∣	∣	sy	∣	∣	0
ral	ral	n1	ral	ral	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
particular	particular	j	particular	particular	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
I	I	pns11	I	i	0
go	go	vvb	go	go	0
about	about	p-acp	about	about	0
accusing	accusing	vvg	accusing	accuse	0
my	my	po11	my	my	0
self	self	n1	self	self	0
a	a	dt	a	a	0
Debtor	Debtor	n1	Debtor	debtor	0
for	for	c-acp	for	for	0
so	so	av	so	so	0
many	many	d	many	many	0
Favours	Favours	n2	Favours	favour	0
and	and	cc	and	and	0
Benefits	Benefits	n2	Benefits	benefit	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
tinually	tinually	av-j	tinually	tinual	0
received	received	vvn	received	receive	0
,	,	,	,	,	0
so	so	av	so	so	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
less	less	av-dc	less	less	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
always	always	av	always	always	0
hitherto	hitherto	av	hitherto	hitherto	0
found	found	vvn	found	find	0
my	my	po11	my	my	0
self	self	n1	self	self	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Capacity	Capacity	n1	Capacity	capacity	0
to	to	pc-acp	to	to	0
express	express	vvi	express	express	0
that	that	d	that	that	0
great	great	j	great	great	0
and	and	cc	and	and	0
inward	inward	j	inward	inward	0
desire	desire	n1	desire	desire	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
some	some	d	some	some	0
Act	Act	n1	Act	act	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
grateful	grateful	j	grateful	grateful	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
sidering	sidering	vvg	sidering	sidere	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
self	self	n1	self	self	0
I	I	pns11	I	i	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
you	you	pn22	you	you	0
some	some	d	some	some	0
little	little	j	little	little	0
sign	sign	n1	sign	sign	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
good	good	j	good	good	0
Will	Will	n1	Will	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
great	great	j	great	great	0
regard	regard	n1	regard	regard	0
and	and	cc	and	and	0
good	good	j	good	good	0
Remembrance	Remembrance	n1	Remembrance	remembrance	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
longer	longer	av-jc	longer	long	0
I	I	pns11	I	i	0
defer	defer	vvb	defer	defer	0
it	it	pn31	it	it	0
,	,	,	,	,	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
it	it	pn31	it	it	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
answer	answer	vvi	answer	answer	0
the	the	dt	the	the	0
debt	debt	n1	debt	debt	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
:	:	:	:	:	0
Newly	Newly	av-j	Newly	new	0
returned	returned	vvn	returned	return	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
Holiness's	Holiness's	ng1	Holiness's	holiness	0
the	the	dt	the	the	0
Popes	Popes	ng1	Popes	pope	0
Pallace	Pallace	n1	Palace	palace	0
,	,	,	,	,	0
and	and	cc	and	and	0
fearing	fearing	vvg	fearing	fear	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
seem	seem	vvi	seem	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
vil	vil	zz	vil	vil	0
Servant	Servant	n1	Servant	servant	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hid	hid	vvd	hid	hide	0
the	the	dt	the	the	0
