outline	outline	vvi	outline	outline	0
of	of	pp-f	of	of	0
shield	shield	n1	shield	shield	0
THree	THree	crd	THree	three	0
words	words	n2	words	word	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
escouchion	escouchion	n1	escouchion	escouchion	0
displaying	displaying	vvg	displaying	display	0
three	three	crd	three	three	0
vertues	vertues	n2	virtues	virtue	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
man	man	n1	man	man	0
,	,	,	,	,	0
towards	towards	p-acp	towards	towards	0
God	God	np1	God	God	0
godlinesse	godlinesse	n1	godliness	godliness	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
countrey	countrey	n1	country	country	0
charitie	charitie	n1	charity	charity	0
,	,	,	,	,	0
and	and	cc	and	and	0
goodnesse	goodnesse	n1	goodness	goodness	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
Deo	Deo	fw-la	Deo	deo	0
,	,	,	,	,	0
patriae	patriae	fw-la	patriae	patriae	0
,	,	,	,	,	0
tibi	tibi	fw-la	tibi	tibi	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
his	his	po31	his	his	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
Maister	Maister	n1	Master	master	0
Lambert	Lambert	np1	Lambert	Lambert	0
dedicate	dedicate	vvi	dedicate	dedicate	0
his	his	po31	his	his	0
booke	booke	n1	book	book	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
inuention	inuention	n1	invention	invention	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
▪	▪	▪	▪	▪	0
sorting	sorting	vvg	sorting	sort	0
well	well	n1	well	well	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
desire	desire	n1	desire	desire	0
,	,	,	,	,	0
though	though	cs	though	though	0
my	my	po11	my	my	0
desert	desert	n1	desert	desert	0
be	be	vbi	be	be	0
farre	farre	av-j	far	far	0
short	short	j	short	short	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
,	,	,	,	,	0
God	God	np1	God	God	0
illing	illing	vvg	illing	ill	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
act	act	n1	act	act	0
of	of	pp-f	of	of	0
dedicating	dedicating	j-vvg	dedicating	dedicate	0
this	this	d	this	this	0
wothlesse	wothlesse	j	wothlesse	wothlesse	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
