Much	Much	av-d	Much	much	0
Honoured	Honoured	vvn	Honoured	honour	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
AS	AS	p-acp	AS	as	0
the	the	dt	the	the	0
Influence	Influence	n1	Influence	influence	0
which	which	r-crq	which	which	0
that	that	d	that	that	0
eminent	eminent	j	eminent	eminent	0
place	place	n1	place	place	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
City	City	n1	City	city	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
called	called	vvn	called	call	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Engagements	Engagements	n2	Engagements	engagement	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
goodnesse	goodnesse	n1	goodness	goodness	0
hath	hath	vhz	hath	have	0
laid	laid	vvn	laid	lay	0
upon	upon	p-acp	upon	upon	0
those	those	d	those	those	0
few	few	d	few	few	0
Ministers	Ministers	n2	Ministers	minister	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
la	la	fw-fr	la	la	0
∣	∣	sy	∣	∣	0
boured	boured	vvd	boured	bour	0
against	against	p-acp	against	against	0
great	great	j	great	great	0
opposition	opposition	n1	opposition	opposition	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
mote	mote	vmb	mote	must	0
an	an	dt	and	a	0
Ecclesiastick	Ecclesiastick	j	Ecclesiastic	ecclesiastic	0
Reformation	Reformation	n1	Reformation	reformation	0
,	,	,	,	,	0
have	have	vhb	have	have	0
justly	justly	av-j	justly	just	0
challenged	challenged	vvn	challenged	challenge	0
our	our	po12	our	our	0
observance	observance	n1	observance	observance	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
;	;	;	;	;	0
so	so	av	so	so	0
your	your	po22	your	your	0
eminent	eminent	j	eminent	eminent	0
appearing	appearing	vvg	appearing	appear	0
,	,	,	,	,	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
accepting	accepting	vvg	accepting	accept	0
the	the	dt	the	the	0
Office	Office	n1	Office	office	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Ru	Ru	fw-fr	Ru	ru	0
∣	∣	sy	∣	∣	0
ler	ler	vvb	ler	let	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Congregations	Congregations	n2	Congregations	congregation	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
appearing	appearing	vvg	appearing	appear	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
restoring	restoring	j-vvg	restoring	restore	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
eminent	eminent	j	eminent	eminent	0
servant	servant	n1	servant	servant	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Pastorall	Pastorall	n-jn	Pastoral	pastoral	0
charge	charge	n1	charge	charge	0
there	there	a-acp	there	there	0
again	again	av	again	again	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
these	these	d	these	these	0
unhappy	unhappy	j	unhappy	unhappy	0
flames	flames	n2	flames	flame	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
division	division	n1	division	division	0
have	have	vhb	have	have	0
kindled	kindled	vvn	kindled	kindle	0
(	(	(	(	(	0
wch	wch	r-crq	which	which	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
piety	piety	n1	piety	piety	0
and	and	cc	and	and	0
prudence	prudence	n1	prudence	prudence	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
Reve	Reve	np1	Reve	Reve	0
∣	∣	sy	∣	∣	0
rend	rend	vvb	rend	rend	0
man	man	n1	man	man	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
prevented	prevented	vvn	prevented	prevent	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
challenged	challenged	vvn	challenged	challenge	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
more	more	n1	more	moor	0
spe	spe	fw-la	spe	spe	0
∣	∣	sy	∣	∣	0
ciall	ciall	j	ciall	ciall	0
Dedication	Dedication	n1	Dedication	dedication	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Tract	Tract	n1	Tract	tract	0
.	.	.	.	.	1
What	What	r-crq	What	what	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
find	find	vvi	find	find	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
the	the	dt	the	the	0
Preface	Preface	n1	Preface	preface	0
will	will	vmb	will	will	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
;	;	;	;	;	0
And	And	cc	And	and	0
the	the	dt	the	the	0
Preface	Preface	n1	Preface	preface	0
is	is	vbz	is	be	0
that	that	d	that	that	0
alone	alone	j	alone	alone	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
needs	needs	vvz	needs	need	0
your	your	po22	your	your	0
Patronage	Patronage	n1	Patronage	patronage	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
should	should	vmd	should	shall	0
that	that	d	that	that	0
stand	stand	vvi	stand	stand	0
in	in	p-acp	in	in	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
if	if	cs	if	if	0
some	some	d	some	some	0
men	men	n2	men	man	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
